click.demo	Кликнете сега върху [B_NAME].
click.prac	Кликнете моля върху [B_NAME].
click_img.demo	Кликнете сега върху [B_NAME_ICON].
click_img.prac	Кликнете моля върху [B_NAME_ICON].
click_cancel_trans_img.demo	С клик върху [B_ICON_NAME] трансакцията ще бъде прекъсната.
click_cancel_trans_img.prac	Кликнете върху [B_ICON_NAME] за да прекъснете трансакцията.
click_back_img.demo	С клик върху [B_ICON_NAME] се връщате към предишната страница.
click_back_img.prac	Кликнете върху [B_ICON_NAME] за да се върнете към предишната страница.
click_ok_img.demo	Кликнете сега върху [B_ICON_NAME].
click_ok_img.prac	Кликнете върху [B_ICON_NAME].
click_exit_trans_img.demo	С клик върху [B_ICON_NAME] напускате трансакцията.
click_exit_trans_img.prac	Кликнете върху [B_ICON_NAME] за да напуснете трансакцията.
click_save_img.demo	С клик върху [B_ICON_NAME] запомняте импута.
click_save_img.prac	Кликнете върху [B_ICON_NAME] за да запомните импута.
click_checkbox_off.demo	[B_NAME] се изключва.
click_checkbox_off.prac	Изключете параметъра [B_NAME].
click_next_page_img.demo	С клик върху [B_NAME_ICON] отваряте следващата страница.
click_next_page_img.prac	Кликнете моля върху [B_NAME_ICON].
click_checkbox_on.demo	[B_NAME] се селектира.
click_checkbox_on.prac	Селектирайте параметъра [B_NAME].
click_select_value.demo	Параметърът [B_NAME] се избира.
click_select_value.prac	Изберете параметъра [B_NAME].
click_open_menu.demo	Менюто [B_NAME] се отваря.
click_open_menu.prac	Отворете менюто [B_NAME].
click_menu_select.demo	Регистрацията [B_NAME] се избира.
click_menu_select.prac	Изберете регистрацията [B_NAME].
click_select_column.demo	Шпалтата [B_NAME] се избира.
click_select_column.prac	Изберете шпалтата [B_NAME] с клик върху главата на шпалтата.
click_open_value_help.demo	Помощта за стойността на параметрите се отваря.
click_open_value_help.prac	Отворете моля помощта за стойността на параметрите.
click_select_line.demo	Редът [B_NAME] се избира.
click_select_line.prac	Изберете реда [B_NAME] с клик в първата шпалта.
click_scroll_top.demo	С клик върху [ICON] се скролва в началото.
click_scroll_top.prac	Скролвайте в началото с клик върху [ICON].
click_scroll_bottom.demo	С клик върху [ICON] се скролва в края.
click_scroll_bottom.prac	Скролвайте в края с клик върху [ICON].
click_scroll_pageup.demo	С клик върху [ICON] се скролва една страница нагоре.
click_scroll_pageup.prac	Скролвайте една страница нагоре с клик върху [ICON].
click_scroll_pagedown.demo	С клик върху [ICON] се скролва една страница надолу.
click_scroll_pagedown.prac	Скролвайте една страница надолу с клик върху [ICON].
click_scroll_lineup.demo	С клик върху [ICON] се скролва един ред нагоре.
click_scroll_lineup.prac	Скролвайте един ред нагоре с клик върху [ICON].
click_scroll_linedown.demo	С клик върху [ICON] се скролва един ред надолу.
click_scroll_linedown.prac	Скролвайте един ред надолу с клик върху [ICON].
click_close_window_img.demo	Прозорецът се затваря с клик върху [ICON].
click_close_window_img.prac	Затворете прозореца с клик върху [ICON].
click_select_all_lines_img.demo	С клик върху [ICON] се маркират всички редове.
click_select_all_lines_img.prac	Селектирайте всички редове с клик върху [ICON].
click_open_card_menu.demo	С клик върху [ICON] се отваря изборът на карти.
click_open_card_menu.prac	Отворете избора на карти с клик върху [ICON] .
click_select_card.demo	Картата [B_NAME] се избира.
click_select_card.prac	Изберете картата [B_NAME].
click_next_cards_img.demo	С кликване върху [ICON] се показват следващите карти.
click_next_cards_img.prac	Покажете следващите карти с кликване върху [ICON].
click_prev_cards_img.demo	С кликване върху [ICON] се показват предишните карти.
click_prev_cards_img.prac	Покажете предишните карти с кликване върху [ICON].
click_open_nav_menu.demo	С кликване върху [ICON] се отваря навигационното меню.
click_open_nav_menu.prac	Отворете навигационното меню с клик върху [ICON].
click_close_folder_img.demo	С кликване върху [ICON] се затваря папката[B_NAME].
click_close_folder_img.prac	Затворете папката [B_NAME] с кликване върху [ICON].
click_open_folder_img.demo	С кликване върху [ICON] се отваря папката [B_NAME].
click_open_folder_img.prac	Отворете папката [B_NAME] с кликване върху [ICON].
click_select_element_img.demo	С кликване върху [ICON] се избира елементът [B_NAME].
click_select_element_img.prac	Изберете елемента [B_NAME] с кликване върху [ICON].
click_scroll_down.demo	Със скрол-бара се скролва надолу.
click_scroll_down.prac	Скролвайте с помощта на скрол-бара надолу.
dblclick_select_entry.demo	С двоен клик [B_NAME] се избира регистрацията.
dblclick_select_entry.prac	Изберете регистрацията [B_NAME] с двоен клик.
dblclick_select_date.demo	[B_NAME] се избира.
dblclick_select_date.prac	Изберете [B_NAME].
dblclick_start_transaction.demo	С двоен клик се стартира трансакцията [B_NAME].
