click.demo	Klikněte nyní na [B_NAME].\tKlikněte na [B_NAME].
click.prac	Klikněte prosím na [B_NAME].\t
click_img.demo	Klikněte nyní na [B_NAME_ICON].\t
click_img.prac	Klikněte prosím na [B_NAME_ICON]. \t
click_cancel_trans_img.demo	Kliknutím na [B_ICON_NAME] bude transakce přerušena.\t
click_cancel_trans_img.prac	"Klikněte na [B_ICON_NAME], aby transakce byla přerušena."\t
click_back_img.demo	Kliknutím na [B_ICON_NAME] se vrátíte na předchozí stránku.\t
click_back_img.prac	"Klikněte na [B_ICON_NAME], abyste se vrátili na předchozí stránku."\t
click_ok_img.demo	Klikněte nyní na [B_ICON_NAME].\t
click_ok_img.prac	Klikněte na [B_ICON_NAME].\t
click_exit_trans_img.demo	Kliknutím na  [B_ICON_NAME] opustíte transakci.\t
click_exit_trans_img.prac	"Klikněte na  [B_ICON_NAME], abyste opustili transakci."\t
click_save_img.demo	Kliknutím na [B_ICON_NAME] uložíte data do paměti. \t
click_save_img.prac	"Klikněte na  [B_ICON_NAME], abyste uložili data do paměti."\t
click_checkbox_off.demo	[B_NAME] bude vypnuta.\t
click_checkbox_off.prac	Vypněte hodnotu [B_NAME].\t
click_next_page_img.demo	Kliknutím na [B_NAME_ICON] otevřete další stránku. 
click_next_page_img.prac	Klikněte prosím na [B_NAME_ICON]. 
click_checkbox_on.demo	Bude zvolena [B_NAME].
click_checkbox_on.prac	Zvolte hodnotu [B_NAME].
click_select_value.demo	Bude zvolena hodnota  [B_NAME]. 
click_select_value.prac	Zvolte hodnotu  [B_NAME].
click_open_menu.demo	Otevře se menu  [B_NAME].
click_open_menu.prac	Otevřete menu  [B_NAME].
click_menu_select.demo	Bude zvolen zápis [B_NAME]. 
click_menu_select.prac	Zvolte zápis [B_NAME]. 
click_select_column.demo	Bude zvolen sloupec [B_NAME]. 
click_select_column.prac	Zvolte sloupec [B_NAME] kliknutím na hlavičku sloupce. 
click_open_value_help.demo	Otevře se pomoc pro hodnoty.
click_open_value_help.prac	Otevřete prosím pomoc pro hodnoty.
click_select_line.demo	Bude zvolena řádka [B_NAME]. 
click_select_line.prac	Zvolte řádku [B_NAME] kliknutím v prvním sloupci.
click_scroll_top.demo	Kliknutím na [ICON] dojde k přetočení na začátek. 
click_scroll_top.prac	Přetočte na začátek kliknutím na [ICON].
click_scroll_bottom.demo	Kliknutím na [ICON] dojde k přetočení na konec.
click_scroll_bottom.prac	Přetočte na konec kliknutím na [ICON].
click_scroll_pageup.demo	Kliknutím na [ICON] dojde k přetočení jedné stránky nahoru.
