click.demo	Επιλέξτε [B_NAME].
click.prac	Επιλέξτε [B_NAME].
click_img.demo	Επιλέξτε [B_NAME_ICON].
click_img.prac	Επιλέξτε [B_NAME_ICON].
click_cancel_trans_img.demo	Επιλέγοντας [B_ICON_NAME] διακόπτεται η συναλλαγή.
click_cancel_trans_img.prac	Επιλέγοντας [B_ICON_NAME] διακόπτεται η συναλλαγή.
click_back_img.demo	Επιλέγοντας [B_ICON_NAME] επιστρέφετε στην προηγούμενη σελίδα.
click_back_img.prac	Επιλέξτε [B_ICON_NAME] για να επιστρέψετε στην προηγούμενη σελίδα.
click_ok_img.demo	Επιλέξτε [B_ICON_NAME].
click_ok_img.prac	Επιλέξτε [B_ICON_NAME].
click_exit_trans_img.demo	Επιλέγοντας [B_ICON_NAME] εγκαταλείπετε τη συναλλαγή.
click_exit_trans_img.prac	Επιλέξτε [B_ICON_NAME], για να εγκαταλείψετε τη συναλλαγή.
click_save_img.demo	Επιλέγοντας [B_ICON_NAME] αποθηκεύετε τις καταχωρήσεις.
click_save_img.prac	Επιλέξτε [B_ICON_NAME], για να αποθηκεύσετε τις καταχωρήσεις.
click_checkbox_off.demo	Η επιλογή [B_NAME] απεπιλέγεται.
click_checkbox_off.prac	Απεπιλέξτε την επιλογή [B_NAME].
click_next_page_img.demo	Επιλέγοντας [B_NAME_ICON] ανοίγετε τις επόμενες σελίδες.
click_next_page_img.prac	Επιλέξτε [B_NAME_ICON].
click_checkbox_on.demo	Το [B_NAME] επιλέγεται.
click_checkbox_on.prac	Επιλέξτε την επιλογή [B_NAME].
click_select_value.demo	Επιλέγεται η τιμή [B_NAME].
click_select_value.prac	Επιλέξτε την τιμή [B_NAME].
click_open_menu.demo	Το μενού [B_NAME] ανοίγει.
click_open_menu.prac	Ανοίξτε το μενού [B_NAME].
click_menu_select.demo	Επιλέγεται η καταχώρηση [B_NAME].
click_menu_select.prac	Επιλέξτε την καταχώρηση [B_NAME].
click_select_column.demo	Επιλέγεται η στήλη [B_NAME].
click_select_column.prac	Επιλέξτε τη στήλη [B_NAME] κάνοντας κλικ στην κεφαλίδα της στήλης.
click_open_value_help.demo	Η βοήθεια τιμών ανοίγει.
click_open_value_help.prac	Ανοίξτε τη βοήθεια τιμών.
click_select_line.demo	Επιλέγεται η σειρά [B_NAME].
click_select_line.prac	Επιλέξτε κάνοντας κλικ στη σειρά [B_NAME] της πρώτης στήλης.
click_scroll_top.demo	Κάνοντας κλικ στο [ICON] μετακινείστε στην αρχή.
click_scroll_top.prac	Μετακινηθείτε στην αρχή κάνοντας κλικ στο [ICON].
click_scroll_bottom.demo	Κάνοντας κλικ [ICON] μετακινείστε στο τέλος.
click_scroll_bottom.prac	Μετακινηθείτε στο τέλος κάνοντας κλικ στο [ICON].
click_scroll_pageup.demo	Κάνοντας κλικ στο [ICON] μετακινείστε μια σελίδα επάνω.
click_scroll_pageup.prac	Μετακινηθείτε μια σελίδα επάνω κάνοντας κλικ στο [ICON].
click_scroll_pagedown.demo	Κάνοντας κλικ στο [ICON] μετακινείστε μια σελίδα κάτω.
click_scroll_pagedown.prac	Μετακινηθείτε μια σελίδα κάτω κάνοντας κλικ στο [ICON].
click_scroll_lineup.demo	Κάνοντας κλικ στο [ICON] μετακινείστε μια στήλη επάνω.
click_scroll_lineup.prac	Μετακινηθείτε μια στήλη επάνω κάνοντας κλικ στο [ICON].
click_scroll_linedown.demo	Κάνοντας κλικ στο [ICON] μετακινήστε μια στήλη κάτω.
click_scroll_linedown.prac	Μετακινηθείτε μια στήλη προς τα κάτω κάνοντας κλικ στο[ICON].
click_close_window_img.demo	Το παράθυρο κλείνει κάνοντας κλικ στο [ICON].
click_close_window_img.prac	Κλείστε το παράθυρο κάνοντας κλικ στο [ICON].
click_select_all_lines_img.demo	Κάνοντας κλικ στο [ICON] μαρκάρονται όλες οι στήλες.
click_select_all_lines_img.prac	Επιλέξτε όλες τις στήλες κάνοντας κλικ στο [ICON].
click_open_card_menu.demo	Κάνοντας κλικ στο [ICON] εμφανίζεται η επιλογή καρτών.
click_open_card_menu.prac	Εμφανίστε την επιλογή καρτών κάνοντας κλικ στο [ICON].
click_select_card.demo	Επιλέγεται η κάρτα [B_NAME].
click_select_card.prac	Επιλέξτε την κάρτα [B_NAME].
click_next_cards_img.demo	Κάνοντας κλικ στο [ICON] εμφανίζονται οι επόμενες κάρτες.
click_next_cards_img.prac	Εμφανίστε τις επόμενες κάρτες κάνοντας κλικ στο [ICON].
click_prev_cards_img.demo	Κάνοντας κλικ στο [ICON] εμφανίζονται οι προηγούμενες κάρτες.
click_prev_cards_img.prac	Εμφανίστε τις προηγούμενες κάρτες κάνοντας κλικ στο [ICON].
click_open_nav_menu.demo	Κάνοντας κλικ στο [ICON] εμφανίζεται το μενού πλοήγησης.
click_open_nav_menu.prac	Ανοίξτε το μενού πλοήγησης κάνοντας κλικ στο [ICON].
click_close_folder_img.demo	Κάνοντας κλικ στο [ICON] κλείνει το αρχείο [B_NAME].
click_close_folder_img.prac	Κλείστε το αρχείο [B_NAME] κάνοντας κλικ στο [ICON].
click_open_folder_img.demo	Επιλέγοντας [ICON] ανοίγει το αρχείο [B_NAME].
click_open_folder_img.prac	Ανοίξτε το αρχείο [B_NAME] κάνοντας κλικ στο [ICON].
click_select_element_img.demo	Κάνοντας κλικ στο [ICON] επιλέγεται το στοιχείο [B_NAME].
click_select_element_img.prac	Ενεργοποιήστε το [ICON] για να επιλέξετε το [B_NAME].
click_scroll_down.demo	Με τη μπάρα έχετε τη δυνατότητα να μετακινηθείτε προς τα κάτω.
click_scroll_down.prac	Μετακινηθείτε με τη βοήθεια της μπάρας προς τα κάτω
dblclick_select_entry.demo	Κάνοντας διπλό κλικ στο [B_NAME] επιλέγεται η καταχώρηση.
dblclick_select_entry.prac	Επιλέξτε κάνοντας διπλό κλικ την καταχώρηση [B_NAME].
dblclick_select_date.demo	Επιλέγεται το [B_NAME].
dblclick_select_date.prac	Επιλέξτε το [B_NAME].
dblclick_start_transaction.demo	Κάνοντας διπλό κλικ ξεκινά η συναλλαγή [B_NAME].
dblclick_start_transaction.prac	Εκκινήστε τη συναλλαγή [B_NAME] κάνοντας διπλό κλικ <br>ή<br>εισάγετε τον κωδικό συναλλαγής [B_TCODE] και επιβεβαιώστε με το πλήκτρο Enter.
click_close_group.demo	Η ομάδα [B_NAME] κλείνει.
click_close_group.prac	Κλείστε την ομάδα [B_NAME].
