click.demo	[B_NAME] is clicked.
click.prac	Click on [B_NAME].
click_img.demo	[B_NAME_ICON] is clicked.
click_img.prac	Click on [B_NAME_ICON].
click_combobtn_tpcd.demo	Clicking on [ICON] of the <b>Transaction Field</b> opens a list of already executed transactions.
click_combobtn_tpcd.prac	Click on [ICON] of the <b>Transaction Field</b> to open the list of already executed transactions.
click_cancel_trans_img.demo	Clicking on [B_ICON_NAME] aborts the transaction.
click_cancel_trans_img.prac	Click on [B_ICON_NAME] to abort the transaction.
click_back_img.demo	Clicking on [B_ICON_NAME] takes you back to the previous page.
click_back_img.prac	Click on [B_ICON_NAME] to return to the previous page.
click_ok_img.demo	Click on [B_ICON_NAME].
click_ok_img.prac	Click on [B_ICON_NAME].
click_exit_trans_img.demo	Clicking on [B_ICON_NAME] exits the transaction.
click_exit_trans_img.prac	Click on [B_ICON_NAME] to exit the transaction.
click_save_img.demo	Clicking on [B_ICON_NAME] saves your entries.
click_save_img.prac	Click on [B_ICON_NAME] to save your entries.
click_checkbox_off.demo	[B_NAME] is deselected.
click_checkbox_off.prac	Deselect the option [B_NAME].
click_next_page_img.demo	Clicking on [B_NAME_ICON] opens the next page.
click_next_page_img.prac	Click on [B_NAME_ICON] to open the next page.
click_checkbox_on.demo	[B_NAME] is selected.
click_checkbox_on.prac	Select the option [B_NAME].
click_select_value.demo	The value [B_NAME] is selected.
click_select_value.prac	Select the value [B_NAME].
click_open_menu.demo	This opens the [B_NAME] menu.
click_open_menu.prac	Open the [B_NAME] menu.
click_menu_select.demo	The entry [B_NAME] is selected.
click_menu_select.prac	Select the entry [B_NAME].
click_select_column.demo	The column [B_NAME] is selected.
click_select_column.prac	Select column [B_NAME] by clicking on the column header.
click_open_value_help.demo	This opens the <b>Input Help</b>.
click_open_value_help.prac	Open the <b>Input Help</b>.
click_select_line.demo	The row [B_NAME] is selected.
click_select_line.prac	Select the row [B_NAME] by clicking it in the first column.
click_scroll_top.demo	Clicking on [ICON] scrolls to the top.
click_scroll_top.prac	Scroll to the top by clicking on [ICON].
click_scroll_bottom.demo	Clicking on [ICON] scrolls to the end.
click_scroll_bottom.prac	Scroll to the end by clicking on [ICON].
click_scroll_pageup.demo	Clicking on [ICON] scrolls one page up.
click_scroll_pageup.prac	Scroll one page up by clicking on [ICON].
click_scroll_pagedown.demo	Clicking on [ICON] scrolls one page down.
click_scroll_pagedown.prac	Scroll one page down by clicking on [ICON].
click_scroll_lineup.demo	Clicking on [ICON] scrolls one row up.
click_scroll_lineup.prac	Scroll one row up by clicking on [ICON].
click_scroll_linedown.demo	Clicking on [ICON] scrolls one row down.
click_scroll_linedown.prac	Scroll one row down by clicking on [ICON].
click_close_window_img.demo	Clicking on [ICON] closes the window.
click_close_window_img.prac	Close the window by clicking on [ICON].
click_select_all_lines_img.demo	Clicking on [ICON] selects all rows.
click_select_all_lines_img.prac	Select all rows by clicking on [ICON].
click_open_card_menu.demo	Clicking on [ICON] opens tab selection.
click_open_card_menu.prac	Open tab selection by clicking on [ICON] .
click_select_card.demo	The [B_NAME] tab is selected.
click_select_card.prac	Select the [B_NAME] tab.
click_next_cards_img.demo	Clicking on [ICON] displays the next tabs.
click_next_cards_img.prac	Display the next tabs by clicking on [ICON].
click_prev_cards_img.demo	Clicking on [ICON] displays the previous tabs.
click_prev_cards_img.prac	Show the previous tabs by clicking on [ICON].
click_open_nav_menu.demo	Clicking on [ICON] opens the navigation menu.
click_open_nav_menu.prac	Open the navigation menu by clicking on [ICON].
click_close_folder_img.demo	Clicking on [ICON] closes the folder [B_NAME].
click_close_folder_img.prac	Close the folder [B_NAME] by clicking on [ICON].
click_open_folder_img.demo	Clicking on [ICON] opens the folder [B_NAME].
click_open_folder_img.prac	Open the folder [B_NAME] by clicking on [ICON].
click_select_element_img.demo	Clicking on [ICON] selects the element [B_NAME].
click_select_element_img.prac	Select the element [B_NAME] by clicking on [ICON].
click_scroll_down.demo	The scroll bar is used to scroll down.
click_scroll_down.prac	Scroll down by using the scroll bar.
dblclick_select_entry.demo	Double clicking on [B_NAME] selects the entry.
dblclick_select_entry.prac	Select the entry [B_NAME] by double-clicking it.
dblclick_select_date.demo	The [B_NAME] is selected.
dblclick_select_date.prac	Select the [B_NAME].
dblclick_start_transaction.demo	The transaction [B_NAME] is started by double-clicking it.
dblclick_start_transaction.prac	Start the transaction [B_NAME] by double clicking it <br>or<br>enter the transaction code [B_TCODE] and confirm with the Enter key.
click_close_group.demo	The group [B_NAME] is closed.
click_close_group.prac	Close the group [B_NAME].
click_open_group.demo	The group [B_NAME] is opened.
click_open_group.prac	Open the group [B_NAME].
select.demo	[B_SELECTED] is selected as [B_NAME].
select.prac	Select [B_SELECTED] as [B_NAME] .
input_text.demo	The [B_NAME] field is filled out.
input_text.prac	Enter [B_INPUT] in the [B_NAME] field.
input_text_value.demo	[B_INPUT] is now entered in the [B_NAME] field.
input_text_value.prac	Enter [B_INPUT] in the [B_NAME] field.
input_text_value_tpcd.demo	[B_INPUT] is now entered in the <b>Transaction-Field</b>.
input_text_value_tpcd.prac	Enter [B_INPUT] in the <b>Transaction-Field</b>.
input_tab_enter_button.demo
input_tab_enter_button.prac	<br>Confirm your entry by pressing the <b>Tab</b> or the <b>Enter key</b> or click on <b>the appropriate button</b>.
input_tab_enter.demo
input_tab_enter.prac	<br>Confirm your entry by pressing the <b>Tab</b> or the <b>Enter key</b>.
input_enter_button.demo
input_enter_button.prac	<br>Confirm your entry by pressing the <b>Enter key</b> or click on <b>the appropriate button</b>.
input_tab.demo
input_tab.prac	<br>Confirm your entry by pressing the <b>Tab key</b>.
input_enter.demo
input_enter.prac	<br>Confirm your entry by pressing the <b>Enter key</b>.
input_button.demo
input_button.prac	<br>Confirm your entry by <b>clicking on the appropriate button</b>.
click_select.demo	[B_NAME] is now selected.
click_select.prac	Select [B_NAME].
click_show_value_help_button.demo	Clicking in the [B_NAME] field opens the <b>Input Help</b>.
click_show_value_help_button.prac	Open the <b>Input Help</b> by clicking in the [B_NAME] field.
click_scroll_horizontal.demo	Scrolling to the right …
click_scroll_horizontal.prac	Please scroll to the right.
click_scroll_vertical.demo	Scrolling down ...
click_scroll_vertical.prac	Scroll down.
click_img_expand.demo	To zoom-in on the navigation area click on [ICON].
click_img_expand.prac	Zoom-in on the navigation area by clicking on [ICON].
click_img_collapse.demo	To zoom-out of the navigation area click on [ICON].
click_img_collapse.prac	Zoom-out of the navigation area by clicking on [ICON].
click_navrow.demo	[B_NAME] is selected in the navigation bar.
click_navrow.prac	Open [B_NAME] in the navigation bar.
click_navrow2.demo	[B_NAME] is selected in the second navigation bar.
click_navrow2.prac	Open [B_NAME] in the second navigation bar.
click_open_context_menu.demo	The shortcut menu of [B_NAME] is opened.
click_open_context_menu.prac	Open the shortcut menu of [B_NAME].
click_radio_select.demo	[B_NAME] is selected.
click_radio_select.prac	Select [B_NAME].
click_select_img.demo	[B_ICON_NAME] is selected.
click_select_img.prac	Select [B_ICON_NAME].
click_open_form_view.demo	[B_ICON_NAME] switches to the forms view.
click_open_form_view.prac	Use [B_ICON_NAME] to switch to the forms view.
history_select.demo	[B_NAME] is selected from recent documents.
history_select.prac	Select [B_NAME] from recent documents.
click_page_up_img.demo	Clicking on [B_ICON] scrolls one page up.
click_page_up_img.prac	Scroll one page up by clicking on [B_ICON].
click_page_down_img.demo	Clicking on [B_ICON] scrolls one page down.
click_page_down_img.prac	Scroll one page down by clicking on [B_ICON].
click_page_top_img.demo	Clicking on [B_ICON] scrolls to the top.
click_page_top_img.prac	Scroll to the top by clicking on [B_ICON].
click_page_bottom_img.demo	Clicking on [B_ICON] scrolls to the end.
click_page_bottom_img.prac	Scroll to the end by clicking on [B_ICON].
click_sort_by_column.demo	The table entries are sorted by column [B_NAME].
click_sort_by_column.prac	Sort the table entries by column [B_NAME] by clicking on the column header.
click_select_date.demo	The [B_NAME] is selected.
click_select_date.prac	Select the [B_NAME].
click_close_card_img.demo	Clicking on [ICON] closes the card.
click_close_card_img.prac	Click on [ICON] to close the card.
click_select_function_img.demo	Clicking on [ICON] selects the function [B_NAME].
click_select_function_img.prac	Click on [ICON] to select the function [B_NAME].
click_hide_treeview.demo	Clicking on [ICON] collapses the tree view.
click_hide_treeview.prac	Collapse the tree view by clicking on [ICON].
click_show_treeview.demo	Clicking on [ICON] expands the tree view.
click_show_treeview.prac	Expand the tree view by clicking on [ICON].
click_mark_transaction.demo	Clicking on [B_NAME] selects the transaction.
click_mark_transaction.prac	Select the transaction [B_NAME] with a click.
dblclick_select_element.demo	The element [B_NAME] is selected by double-clicking it.
dblclick_select_element.prac	Select the element [B_NAME] by double-clicking it.
please_note.demo	Please note the following: [B_NAME].
please_note.prac	Note the following: [B_NAME].
click_open_value_help_img.demo	Clicking on <b>Input Help</b> [ICON] opens a selection list with valid values.
click_open_value_help_img.prac	Click on <b>Input Help</b> [ICON] to open a selection list with valid values.
click_open_selection.demo	Clicking on the button [ICON] opens the list [B_NAME].
click_open_selection.prac	Click on the button [ICON] top open the list [B_NAME].
