click.demo	Napsauta nyt [B_NAME].
click.prac	Napsauta [B_NAME].
click_img.demo	Napsauta nyt [B_NAME_ICON].
click_img.prac	Napsauta [B_NAME_ICON].
click_cancel_trans_img.demo	Napsauttamalla [B_ICON_NAME] tapahtuma keskeytetään.
click_cancel_trans_img.prac	Napsauta [B_ICON_NAME] keskeyttääksesi tapahtuman.
click_back_img.demo	Napsauttamalla [B_ICON_NAME] palataan edelliselle sivulle.
click_back_img.prac	Napsauta [B_ICON_NAME] palataksesi edelliselle sivulle.
click_ok_img.demo	Napsauta nyt [B_ICON_NAME].
click_ok_img.prac	Napsauta [B_ICON_NAME].
click_exit_trans_img.demo	Napsauttamalla [B_ICON_NAME] poistut tapahtumasta.
click_exit_trans_img.prac	Napsauta [B_ICON_NAME] poistuaksesi tapahtumasta.
click_save_img.demo	Napsauttamalla [B_ICON_NAME] tiedot tallennetaan.
click_save_img.prac	Napsauta [B_ICON_NAME] tallentaaksesi tiedot.
click_checkbox_off.demo	[B_NAME] kytketään pois päältä.
click_checkbox_off.prac	Kytke arvo [B_NAME] pois päältä.
click_next_page_img.demo	Napsauttamalla [B_NAME_ICON] avataan seuraava sivu.
click_next_page_img.prac	Napsauta [B_NAME_ICON].
click_checkbox_on.demo	[B_NAME] valitaan.
click_checkbox_on.prac	Valitse arvo [B_NAME].
click_select_value.demo	Arvo [B_NAME] valitaan.
click_select_value.prac	Valitse arvo [B_NAME].
click_open_menu.demo	Valikko [B_NAME] avataan.
click_open_menu.prac	Avaa valikko [B_NAME].
click_menu_select.demo	Kirjaus [B_NAME] valitaan.
click_menu_select.prac	Valitse kirjaus [B_NAME].
click_select_column.demo	Sarake [B_NAME] valitaan.
click_select_column.prac	Valitse sarake [B_NAME] napsauttamalla sarakkeen otsakeriviä.
click_open_value_help.demo	Arvoapu avataan.
click_open_value_help.prac	Avaa arvoapu.
click_select_line.demo	Rivi [B_NAME] valitaan.
click_select_line.prac	Valitse rivi [B_NAME] napsauttamalla ensimmäistä saraketta.
click_scroll_top.demo	Napsauttamalla [ICON] vieritetään alkuun.
click_scroll_top.prac	Vieritä alkuun napsauttamalla [ICON].
click_scroll_bottom.demo	Napsauttamalla [ICON] vieritetään loppuun.
click_scroll_bottom.prac	Vieritä loppuun napsauttamalla [ICON].
click_scroll_pageup.demo	Napsauttamalla [ICON] vieritetään yksi sivu ylöspäin.
click_scroll_pageup.prac	Vieritä yksi sivu ylöspäin napsauttamalla [ICON].
