click.demo	Klikni sada na [B_NAME].
click.prac	Klikni sada na [B_NAME].
click_img.demo	Klikni sada na [B_NAME_ICON].
click_img.prac	Klikni sada na [B_NAME_ICON].
click_cancel_trans_img.demo	Klikom na [B_ICON_NAME] transakcija se prekida.
click_cancel_trans_img.prac	Klikni na [B_ICON_NAME] za prekid transakcije.
click_back_img.demo	Klikom na [B_ICON_NAME] povrat na prijašnju stranicu.
click_back_img.prac	Klikni na [B_ICON_NAME] za povrat na prijašnju stranicu.
click_ok_img.demo	Klikni sada na [B_ICON_NAME].
click_ok_img.prac	Klikni na [B_ICON_NAME].
click_exit_trans_img.demo	Klikom na [B_ICON_NAME] napuštate transakciju.
click_exit_trans_img.prac	Klikni na [B_ICON_NAME] za napuštanje transakcije.
click_save_img.demo	Klikom na [B_ICON_NAME] pohranjujete unos.
click_save_img.prac	Klikni na [B_ICON_NAME] za pohranjivanje unosa.
click_checkbox_off.demo	[B_NAME] se uključuje.
click_checkbox_off.prac	Isključi vrijednost [B_NAME].
click_next_page_img.demo	Klikom na [B_NAME_ICON] otvara se sljedeća stranica.
click_next_page_img.prac	Klikni na [B_NAME_ICON].
click_checkbox_on.demo	Odabir [B_NAME] .
click_checkbox_on.prac	Odaberi vrijednost [B_NAME].
click_select_value.demo	Odabir vrijednosti [B_NAME].
click_select_value.prac	Odaberi vrijednost [B_NAME].
click_open_menu.demo	Otvaranje izbornika [B_NAME].
click_open_menu.prac	Otvori izbornik [B_NAME].
click_menu_select.demo	Odabir unosa [B_NAME].
click_menu_select.prac	Odaberi unos [B_NAME].
click_select_column.demo	Odabir stupca [B_NAME].
click_select_column.prac	Odaberi stupac [B_NAME] klikom na naslov stupca.
click_open_value_help.demo	Otvaranje pomoći za vrijednost.
click_open_value_help.prac	Otvori pomoć za vrijednost.
click_select_line.demo	Odabir retka [B_NAME] .
click_select_line.prac	Odaberi redak [B_NAME] klikom na prvi stupac.
click_scroll_top.demo	Klikom na [ICON] listanje na početak.
click_scroll_top.prac	Listaj na početak klikom na [ICON].
click_scroll_bottom.demo	Klikom na [ICON] listaj na kraj.
click_scroll_bottom.prac	Listaj na kraj klikom na [ICON].
click_scroll_pageup.demo	Klikom na [ICON] stranica se lista gore.
click_scroll_pageup.prac	Listaj stranicu gore klikom na [ICON].
click_scroll_pagedown.demo	Klikom na [ICON] stranica se lista dolje.
click_scroll_pagedown.prac	Listaj stranicu dolje klikom na [ICON].
click_scroll_lineup.demo	Klikom na [ICON] lista se redak gore.
click_scroll_lineup.prac	Listaj redak gore klikom na [ICON].
click_scroll_linedown.demo	Klikom na [ICON] lista se redak dolje.
click_scroll_linedown.prac	Listaj redak dolje klikom na [ICON].
click_close_window_img.demo	Zatvori prozor klikom na [ICON] .
click_close_window_img.prac	Zatvori prozor klikom na [ICON].
click_select_all_lines_img.demo	Klikom na [ICON] označi sve retke.
click_select_all_lines_img.prac	Odaberi sve retke klikom na [ICON].
click_open_card_menu.demo	Klikom na [ICON] otvori izbornik kartica.
click_open_card_menu.prac	Otvori izbor kartice klikom na [ICON] .
click_select_card.demo	Odabir kartice [B_NAME] .
click_select_card.prac	Odaberi kartice [B_NAME] .
click_next_cards_img.demo	Klikom na [ICON] pokazuju se sljedeće kartice.
click_next_cards_img.prac	Pokaži sljedeće kartice klikom na [ICON] .
click_prev_cards_img.demo	Klikom na [ICON] pokaži prethodne kartice.
click_prev_cards_img.prac	Pokaži prethodne kartice klikom na [ICON] .
click_open_nav_menu.demo	Klikom na [ICON] otvara se navigacijski izbornik.
click_open_nav_menu.prac	Otvori navigacijski meni klikom na [ICON].
click_close_folder_img.demo	Klikom na [ICON] zatvori mapu [B_NAME] .
click_close_folder_img.prac	Zatvori mapu [B_NAME] klikom na [ICON].
click_open_folder_img.demo	Klikom na [ICON] otvara se mapa [B_NAME].
click_open_folder_img.prac	Otvori mapu [B_NAME] klikom na [ICON].
click_select_element_img.demo	Klikom na [ICON] bira se element [B_NAME] .
click_select_element_img.prac	Odaberi element [B_NAME] klikom na [ICON] .
click_scroll_down.demo	Kliznom trakom listanje dolje.
click_scroll_down.prac	Listaj pomoću klizne trake dolje
dblclick_select_entry.demo	Dvoklikom na [B_NAME] odabir unosa.
dblclick_select_entry.prac	Odaberi unos [B_NAME] dvoklikom.
dblclick_select_date.demo	Odabir [B_NAME] .
dblclick_select_date.prac	Odaberi [B_NAME] .
dblclick_start_transaction.demo	Dvoklikom se pokreće transakcija [B_NAME] .
dblclick_start_transaction.prac	Pokreni transakciju [B_NAME] dvoklikom <br>ili<br>upiši transakcijski kod [B_TCODE] i potvrdi tipkom Enter.
click_close_group.demo	Zatvara se grupa [B_NAME] .
click_close_group.prac	Zatvori grupu [B_NAME].
click_open_group.demo	Otvara se grupa [B_NAME] .
click_open_group.prac	Otvori grupu [B_NAME].
select.demo	Kao [B_NAME] bira se [B_SELECTED] .
select.prac	Odaberi [B_NAME] kao [B_SELECTED].
input_text.demo	Ispunjava se polje [B_NAME] .
input_text.prac	Upiši [B_INPUT] u polje [B_NAME].
input_text_value.demo	U polje [B_NAME] se upisuje [B_INPUT] .
input_text_value.prac	Upiši [B_INPUT] u polje [B_NAME] .
input_tab_enter_button.demo
input_tab_enter_button.prac	<br>Potvrdi unos  <b>Tab-</b> ili <b>Enter</b> ili klikni na <b>odgovarajuće dugme</b>.
input_tab_enter.demo
input_tab_enter.prac	<br>Potvrdi unos tipkom <b>Tab-</b> ili <b>Enter/b>.
input_enter_button.demo
input_enter_button.prac	<br>Potvrdi unos tipkom <b>Enter</b> ili klikni na<b>odgovarajuće dugme</b>.
input_tab.demo
input_tab.prac	<br>Potvrdi unos tipkom <b>Tab</b>.
input_enter.demo
input_enter.prac	<br>Potvrdi unos tipkom <b>Enter</b>.
input_button.demo
input_button.prac	<br>Potvrdi unos <b>klikom na odgovarajuće dugome</b>.
click_select.demo	Odabir [B_NAME] .
click_select.prac	Odaberi [B_NAME] .
click_show_value_help_button.demo	Klikom na tekstualno polje [B_NAME] otvara se pomoć za vrijednosti.
click_show_value_help_button.prac	Otvori pomoć za vrijednosti klikom na tekstualno polje [B_NAME].
click_scroll_horizontal.demo	Listanje desno…
click_scroll_horizontal.prac	Listaj desno.
click_scroll_vertical.demo	Listanje dolje...
click_scroll_vertical.prac	Listaj dolje.
click_img_expand.demo	Za povećanje navigacijskog područja klikni na [ICON] .
click_img_expand.prac	Povećaj navigacijsko područje klikom na [ICON] .
click_img_collapse.demo	Za smanjivanje navigacijskog područja klikni na [ICON].
click_img_collapse.prac	Smanji navigacijsko područje klikom na [ICON].
click_navrow.demo	U navigacijskom retku bira se [B_NAME] .
click_navrow.prac	Otvori [B_NAME] iz navigacijskog retka.
click_navrow2.demo	U drugom navigacijskom redu bira se [B_NAME] .
click_navrow2.prac	Otvori [B_NAME] iz drugog navigacijskog retka.
click_open_context_menu.demo	Otvara se kontekstualni izbornik [B_NAME].
click_open_context_menu.prac	Otvori kontekstualni imenik [B_NAME].
click_radio_select.demo	Bira se [B_NAME].
click_radio_select.prac	Odaberi [B_NAME].
click_select_img.demo	Bira se [B_ICON_NAME] .
click_select_img.prac	Odaberi [B_ICON_NAME] .
click_open_form_view.demo	Pomoću [B_ICON_NAME] uključuje se u pogled za obrasce.
click_open_form_view.prac	Uključi pomoću [B_ICON_NAME] u pogled za obrasce.
history_select.demo	Bira se iz povijesti [B_NAME] .
history_select.prac	Odaberi [B_NAME] iz povijesti.
click_page_up_img.demo	Klikom na [B_ICON] lista se za stranicu dolje.
click_page_up_img.prac	Listaj za stranicu dolje klikom na [B_ICON].
click_page_down_img.demo	Klikom na [B_ICON] lista se za stranicu dolje.
click_page_down_img.prac	Listaj za stranicu dolje klikom na [B_ICON].
click_page_top_img.demo	Klikom na [B_ICON] lista se na početak.
click_page_top_img.prac	Listaj na početak klikom na [B_ICON].
click_page_bottom_img.demo	Klikom na [B_ICON] lista se na kraj.
click_page_bottom_img.prac	LIstaj na kraj klikom na [B_ICON].
click_sort_by_column.demo	Sortiranje po stupcu [B_NAME] .
click_sort_by_column.prac	Sortiraj po stupcu [B_NAME].
click_select_date.demo	Bira se [B_NAME] .
click_select_date.prac	Odaberi [B_NAME].
click_close_card_img.demo	Klikom na [ICON] zatvara se kartica.
click_close_card_img.prac	Klikni na [ICON] radi zatvaranja kartice.
click_select_function_img.demo	Klikom na [ICON] bira se funkcija [B_NAME] .
click_select_function_img.prac	Klikni na [ICON] za izbor [B_NAME] funkcije.
click_hide_treeview.demo	Klikom na [ICON] isključuje se pogled stabla.
click_hide_treeview.prac	Isključi pogled stabla klikom na [ICON].
click_show_treeview.demo	Klikom na [ICON] uključuje se pogled stabla.
click_show_treeview.prac	Uključi pogled stabla klikom na [ICON].
click_mark_transaction.demo	Klikom na [B_NAME] označava se transakcija.
click_mark_transaction.prac	Označi transakciju [B_NAME] klikom.
dblclick_select_element.demo	Dvoklikom se bira element [B_NAME] .
dblclick_select_element.prac	Odaberi element [B_NAME] dvoklikom.
please_note.demo	Obrati pozornost na: [B_NAME].
please_note.prac	Obrati pozornost na: [B_NAME].
click_open_value_help_img.demo	Klikom na<b>pomoć za unos</b> [ICON] otvara se izbornik s valjanim vrijednostima.
click_open_value_help_img.prac	Klikni na <b>pomoć za unosa</b> [ICON] za otvaranje izbornika s valjanim vrijednostima.
click_open_selection.demo	Klikom na [ICON] otvara se izbornik.
click_open_selection.prac	Klikni na [ICON] za otvaranje izbornika.
click_mark_entry.demo	Unos se označava klikom [B_NAME] .
click_mark_entry.prac	Označi unos [B_NAME] klikom.
click_mark_entry_img.demo	Odabir unosa klikom na [ICON] .
click_mark_entry_img.prac	Odaberi klikom [ICON] unos.
click_menu_select_img.demo	Klikom na [ICON] izvršava se točka menija.
click_menu_select_img.prac	Klikni na točku menija  [ICON] za izvršavanje.
click_open_menu_img.demo	Meni [ICON] se otvara klikanjem.
click_open_menu_img.prac	Klikni na meni [ICON] za otvaranje.
click_select_card_img.demo	Klikanjem na [ICON] bira se registarska kartica.
click_select_card_img.prac	Klikni na registarsku karticu [ICON] za odabir.
dblclick_select_line.demo	Dvoklikom na kvadratić [NAME] označava se red.
dblclick_select_line.prac	Dvoklikom na kvadratić [NAME] za označavanje reda.
click_activate_edit.demo	Polje upisa [B_NAME] aktivira se klikom.
click_activate_edit.prac	Aktiviraj klikom na polje upisa [B_NAME] .
dblclick_activate_edit.demo	Dvoklikom aktiviraj polje upisa [B_NAME] .
dblclick_activate_edit.prac	Dvoklikom aktivirati polje upisa [B_NAME] .
dblclick_open_folder_img.demo	Dvoklikom na simbol [ICON] otvara se mapa [B_NAME].
dblclick_open_folder_img.prac	Otvori mapu [B_NAME] dvoklikom na simbol [ICON].
click_open_folder.demo	Klikom na <b>'Otvori mapu'</b> simbol otvara se mapa [B_NAME].
click_open_folder.prac	Otvori mapu [B_NAME] klikom na simbol<b>'Otvori mapu'</b> .
dblclick_open_folder.demo	Dvoklikom na simbol<b>'Otvori mapu'</b> otvara se mapa [B_NAME].
dblclick_open_folder.prac	Otvori mapu [B_NAME] dvoklikom na simbol <b>'Otvori mapu'</b> .
click_close_folder.demo	Klikom na simbol <b>'Zatvori mapu'</b> mapa se zatvara [B_NAME].
click_close_folder.prac	Zatvori mapu [B_NAME] klikom na simbol <b>'Zatvori mapu'</b> .
drag_scroll_hor.demo	Klikanjem i povlačenjem <b>klizne tlake</b> otvara se željeno područje.
drag_scroll_hor.prac	Klikni i povuci <b>vodoravnu kliznu traku</b> za listanje.
drag_scroll_vert.demo	Klikanjem i povlačenjem <b>klizne trake</b> otvara se željeno područje.
drag_scroll_vert.prac	Klikni i povuci <b>vodoravnu kliznu traku</b> za listanje.
click_scroll.demo	Klikanjem na <b>dugme za listanje</b> [NAME] otvara se željeno područje.
click_scroll.prac	Listaj klikanjem na <b>dugme za listanje</b> [NAME].
click_scroll_page_left.demo	Klikanjem na <b>područje listanja</b> otvara se željeno područje.
click_scroll_page_left.prac	Klikni na <b>područje lijevo od klizne trake</b> za listanje.
click_scroll_page_right.demo	Klikanjem na <b>područje listanja</b> otvara se željeno područje.
click_scroll_page_right.prac	Klikni na <b>područje desno od trake za listanje</b> za listanje.
click_scroll_page_up.demo	Klikanjem na <b>područje listanja</b> otvara se željeno područje.
click_scroll_page_up.prac	Klikni na <b>područje iznad klizne trake</b> za listanje.
click_scroll_page_down.demo	Klikanjem na <b>područje listanja</b> željeno područje postaje vidljivo.
click_scroll_page_down.prac	Klikni na područje <b> ispod klizne trake </b> za listanje.
rclick_context.demo	Klikanjem desne tipke miša na [B_NAME] otvara se kontekstni izbornik.
rclick_context.prac	Klikni na [B_NAME] desnom tipkom miša.
dblclick_img.demo	Dvoklik na [ICON].
dblclick_img.prac	Dvoklik na [ICON].
keypress.demo	Utipkaj [B_KEY] .
keypress.prac	Utipkaj [B_KEY] .
item.close_folder	Zatvori mapu
item.open_folder	Otvori mapu
item.enter_key	Tipka Enter
item.tab_key	Tipka Tab
item.vscroll	Okomiti klizač
item.hscroll	Vodoravni klizač
item.close_window	Zatvori prozor
item.value_help	Odabir vrijednosti
item.scroll	Traka za listanje
item.back_btn	Natrag
item.save_btn	Pohranjivanje
item.scroll_area	Područje listanja
input_text_value_tpcd.demo	[B_INPUT] is now entered in the <b>Transaction-Field</b>.
input_text_value_tpcd.prac	Enter [B_INPUT] in the <b>Transaction-Field</b>.
drag_img.demo	Drag [B_NAME_ICON].
drag_img.prac	Drag [B_NAME_ICON].
drop_img.demo	Drop on [B_NAME_ICON].
drop_img.prac	Drop on [B_NAME_ICON].
click_combobtn_tpcd.demo	Clicking on [ICON] of the <b>Transaction Field</b> opens a list of already executed transactions.
click_combobtn_tpcd.prac	Click on [ICON] of the <b>Transaction Field</b> to open the list of already executed transactions.
docQuizzesTitle	Quiz Evaluation
docQuizzesInformation	information:
docQuizzesScorePassed	necessary score:
docQuizzesScoreAchieved	achieved score:
docQuizzesScoreMax	maximum score:
dblclick_mark_entry_img.demo	Double-clicking on the entry [ICON] selects it.
dblclick_mark_entry_img.prac	Select the entry [ICON] by double-clicking it.
