click.demo	Most kattintson a [B_NAME] pontra.
click.prac	Kattintson a [B_NAME] pontra.
click_img.demo	Most kattintson a [B_NAME_ICON] pontra.
click_img.prac	Kattintson a [B_NAME_ICON] pontra.
click_cancel_trans_img.demo	A [B_ICON_NAME] pontra kattintva a tranzakció megszakad.
click_cancel_trans_img.prac	A tranzakció megszakításához kattintson a [B_ICON_NAME] pontra.
click_back_img.demo	A [B_ICON_NAME] pontra kattintva visszalép az előző oldalra.
click_back_img.prac	Az előző oldalra való visszatéréshez kattintson a [B_ICON_NAME] pontra.
click_ok_img.demo	Most kattintson a [B_ICON_NAME] pontra.
click_ok_img.prac	Kattintson a [B_ICON_NAME] pontra. 
click_exit_trans_img.demo	A [B_ICON_NAME] pontra kattintva kilép a tranzakcióból.
click_exit_trans_img.prac	A tranzakcióból való kilépéshez kattintson a [B_ICON_NAME] pontra.
click_save_img.demo	A [B_ICON_NAME] pontra kattintva elmentheti a bevitt adatokat.
click_save_img.prac	A bevitt adatok mentéséhez kattintson a [B_ICON_NAME] pontra.
click_checkbox_off.demo	A [B_NAME] kikapcsolódik.
click_checkbox_off.prac	Kapcsolja ki a [B_NAME] értéket.
click_next_page_img.demo	A [B_NAME_ICON] pontra kattintva megnyílik a következő oldal.
click_next_page_img.prac	Kattintson a [B_NAME_ICON] pontra.
click_checkbox_on.demo	A [B_NAME] kiválasztásra kerül.
click_checkbox_on.prac	Válassza ki a [B_NAME] értéket.
click_select_value.demo	A [B_NAME] érték kiválasztásra kerül.
click_select_value.prac	Válassza ki a [B_NAME] értéket.
click_open_menu.demo	Megnyílik a [B_NAME] menü.
click_open_menu.prac	Nyissa meg a [B_NAME] menüt.
click_menu_select.demo	A [B_NAME] bejegyzés kiválasztásra kerül.
click_menu_select.prac	Válassza ki a [B_NAME] bejegyzést.
click_select_column.demo	A B_NAME] oszlop kiválasztásra kerül.
click_select_column.prac	Az oszlop fejlécére kattintva válassza ki a [B_NAME] oszlopot.
click_open_value_help.demo	Megnyílik az értékekre vonatkozó súgó.
click_open_value_help.prac	Nyissa meg az értékekre vonatkozó súgót.
click_select_line.demo	A [B_NAME] sor kiválasztásra kerül.
click_select_line.prac	Az első oszlopon belül kattintva válassza ki a [B_NAME] sort.
