click.demo	[B_Name] diklik.	
click.prac	Kliklah [B_NAME].	
click_img.demo	[B_NAME_ICON] diklik.	
click_img.prac	Kliklah [B_NAME_ICON].	
click_cancel_trans_img.demo	Mengklik pada [B_ICON_NAME] akan menggugurkan transaksi.	
click_cancel_trans_img.prac	Klik pada [B_ICON_NAME] untuk menggugurkan transaksi.	
click_back_img.demo	Mengklik pada [B_ICON_NAME] akan membawa Anda kembali ke halaman sebelumnya.	
click_back_img.prac	Mengklik pada [B_ICON_NAME] akan membawa Anda kembali ke halaman sebelumnya.	
click_ok_img.demo	Sekarang klik pada [B_ICON_NAME].	
click_ok_img.prac	Klik pada [B_ICON_NAME].	
click_exit_trans_img.demo	Mengklik pada [B_ICON_NAME] akan menghentikan transaksi.	
click_exit_trans_img.prac	Klik pada [B_ICON_NAME] untuk menghentikan transaksi.	
click_save_img.demo	Mengklik pada [B_ICON_NAME] akan menyimpan entri Anda.	
click_save_img.prac	Klik pada [B_ICON_NAME] untuk menyimpan pemasukan Anda.	
click_checkbox_off.demo	[B_NAME] dinonaktifkan.	
click_checkbox_off.prac	Nonaktifkan nilai [B_NAME].	
click_next_page_img.demo	Mengklik pada [B_NAME_ICON] akan membuka halaman berikutnya.	
click_next_page_img.prac	Kliklah [B_NAME_ICON].	
click_checkbox_on.demo	[B_NAME] dipilih.	
click_checkbox_on.prac	Pilih nilai [B_NAME].	
click_select_value.demo	Nilai [B_NAME] dipilih.	
click_select_value.prac	Pilih nilai [B_NAME].	
click_open_menu.demo	Ini akan membuka menu [B_NAME].	
click_open_menu.prac	Buka menu [B_NAME].	
click_menu_select.demo	Entri [B_NAME] dipilih.	
click_menu_select.prac	Pilih entri [B_NAME].	
click_select_column.demo	Kolom [B_NAME] dipilih.	
click_select_column.prac	Pilih kolom [B_NAME] dengan mengklik kepala kolom.	
click_open_value_help.demo	Ini akan membuka Bantuan untuk nilai.	
click_open_value_help.prac	Bukalah Bantuan untuk nilai.	
click_select_line.demo	Baris [B_NAME] dipilih.	
click_select_line.prac	Pilih baris [B_NAME] dengan mengklik kolom yang pertama.	
click_scroll_top.demo	Mengklik [ICON] akan menggulung ke permulaan.	
click_scroll_top.prac	Gulung ke permulaan dengan mengklik [ICON].	
click_scroll_bottom.demo	Mengklik [ICON] akan menggulung ke akhir.	
click_scroll_bottom.prac	Gulung ke akhir dengan mengklik [ICON].	
click_scroll_pageup.demo	Mengklik [ICON] akan menggulung satu halaman ke atas.	
click_scroll_pageup.prac	Gulung satu halaman ke atas dengan mengklik [ICON].	
click_scroll_pagedown.demo	Mengklik [ICON] akan menggulung satu halaman ke bawah.	
click_scroll_pagedown.prac	Gulung satu halaman ke bawah dengan mengklik [ICON].	
click_scroll_lineup.demo	Mengklik [ICON] akan menggulung satu baris ke atas.	
click_scroll_lineup.prac	Gulung satu baris ke atas dengan mengklik [ICON].	
click_scroll_linedown.demo	Mengklik [ICON] akan menggulung satu baris ke bawah.	
click_scroll_linedown.prac	Gulung satu baris ke bawah dengan mengklik [ICON].	
click_close_window_img.demo	Mengklik [ICON] akan menutup jendela.	
click_close_window_img.prac	Tutup jendela dengan mengklik [ICON].	
click_select_all_lines_img.demo	Mengklik [ICON] akan memilih semua baris.	
click_select_all_lines_img.prac	Pilih semua baris dengan mengklik [ICON].	
click_open_card_menu.demo	Mengklik [ICON] akan membuka pemilihan tab.	
click_open_card_menu.prac	Buka pemilihan tab dengan mengklik [ICON].	
click_select_card.demo	Tab [B_NAME] dipilih.	
click_select_card.prac	Pilih tab [B_NAME].	
click_next_cards_img.demo	Mengklik [ICON] akan menampilkan tab berikutnya.	
click_next_cards_img.prac	Perlihatkan tab berikutnya dengan mengklik [ICON].	
click_prev_cards_img.demo	Mengklik [ICON] akan menampilkan tab sebelumnya.	
click_prev_cards_img.prac	Perlihatkan tab sebelumnya dengan mengklik [ICON].	
click_open_nav_menu.demo	Mengklik [ICON] akan membuka menu navigasi.	
click_open_nav_menu.prac	Buka menu navigasi dengan mengklik [ICON].	
click_close_folder_img.demo	Mengklik [ICON] akan menutup folder [B_NAME].	
click_close_folder_img.prac	Tutup folder [B_NAME] dengan mengklik [ICON].	
click_open_folder_img.demo	Mengklik [ICON] akan membuka folder [B_NAME].	
click_open_folder_img.prac	Buka folder [B_NAME] dengan mengklik [ICON].	
click_select_element_img.demo	Mengklik [ICON] akan memilih elemen [B_NAME].	
click_select_element_img.prac	Pilih elemen [B_NAME] dengan mengklik [ICON].	
click_scroll_down.demo	Bilah penggulung ini digunakan untuk menggulung ke bawah.	
click_scroll_down.prac	Gulung ke bawah dengan bantuan batang penggulung	
dblclick_select_entry.demo	Mengklik dua kali [B_NAME] akan memilih entri terkait.	
dblclick_select_entry.prac	Pilih entri [B_NAME] dengan mengkliknya dua kali.	
dblclick_select_date.demo	[B_NAME] dipilih.	
dblclick_select_date.prac	Pilih [B_NAME].	
dblclick_start_transaction.demo	Transaksi [B_NAME] dimulai dengan mengkliknya dua kali.	
dblclick_start_transaction.prac	Mulai transaksi [B_NAME] dengan mengkliknya dua kali <br>atau<br>memasukkan kode transaksi [B_TCODE] dan mengonfirmasi dengan tombol Enter.	
click_close_group.demo	Grup [B_NAME] ditutup.	
click_close_group.prac	Tutuplah grup [B_NAME].	
click_open_group.demo	Grup [B_NAME] ditutup.	
click_open_group.prac	Bukalah grup [B_NAME].	
select.demo	[B_SELECTED] dipilih sebagai [B_NAME].	
select.prac	Pilihlah [B_SELECTED] sebagai [B_NAME] .	
