click.demo	Tagad uzklikšķiniet uz [B_NAME].
click.prac	"Uzklikšķiniet, lūdzu, uz [B_NAME]."
click_img.demo	Tagad uzklikšķiniet uz [B_NAME_ICON].
click_img.prac	"Uzklikšķiniet, lūdzu, uz  [B_NAME_ICON]."
click_cancel_trans_img.demo	"Uzklikšķinot uz [B_ICON_NAME], transakcija tiek pārtraukta."
click_cancel_trans_img.prac	"Ja vēlaties pārtraukt transakciju, uzklikšķiniet uz [B_ICON_NAME]."
click_back_img.demo	"Uzklikšķinot uz [B_ICON_NAME], Jūs atgriežaties iepriekšējā lappusē.  "
click_back_img.prac	"Lai atgrieztos iepriekšējā lappusē, uzklikšķiniet uz [B_ICON_NAME]."
click_ok_img.demo	Tagad uzklikšķiniet uz [B_ICON_NAME].
click_ok_img.prac	Uzklikšķiniet uz [B_ICON_NAME].
click_exit_trans_img.demo	"Uzklikšķinot uz [B_ICON_NAME], Jūs atstājat transakciju. "
click_exit_trans_img.prac	"Ja vēlaties atstāt transakciju, uzklikšķiniet uz [B_ICON_NAME]."
click_save_img.demo	"Uzklikšķinot uz [B_ICON_NAME], Jūs saglabājat datus atmiņā. "
click_save_img.prac	"Ja vēlaties saglabāt datus atmiņā, uzklikšķiniet uz [B_ICON_NAME]."
click_checkbox_off.demo	[B_NAME] tiek izslēgts.
click_checkbox_off.prac	Izslēdziet vērtību [B_NAME].
click_next_page_img.demo	"Uzklikšķinot uz [B_NAME_ICON], Jūs atverat nākamo lappusi. "
click_next_page_img.prac	"Uzklikšķiniet, lūdzu, uz [B_NAME_ICON]."
click_checkbox_on.demo	[B_NAME] tiek selektēts .
click_checkbox_on.prac	Selektējiet vērtību [B_NAME].
click_select_value.demo	Vērtība[B_NAME] tiek izvēlēta.
click_select_value.prac	Izvēlējieties vērtību [B_NAME].
click_open_menu.demo	Izvēlne [B_NAME] tiek atvērta.
click_open_menu.prac	Atveriet izvēlni [B_NAME].
click_menu_select.demo	Ieraksts[B_NAME] tiek izvēlēts.
click_menu_select.prac	Izvēlējieties ierakstu [B_NAME].
click_select_column.demo	Aile [B_NAME] tiek izvēlēta.
click_select_column.prac	"Izvēlējieties aili  [B_NAME], uzklikšķinot uz ailes augšējās daļas."
click_open_value_help.demo	Vērtību palīdzība tiek atvērta.
click_open_value_help.prac	"Atveriet, lūdzu, vērtību palīdzību."
click_select_line.demo	Rinda [B_NAME] tiek izvēlēta.
click_select_line.prac	"Izvēlējieties rindu [B_NAME], ieklikšķinot pirmajā ailē. "
click_scroll_top.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz sākumu."
click_scroll_top.prac	"Skrollējiet uz sākumu, uzklikšķinot uz [ICON]."
click_scroll_bottom.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz beigām."
click_scroll_bottom.prac	"Skrollējiet uz beigām, uzklikšķinot uz [ICON]."
click_scroll_pageup.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz augšu."
