click.demo	Faceţi clic acum pe [B_NAME].
click.prac	Faceţi clic acum pe  [B_NAME].
click_img.demo	Faceţi clic acum pe  [B_NAME_ICON].
click_img.prac	Faceţi clic acum pe  [B_NAME_ICON].
click_cancel_trans_img.demo	Dacă faceţi clic pe [B_ICON_NAME] tranzacţia se întrerupe.
click_cancel_trans_img.prac	Faceţi clic pe [B_ICON_NAME] pentru a întrerupe tranzacţia.
click_back_img.demo	"Dacă faceţi clic pe [B_ICON_NAME], Vă întoarceţi lap pagina precedentă."
click_back_img.prac	Faceţi clic pe  [B_ICON_NAME] pentru a Vă întoarce la pagina precedentă.
click_ok_img.demo	Faceţi clic acum pe [B_ICON_NAME].
click_ok_img.prac	Faceţi clic pe [B_ICON_NAME].
click_exit_trans_img.demo	Prin clic pe [B_ICON_NAME] părăsiţi tranzacţia.
click_exit_trans_img.prac	Faceţi clic pe [B_ICON_NAME] pentru a părăsi tranzacţia.
click_save_img.demo	Prin clic pe [B_ICON_NAME] salvaţi introducerile.
click_save_img.prac	Faceţi clic pe [B_ICON_NAME] pentru a salva introducerile.
click_checkbox_off.demo	[B_NAME] se deconectează.
click_checkbox_off.prac	Deconectaţi valoarea [B_NAME].
click_next_page_img.demo	Prin clic pe [B_NAME_ICON] deschideţi pagina următoare.
click_next_page_img.prac	Faceţi clic pe [B_NAME_ICON].
click_checkbox_on.demo	[B_NAME] va fi selectat.
click_checkbox_on.prac	Selectaţi valoarea [B_NAME].
click_select_value.demo	Valoarea [B_NAME] va fi desemnată.
click_select_value.prac	Desemnaţi valoarea [B_NAME].
click_open_menu.demo	Se deschide meniul [B_NAME].
click_open_menu.prac	Deschideţi meniul [B_NAME].
click_menu_select.demo	Se desemnează înregistrarea [B_NAME].
click_menu_select.prac	Alegeţi înregistrarea [B_NAME].
click_select_column.demo	Se alege coloana [B_NAME].
click_select_column.prac	Desemnaţi coloana [B_NAME] prin clic pe capul coloanei.
click_open_value_help.demo	Se deschide ajutorul-valori.
click_open_value_help.prac	Deschideţi ajutorul-valori.
click_select_line.demo	Se desemnează rândul [B_NAME].
click_select_line.prac	Desemnaţi rândul [B_NAME] prin clic în prima coloană.
click_scroll_top.demo	Prin clic pe [ICON] se rulează de la început.
click_scroll_top.prac	Rulaţi de la început prin clic pe [ICON].
click_scroll_bottom.demo	Prin clic pe [ICON] se rulează le sfârşit.
click_scroll_bottom.prac	Rulaţi la sfârşit prin clic pe [ICON].
click_scroll_pageup.demo	Prin clic pe [ICON] se rulează o pagină în sus.
click_scroll_pageup.prac	Rulaţi cu o pagină în sus prin clic pe [ICON].
click_scroll_pagedown.demo	Prin clic pe [ICON] se rulează o pagină în jos.
click_scroll_pagedown.prac	Rulaţi cu o pagină în jos prin clic pe[ICON].
click_scroll_lineup.demo	Prin clic pe [ICON] se rulează cu un rând în sus.
click_scroll_lineup.prac	Rulaţi cu un rând în sus prin clic pe [ICON].
click_scroll_linedown.demo	Prin clic pe [ICON] se rulează cu un rând în jos.
click_scroll_linedown.prac	Rulaţi cu un rând în jos prin clic pe[ICON].
click_close_window_img.demo	Prin clic pe [ICON] fereastra se închide.
click_close_window_img.prac	Închideţi fereastra prin clic pe [ICON].
click_select_all_lines_img.demo	Prin clic pe [ICON] toate rândurile vor fi marcate.
click_select_all_lines_img.prac	Selectaţi toate rândurile prin clic pe [ICON].
click_open_card_menu.demo	Prin clic pe [ICON] se deschide fereastra cu selectarea cartelei.
click_open_card_menu.prac	Deschideţi fereastra cu selectarea cartelei prin clic pe [ICON] .
click_select_card.demo	Se desemnează cartela [B_NAME].
click_select_card.prac	Desemnaţi cartela [B_NAME].
click_next_cards_img.demo	Prin clic pe [ICON] se vor afişa cartelele următoare.
click_next_cards_img.prac	Indicaţi carela următoare prin clic pe [ICON].
click_prev_cards_img.demo	Prin clic pe [ICON] se vor afişa cartelele precedente.
click_prev_cards_img.prac	Indicaţi caretla precedentă prin clic pe [ICON].
click_open_nav_menu.demo	Prin clic pe [ICON] se deschide meniul de navigaţie.
click_open_nav_menu.prac	Deschideţi meniul de navigaţie prin clic pe [ICON].
click_close_folder_img.demo	Prin clic pe [ICON] se închide fişierul [B_NAME].
click_close_folder_img.prac	Închideţi fişierul [B_NAME] prin clic pe [ICON].
click_open_folder_img.demo	Prin clic pe [ICON] se deschide fişierul [B_NAME].
click_open_folder_img.prac	Deschideţi fişierul [B_NAME] prin clic pe [ICON].
click_select_element_img.demo	Prin clic pe [ICON] se desemnează elementul [B_NAME].
click_select_element_img.prac	Desemnaţi elementul [B_NAME] prin clic pe [ICON].
click_scroll_down.demo	Se rulează în jos cu bara de rulare.
click_scroll_down.prac	Rulaţi în jos cu ajutorul barei de rulare
dblclick_select_entry.demo	Prin clic dublu se desemnează înregistrarea [B_NAME].
dblclick_select_entry.prac	Alegeţi prin clic dublu înregistrarea [B_NAME].
dblclick_select_date.demo	Se desemnează [B_NAME].
dblclick_select_date.prac	Desemnaţi [B_NAME].
dblclick_start_transaction.demo	Cu clic dublu se porneşte tranzacţia [B_NAME].
dblclick_start_transaction.prac	Porniţi tranzacţia [B_NAME] cu clic dublu <br>sau<br>introduceţi codu tranzacţiei [B_TCODE] şi confirmaţi cu tasta Enter.
click_close_group.demo	Grupul [B_NAME] se închide.
click_close_group.prac	Închideţi grupul [B_NAME].
click_open_group.demo	Grupul [B_NAME] se deschide.
click_open_group.prac	Deschideţi grupul [B_NAME].
select.demo	Ca [B_NAME] se va desemna [B_SELECTED].
select.prac	Desemnaţi [B_SELECTED]  ca [B_NAME].
input_text.demo	Se completează zona [B_NAME].
input_text.prac	Indicaţi [B_INPUT] în zona [B_NAME].
input_text_value.demo	În zona [B_NAME] se introduce acum [B_INPUT].
input_text_value.prac	Introduceţi [B_INPUT] în zona [B_NAME].
input_tab_enter_button.demo
input_tab_enter_button.prac	<br>Confirmaţi înregistrarea cu <b>Tab-</b> sau <b>tasta Enter</b> sau faceţi clic pe <b>butonul corespunzător</b>.
input_tab_enter.demo
input_tab_enter.prac	<br>Confirmaţi înregistrarea cu <b>Tab-</b> sau <b>tasta Enter</b>.
input_enter_button.demo
input_enter_button.prac	<br>Confirmaţi înregistrarea cu <b>tasta Enter</b> sau faceţi clic <b>pe butonul corespunzător</b>.
input_tab.demo
input_tab.prac	<br>Confirmaţi înregistrarea cu <b>tasta Tab</b>.
input_enter.demo
input_enter.prac	<br>Confirmaţi înregistrarea cu <b>tasta Enter</b>.
input_button.demo
