click.demo	[B_Name] ถูกคลิก	
click.prac	โปรดคลิกที่ [B_NAME]	
click_img.demo	[B_NAME_ICON] ถูกคลิก	
click_img.prac	โปรดคลิกที่ [B_NAME_ICON]	
click_cancel_trans_img.demo	การคลิกที่ [B_ICON_NAME] จะยกเลิกทรานแซคชัน	
click_cancel_trans_img.prac	คลิกที่ [B_ICON_NAME] เพื่อยกเลิกทรานแซคชัน	
click_back_img.demo	การคลิกที่ [B_ICON_NAME] จะนำคุณกลับไปที่หน้าก่อนหน้านี้	
click_back_img.prac	คลิกที่ [B_ICON_NAME] เพื่อกลับไปที่หน้าก่อนหน้านี้	
click_ok_img.demo	ตอนนี้ให้คลิกที่ [B_ICON_NAME]	
click_ok_img.prac	คลิกที่ [B_ICON_NAME]	
click_exit_trans_img.demo	การคลิกที่ [B_ICON_NAME] จะออกจากทรานแซคชัน	
click_exit_trans_img.prac	คลิกที่ [B_ICON_NAME] เพื่อออกจากทรานแซคชัน	
click_save_img.demo	การคลิกที่ [B_ICON_NAME] จะบันทึกรายการของคุณ	
click_save_img.prac	คลิกที่ [B_ICON_NAME] เพื่อบันทึกรายการของคุณ	
click_checkbox_off.demo	[B_NAME] ถูกปิดการใช้งาน	
click_checkbox_off.prac	ปิดการใช้งานค่า [B_NAME]	
click_next_page_img.demo	การคลิกที่ [B_NAME_ICON] จะเปิดหน้าถัดไป	
click_next_page_img.prac	โปรดคลิกที่ [B_NAME_ICON]	
click_checkbox_on.demo	[B_NAME] ถูกเลือก	
click_checkbox_on.prac	เลือกค่า [B_NAME]	
click_select_value.demo	ค่า [B_NAME] ถูกเลือก	
click_select_value.prac	เลือกค่า [B_NAME]	
click_open_menu.demo	การดำเนินการนี้จะเปิดเมนู [B_NAME]	
click_open_menu.prac	เปิดเมนู [B_NAME]	
click_menu_select.demo	รายการ [B_NAME] ถูกเลือก	
click_menu_select.prac	เลือกรายการ [B_NAME]	
click_select_column.demo	คอลัมน์ [B_NAME] ถูกเลือก	
click_select_column.prac	เลือกคอลัมน์ [B_NAME] ด้วยการคลิกที่ส่วนหัวคอลัมน์	
click_open_value_help.demo	การดำเนินการนี้จะเปิดวิธีใช้สำหรับค่าต่างๆ	
click_open_value_help.prac	โปรดเปิดวิธีใช้สำหรับค่าต่างๆ	
click_select_line.demo	บรรทัด [B_NAME] ถูกเลือก	
click_select_line.prac	เลือกบรรทัด [B_NAME] ด้วยการคลิกที่บรรทัดนั้นในคอลัมน์แรก	
click_scroll_top.demo	การคลิกที่ [ICON] จะเลื่อนไปที่จุดเริ่มต้น	
click_scroll_top.prac	เลื่อนไปที่จุดเริ่มต้นด้วยการคลิกที่ [ICON]	
click_scroll_bottom.demo	การคลิกที่ [ICON] จะเลื่อนไปที่จุดสิ้นสุด	
click_scroll_bottom.prac	เลื่อนไปที่จุดสิ้นสุดด้วยการคลิกที่ [ICON]	
click_scroll_pageup.demo	การคลิกที่ [ICON] จะเลื่อนขึ้นหนึ่งหน้า	
click_scroll_pageup.prac	เลื่อนขึ้นหนึ่งหน้าด้วยการคลิกที่ [ICON]	
click_scroll_pagedown.demo	การคลิกที่ [ICON] จะเลื่อนลงหนึ่งหน้า	
click_scroll_pagedown.prac	เลื่อนลงหนึ่งหน้าด้วยการคลิกที่ [ICON]	
click_scroll_lineup.demo	การคลิกที่ [ICON] จะเลื่อนขึ้นหนึ่งบรรทัด	
click_scroll_lineup.prac	เลื่อนขึ้นหนึ่งบรรทัดด้วยการคลิกที่ [ICON]	
click_scroll_linedown.demo	การคลิกที่ [ICON] จะเลื่อนลงหนึ่งบรรทัด	
click_scroll_linedown.prac	เลื่อนลงหนึ่งบรรทัดด้วยการคลิกที่ [ICON]	
click_close_window_img.demo	การคลิกที่ [ICON] จะปิดหน้าต่าง	
click_close_window_img.prac	ปิดหน้าต่างด้วยการคลิกที่ [ICON]	
click_select_all_lines_img.demo	การคลิกที่ [ICON] จะเลือกทุกบรรทัด	
click_select_all_lines_img.prac	เลือกทุกบรรทัดด้วยการคลิกที่ [ICON]	
click_open_card_menu.demo	การคลิกที่ [ICON] จะเปิดการเลือกแท็บ	
click_open_card_menu.prac	เปิดการเลือกแท็บด้วยการคลิกที่ [ICON]	
click_select_card.demo	แท็บ [B_NAME] ถูกเลือก	
click_select_card.prac	เลือกแท็บ [B_NAME]	
click_next_cards_img.demo	การคลิกที่ [ICON] จะแสดงแท็บถัดไป	
click_next_cards_img.prac	แสดงแท็บถัดไปด้วยการคลิกที่ [ICON]	
click_prev_cards_img.demo	การคลิกที่ [ICON] จะแสดงแท็บก่อนหน้า	
click_prev_cards_img.prac	แสดงแท็บก่อนหน้าด้วยการคลิกที่ [ICON]	
click_open_nav_menu.demo	การคลิกที่ [ICON] จะเปิดเมนูการสำรวจ	
click_open_nav_menu.prac	เปิดเมนูการสำรวจด้วยการคลิกที่ [ICON]	
click_close_folder_img.demo	การคลิกที่ [ICON] จะปิดโฟลเดอร์ [B_NAME]	
click_close_folder_img.prac	ปิดโฟลเดอร์ [B_NAME] ด้วยการคลิกที่ [ICON]	
click_open_folder_img.demo	การคลิกที่ [ICON] จะเปิดโฟลเดอร์ [B_NAME]	
click_open_folder_img.prac	เปิดโฟลเดอร์ [B_NAME] ด้วยการคลิกที่ [ICON]	
click_select_element_img.demo	การคลิกที่ [ICON] จะเลือกองค์ประกอบ [B_NAME]	
