click.demo	Şimdi [B_NAME] üzerine tıklayın.
click.prac	Lütfen [B_NAME] üzerine tıklayın.
click_img.demo	Şimdi [B_NAME_ICON] üzerine tıklayın.
click_img.prac	Lütfen [B_NAME_ICON] üzerine tıklayın.
click_cancel_trans_img.demo	[B_ICON_NAME] üzerine tıklanarak eylem iptal edilir.
click_cancel_trans_img.prac	Eylemi iptal etmek için [B_ICON_NAME] üzerine tıklayın.
click_back_img.demo	[B_ICON_NAME] üzerine tıkladığınızda önceki sayfaya geri dönersiniz.
click_back_img.prac	Önceki sayfaya geri dönmek için [B_ICON_NAME] üzerine tıklayın.
click_ok_img.demo	Şimdi [B_ICON_NAME] üzerine tıklayın.
click_ok_img.prac	[B_ICON_NAME] üzerine tıklayın.
click_exit_trans_img.demo	[B_ICON_NAME] üzerine tıklanarak eylemden çıkılır.
click_exit_trans_img.prac	Eylemden çıkmak için [B_ICON_NAME] üzerine tıklayın.
click_save_img.demo	[B_ICON_NAME] tıklayarak girişleri kaydedersiniz.
click_save_img.prac	Girişleri kaydetmek için [B_ICON_NAME] üzerine tıklayın.
click_checkbox_off.demo	[B_NAME] kapatılıyor.
click_checkbox_off.prac	[B_NAME] öğesini kapatın.
click_next_page_img.demo	[B_NAME_ICON] üzerine tıklayarak sonraki sayfayı açarsınız.
click_next_page_img.prac	Lütfen [B_NAME_ICON] üzerine tıklayın.
click_checkbox_on.demo	[B_NAME] seçiliyor.
click_checkbox_on.prac	[B_NAME] öğesini seçin.
click_select_value.demo	[B_NAME] öğesi seçiliyor.
click_select_value.prac	[B_NAME] öğesini seçin.
click_open_menu.demo	[B_NAME] menüsü açılıyor.
click_open_menu.prac	[B_NAME] menüsünü açın.
click_menu_select.demo	[B_NAME] kaydı seçiliyor.
click_menu_select.prac	[B_NAME] kaydını seçin.
click_select_column.demo	[B_NAME] sütunu seçiliyor.
click_select_column.prac	Sütun başlığını tıklayarak [B_NAME] sütununu seçin.
click_open_value_help.demo	Öğe yardımcısı açılıyor.
click_open_value_help.prac	Lütfen öğe yardımcısını açın.
click_select_line.demo	[B_NAME] satırı seçiliyor.
click_select_line.prac	Birinci sütunu tıklayarak [B_NAME] satırını seçin.
click_scroll_top.demo	[ICON] üzerine tıklayarak en üste kaydırılır.
click_scroll_top.prac	[ICON] üzerine tıklayarak en üste kaydırın.
click_scroll_bottom.demo	[ICON] üzerine tıklayarak en alta kaydırılır.
click_scroll_bottom.prac	[ICON] üzerine tıklayarak en alta kaydırın.
click_scroll_pageup.demo	[ICON] üzerine tıklayarak bir sayfa yukarı kaydırılır.
click_scroll_pageup.prac	[ICON] üzerine tıklayarak bir sayfa yukarı kaydırın.
click_scroll_pagedown.demo	[ICON] üzerine tıklayarak bir sayfa aşağı kaydırılır.
click_scroll_pagedown.prac	[ICON] üzerine tıklayarak bir sayfa aşağı kaydırın.
click_scroll_lineup.demo	[ICON] üzerine tıklayarak bir satır yukarı kaydırılır.
click_scroll_lineup.prac	[ICON] üzerine tıklayarak bir satır yukarı kaydırın.
click_scroll_linedown.demo	[ICON] üzerine tıklayarak bir satır aşağı kaydırılır.
click_scroll_linedown.prac	[ICON] üzerine tıklayarak bir satır aşağı kaydırın.
click_close_window_img.demo	"Pencere, [ICON] üzerine tıklanarak kapatılır."
click_close_window_img.prac	Pencereyi [ICON] üzerine tıklayarak kapayın.
click_select_all_lines_img.demo	[ICON] üzerine tıklandığında bütün satırlar işaretlenir.
click_select_all_lines_img.prac	[ICON] üzerine tıklayarak bütün satırları seçin.
click_open_card_menu.demo	[ICON] üzerine tıklandığında sekme seçim bölümü açılır.
click_open_card_menu.prac	[ICON] üzerine tıklayarak sekme seçim bölümünü açın.
click_select_card.demo	[B_NAME] sekmesi seçiliyor.
click_select_card.prac	[B_NAME] sekmesini seçin.
click_next_cards_img.demo	[ICON] üzerine tıklandığında sonraki sekmeler gösterilir.
click_next_cards_img.prac	[ICON] üzerine tıklayarak sonraki sekmelerin gösterilmesini sağlayın.
click_prev_cards_img.demo	[ICON] üzerine tıklandığında önceki sekmeler gösterilir.
click_prev_cards_img.prac	[ICON] üzerine tıklayarak önceki sekmelerin gösterilmesini sağlayın.
click_open_nav_menu.demo	[ICON] üzerine tıklandığında gezinme menüsü açılır.
click_open_nav_menu.prac	[ICON] üzerine tıklayarak gezinme menüsünü açın.
click_close_folder_img.demo	[ICON] üzerine tıklandığında [B_NAME] klasörü kapatılır.
click_close_folder_img.prac	[ICON] üzerine tıklayarak [B_NAME] klasörünü kapayın.
click_open_folder_img.demo	[ICON] üzerine tıklandığında [B_NAME] klasörü açılır.
