click.demo	请您点击 [B_NAME] 。
click.prac	请您点击 [B_NAME] 。
click_img.demo	请您现在点击 [B_NAME_ICON] 。
click_img.prac	请您点击 [B_NAME_ICON] 。
click_cancel_trans_img.demo	点击 [B_ICON_NAME] 后将中止交易。
click_cancel_trans_img.prac	请您点击 [B_ICON_NAME] 中止交易。
click_back_img.demo	点击 [B_ICON_NAME] 您将回到前一页。
click_back_img.prac	请您点击 [B_ICON_NAME] 回到前一页。
click_ok_img.demo	请您现在点击 [B_ICON_NAME] 。
click_ok_img.prac	请您点击 [B_ICON_NAME] 。
click_exit_trans_img.demo	点击 [B_ICON_NAME] 您将退出交易。
click_exit_trans_img.prac	请点击 [B_ICON_NAME] 以退出交易。
click_save_img.demo	点击 [B_ICON_NAME] 将保存输入数据。
click_save_img.prac	请您点击 [B_ICON_NAME] 保存输入数据。
click_checkbox_off.demo	[B_NAME] 将被关闭。
click_checkbox_off.prac	请您关闭变量值 [B_NAME] 。
click_next_page_img.demo	点击 [B_NAME_ICON] 将打开下一页。
click_next_page_img.prac	请您点击 [B_NAME_ICON] 。
click_checkbox_on.demo	[B_NAME] 被选择。
click_checkbox_on.prac	请您选择变量值 [B_NAME]。
click_select_value.demo	变量值 [B_NAME] 被选定。
click_select_value.prac	请选定变量值 [B_NAME] 。
click_open_menu.demo	菜单 [B_NAME] 打开。
click_open_menu.prac	请您打开菜单 [B_NAME] 。
click_menu_select.demo	条目 [B_NAME] 被选定。
click_menu_select.prac	请您选择条目 [B_NAME] 。
click_select_column.demo	列 [B_NAME] 被选定。
click_select_column.prac	请您点击列首以选定 [B_NAME] 列。
click_open_value_help.demo	变量值帮助打开。
click_open_value_help.prac	请您打开变量值帮助。
click_select_line.demo	行 [B_NAME] 被选定。
click_select_line.prac	请您在第一列中点击以选定 [B_NAME] 行。
click_scroll_top.demo	点击 [ICON] 将滚屏至起始位置。
click_scroll_top.prac	请您点击 [ICON] 滚屏至起始位置。
click_scroll_bottom.demo	点击 [ICON] 将滚屏至结束位置。
click_scroll_bottom.prac	请您点击 [ICON] 滚屏至结束位置。
click_scroll_pageup.demo	点击 [ICON] 页面将向上滚动。
click_scroll_pageup.prac	请您点击 [ICON] 将页面向上滚动。
click_scroll_pagedown.demo	点击 [ICON] 页面将向下滚动。
click_scroll_pagedown.prac	请您点击 [ICON] 将页面向下滚动。
click_scroll_lineup.demo	点击 [ICON] 一行将向上滚动。
click_scroll_lineup.prac	请您点击 [ICON] 将一行向上滚动。
click_scroll_linedown.demo	点击 [ICON] 一行将向下滚动。
click_scroll_linedown.prac	请您点击 [ICON] 将一行向下滚动。
click_close_window_img.demo	点击 [ICON] 将关闭该窗口。
