click.demo	现在请您点击[B_NAME]。
click.prac	请您点击[B_NAME]。
click_img.demo	现在请您点击[B_NAME_ICON]。
click_img.prac	请您点击[B_NAME_ICON]。
click_cancel_trans_img.demo	点击[B_ICON_NAME]中止交易。
click_cancel_trans_img.prac	请您点击[B_ICON_NAME]以中止交易。 
click_back_img.demo	点击[B_ICON_NAME]，您回到前页。
click_back_img.prac	请您点击[B_ICON_NAME]以回到前页。
click_ok_img.demo	现在请您点击[B_ICON_NAME]。
click_ok_img.prac	请您点击[B_ICON_NAME]。
click_exit_trans_img.demo	点击[B_ICON_NAME]，您退出交易。
click_exit_trans_img.prac	请您点击[B_ICON_NAME]以退出交易。
click_save_img.demo	点击[B_ICON_NAME]，您存储输入的信息。
click_save_img.prac	您点击[B_ICON_NAME]以存储输入的信息。
click_checkbox_off.demo	[B_NAME]被关闭。
click_checkbox_off.prac	请您关闭数值[B_NAME]。
click_next_page_img.demo	点击[B_NAME_ICON]，您打开下一页。 
click_next_page_img.prac	请您点击[B_NAME_ICON]。
click_checkbox_on.demo	[B_NAME]被选择。 
click_checkbox_on.prac	请您选择数值[B_NAME]。
click_select_value.demo	数值[B_NAME]被选出。 
click_select_value.prac	请您选择数值[B_NAME] 。
click_open_menu.demo	菜单[B_NAME]被打开。
click_open_menu.prac	请您打开菜单[B_NAME]。
click_menu_select.demo	记录[B_NAME]被选出。
click_menu_select.prac	请您选择记录[B_NAME]。
click_select_column.demo	[B_NAME]列被选出。 
click_select_column.prac	您以点击列首选择[B_NAME]列。
click_open_value_help.demo	数值帮助被打开。
click_open_value_help.prac	请您打开数值帮助。
click_select_line.demo	[B_NAME]行被选出。 
click_select_line.prac	您以点击第一列选择[B_NAME]行。
click_scroll_top.demo	点击[ICON]，滚屏至开始。
click_scroll_top.prac	您以点击 [ICON]滚屏至开始。
click_scroll_bottom.demo	点击[ICON]，滚屏至结尾。
click_scroll_bottom.prac	您以点击 [ICON]滚屏至结尾。
click_scroll_pageup.demo	点击[ICON]，向上滚屏一页。
click_scroll_pageup.prac	您以点击[ICON]向上滚屏一页。
click_scroll_pagedown.demo	点击[ICON]，向下滚屏一页。 
click_scroll_pagedown.prac	您以点击[ICON]向下滚屏一页。
click_scroll_lineup.demo	点击[ICON]，向上滚屏一行。
click_scroll_lineup.prac	您以点击[ICON]向上滚屏一行。
click_scroll_linedown.demo	点击[ICON]，向下滚屏一行。
click_scroll_linedown.prac	您以点击[ICON]向下滚屏一行。
click_close_window_img.demo	点击[ICON]，窗口被关闭。
click_close_window_img.prac	您以点击[ICON]关闭窗口。
click_select_all_lines_img.demo	点击[ICON]，所有行被标出。
click_select_all_lines_img.prac	您以点击[ICON]选出所有行。
click_open_card_menu.demo	点击[ICON]打开索引卡选项。
click_open_card_menu.prac	您以点击[ICON]打开索引卡选项。
click_select_card.demo	索引卡[B_NAME]被选出。 
click_select_card.prac	请您选出索引卡[B_NAME]。
click_next_cards_img.demo	通过点击[ICON]，下几个索引卡被显示。 
click_next_cards_img.prac	请您以点击[ICON]显示下几个索引卡。
click_prev_cards_img.demo	通过点击 [ICON]，上几个索引卡被显示。
click_prev_cards_img.prac	请您以点击[ICON]显示上几个索引卡。
click_open_nav_menu.demo	通过点击 [ICON]，导向菜单被打开。 
