action	Aktion
animated	Animiert
input_text	Texteingabe
adv	Erweitert
bubble	Bubble
bubble_d	Demo-Bubble
bubble_p	Übungs-Bubble
confirmation_button	Bestätigung mit Button
alternate_text	2. Status Text
arrow	Pfeil
bubble_duration	Anzeigedauer
bubble_duration_any	Bubbledauer Alle
include_explanation	Auch Erklärung
bubble_height	Höhe
bubble_height_any	Bubblelhöhe
bubble_width	Breite
bubble_width_any	Bubblebreite
bubble_duration_p	Bubbledauer Übung
bubble_height_p	Höhe
bubble_width_p	Breite
branch_on	Verzweigung Anfang
branch_off	Verzweigung Ende
remove_branch	Verzweigung entfernen
form_on	Formular Anfang
form_off	Formular Ende
remove_form	Formularmodus entfernen
quiz_shuffle_on	Quizauswahl Anfang
quiz_shuffle_off	Quizauswahl Ende
quiz_selection	Quizauswahl
remove_quiz_selection	Quizauswahl entfernen
beschreibung	Beschreibung
bezeichnung	Bezeichnung
doc_description	Bezeichnung
doc_dropdown	Word-Dokumentationen
update_pos_size	Fensterposition aktualisieren
caption	Titel
doc_chapter_heading	Titel
screenshot_sub_heading	Titel
choose_bool	Gewählter Wert
choose_nr	Gewählter Index
choose_text	Gewählter Wert
rerec_click_count	Anzahl der Klicks
confirmation_enter	Bestätigung: Enter
confirmation_tab	Bestätigung: Tab
confirmation_key	Bestätigungstaste
macro_comment	Kommentar
dbl_click	Doppelklick
demo	Demo
bgcolor	Hintergrundfarbe
info_page	Infoseite
swf_page	Flash-Seite
swf_width	Breite
swf_height	Höhe
swf_file	SWF-Datei
swf_filter	Shockwave Flash Datei (*.swf)|*.swf
all_like_demo	Alles wie Demo
in_demo	Im Demo-Modus
in_practice	Im Übungs-Modus
task_window_in_practice	Im Übungs-Modus
in_test	Im Test-Modus
task_window_in_test	Im Test-Modus
in_prax	Im Praxis-Modus
img_filter	Bilddatei (*.jpg,*.bmp,*.gif,*.png)|*.jpg;*.bmp;*.gif;*.png
media_filter	Mediendatei (*.jpg,*.bmp,*.gif,*.png,*.swf,*.wmv,*.mov,*.wma,*.wav,*.mp3)|*.jpg;*.bmp;*.gif;*.png;*.swf;*.wmv;*.mov;*.wma;*.wav;*.mp3
jump_target	Sprungziel
wait_for_input	Aktion abwarten
set_focus	Fokus setzen
full_form	Formularmodus
doc	Dokumentation
rerecord	Erneut Aufnehmen
cmd_rerecord	Web-Applikation erneut Aufnehmen
rerec_manual	Manuell
prepare_rerecord	Werte überarbeiten
doc_enable	In Dok anzeigen
process_enable	In Prozess anzeigen
doc_heading	Als Dok Überschrift
dump_page	Url
ppt_import	PowerPoint Import
dump_win_height	Window Höhe
dump_win_left	Window Links
dump_win_relpos	Window
dump_win_top	Window Oben
dump_win_width	Window Breite
mode_change	Moduswechsel
mode_change_end	Moduswechsel Ende
in_demo_to	In Demo zu
in_uebung_to	In Übung zu
in_test_to	In Test zu
in_praxis_to	In Praxis zu
dont_change	nicht ändern
edit	Bearbeiten
edit_bubble	Bubble
edit_bubble_demo	Demo-Bubble
edit_bubble_prax	Übungs-Bubble
edit_jump_targets	Verzweigung bearbeiten
create_branch	Verzweigung erstellen
create_form	Formularmodus
edit_rect	Markierung bearbeiten
edit_screendump	Screendump bearbeiten
edit_screenshot	Manuell zuschneiden
elem_key	Element-Schlüssel
auto_crop_screenshot	Autom. zuschneiden
rerec_element_type	Elementtyp
end_unit	Lerneinheit Ende
ende	Ende
explanation	Erklärung (alt)
explanation_d	Erklärung Demo
explanation_d_modified	Erklärung manuell
explanation_p_modified	Erklärung manuell
explanation_long	Erklärung
explanation_p	Erklärung Übung
flash	Rahmen blinkend
fieldname	Feldname
fieldicon	Feld-Icon
frame	Rahmen fixiert
free_marker	Markierung
bubble_class	Textstil
bubble_class_any	Textstil
bubble_class_p	Textstil
g_bubblestyle_ok	Bubbletyp OK
bubblestyle_d	Typ
bubblestyle	Bubbletyp
bubblestyle_p	Typ
g_highlight_border	Highlight Rand
g_highlight_effect	Highlight Effekt
g_highlight_fillstyle	Highlight Füllstil
g_highlight_name	Highlight Name
g_highlight_rgb	Highlight Farbe
g_highlight_style	Highlight Stil
g_linktextpraxis	Praxis Link Text (Vor)
g_close_link	Praxis Link Text (Schließen)
g_back_link	Praxis Link Text (Zurück)
g_alternate_link	Schritt anzeigen Linktext
g_show_ok_bubble	Ok im Test-Modus
g_show_step_bubble	Hinweis im Test-Modus
g_show_mouse	Maus anzeigen
hotkey	Hotkey
show_hl_p	Highlight in Übung
show_hl_d	Highlight in Demo
gendoc	Word-Dokument erzeugen
gendoc_checklist	Word-Dokument erzeugen (Job-Hilfe)
gendoc_tables	Word-Dokument erzeugen (Schulungshandbuch)
gendoc_tables_wide	Word-Dokument erzeugen (Testdokument)
gendoc_work	Word-Dokument erzeugen (Arbeitsdokument)
general_action	Klick auf Link
key_press	Tastendruck
key_name	Tastencode
key_desc	Tastenbezeichnung
click_SAP	Klick auf Link im SAP EA Menü
genhtml	HTML-Dokument erzeugen
global	Global
hinweis	Hinweis
imagesize	Bildgröße (%)
info	Info
input_radio	Optionsfeld
kurs	Kopfangaben
lclick	Linker Klick
ldblclick	Linker Doppelklick
genppt	PowerPoint-Dokument erzeugen
doc_caption	Überschrift
doc_title	Titel
merge_selected_newpages	Gewählte Neue Seite Makros zusammenfügen
new_step	Lernschritt Name
new_window	Neues Fenster
new_window_close	Neues Fenster schließen
next_asset	Neue Seite
new_page	Neue Seite
identity	Identität
next_page	Nächste Seite
note	Bemerkung
no_image	<Kein Icon>
orientation	Ausrichtung Demo
doc_arrow_orientation	Ausrichtung
doc_marker_orientation	Ausrichtung Markierung
bubble_orientation	Ausrichtung
orientation_any	Ausrichtung
orientation_p	Ausrichtung Übung
bubble_orientation_p	Ausrichtung
orientation_b	Bubble Ausrichtung
page_break	Seitenumbruch
position	Position
position_af	Position Button
position_bubble	Position
position_b	Position
position_bu	Position
position_h	Objektposition
position_tc	Pos. Transaktionscode
possible_points	Maximale Punktzahl
mastery_score	Erforderliche Punktzahl
goto_tourstop	Sprung zu Lernschritt
praxis	Praxis
prev_page	Vorherige Seite
quick_click	Quick Click
click	Klick auf Link
rclick	Rechter Klick
rdblclick	Rechter Doppelklick
drag	Drag
drop	Drop
enter	Mouse Enter
record2	Web-Applikation Aufnehmen
set_language	Projektsprache ändern
record_window_id	aufgen. Fenster ID
sap_path	SAP Menüpfad
sc_config_file	Screendump Config. Datei
sc_position	Scrollbar Position
screenshot_border	Randstärke bei Screenshots
screenshot_file	Screenshot
screenshot_part	Partieller Screenshot
screenshot_rect	Screenshot-Position
overlay_pos	Overlay-Position
rerec_click_pos	Klick Position
scrollInDivsLeftRight	Horizontal scrollen
scroll_hor	Horizontal scrollen
scrollInDivsTopDown	Vertikal scrollen
scroll_vert	Vertikal scrollen
scrollleft	Horizontale Position
scrolltop	Vertikale Position
select_single	Einfachauswahl
show_actions	Aktionen anzeigen
start_unit	Lerneinheit Anfang
status_info	Status-Information
status_text	Statustext
tcode	Transaktionscode
test	Test
text	Text
text_d	Eingabetext
regexp	Regulärer Ausdruck
tipp	Tipp
titel	Titel
title	Titel
transaction_code	Transaktionscode
transaction_info	Transaktionscode
translate	Automatische Übersetzung
task_text	Aufgabentext
task_window_width	Fensterbreite
task_window_height	Fensterhöhe
task_window_orientation	Ausrichtung
task_window_bgcolor	Hintergrund
type	Typ
doc_heading_template	Formatvorlage
uebung	Übung
underline	Unterstreichung
update	Aktualisieren
set_position	Positionieren
show_position	Position zeigen
update_all_macros	Alle Makros aktualisieren
update_page	Seite aktualisieren
update_pagedump	Seitenabzug aktualisieren
update_screenshot	Screenshot aktualisieren
warnung	Warnung
close_win_relpos	Window
win_screenshot	Neue Seite als Screenshot
zoom_in	Rahmen Zoom In
zoom_out	Rahmen Zoom out
possible_points.h	Gibt die maximal zu ereichende Punktzahl für den Test-Modus in einer Lerneinheit an. Für die automatische Errechnung und Aktualisierung wird der Befehl 'Aktualisieren' im Kontext-Menü der Makroliste verwendet.
mastery_score.h	Gibt die erforderliche Punktzahl die erreicht werden muss, um eine Lerneinheit im Test-Modus zu bestehen. Für die automatische Errechnung und Aktualisierung wird der Befehl 'Aktualisieren' im Kontext-Menü der Makroliste verwendet.
task_text.h	Für Übungs- und Test-Modus kann eine Aufgabenstellung in einem separaten Popup-Fenster des Webbrowsers angezeigt werden. Der Aufgabentext wird hierfür im HTML-Editor erfasst.
task_window_width.h	Gibt die Breite des Aufgabenfensters in Pixel an.
task_window_height.h	Gibt die Höhe des Aufgabenfensters in Pixel an. Ist die Fensterhöhe auf '0' gesetzt, so wird die Höhe des Fensters automatisch an die Textmenge angepasst.
task_window_orientation.h	Gibt die Ausrichtung des Aufgabenfensters auf dem Bildschirm, relativ zur Bildschirmmitte vor.
task_window_bgcolor.h	Legt die Hintergrundfarbe des Inhaltes im Aufgabenfenster fest. Die Farbe kann entweder über einen Farbauswahldialog gewählt werden oder direkt als Wert im HEX-Format angegeben werden.
task_window_in_practice.h	Ist diese Option eingeschaltet, wird das Aufgabenfenster im Übungs-Modus eingeblendet.
task_window_in_test.h	Ist diese Option eingeschaltet, wird das Aufgabenfenster im Test-Modus eingeblendet.
dump_page.h	Dieser Parameter enthält den Pfad zu der Seite, die durch das Makro angezeigt werden soll. In der Regel ist dies ein relativer Pfad zu der während der Aufnahme angelegten Seite im Ordner 'pages' des Projektes.
new_step.h	Dieser Parameter enthält den Namen des aufgezeichneten Lernschrittes (in der Regel der Titel des aufgezeichneten Screens) und kann später optional für die Generierung der Überschriften in der Dokumentation verwendet werden.
dump_win_relpos.h	Durch diesen Parameter wird die Ordnungsnummer des neu zu öffnenden Browser-Fensters festgelegt. Im Positionsdialog wird hierfür unter 'Frame' die entsprechende Zahl angegeben.
close_win_relpos.h	Durch diesen Parameter wird die Ordnungsnummer des zu schließenden Browser-Fensters festgelegt. Im Positionsdialog wird hierfür unter 'Frame' die entsprechende Zahl angegeben.
dump_win_left.h	Gibt den Abstand des neu zu öffnenden Fensters zum linken Bildschirmrand in Pixel an.
dump_win_top.h	Gibt den Abstand des neu zu öffnenden Fensters zum oberen Bildschirmrand in Pixel an.
dump_win_width.h	Gibt die Breite des neu zu öffnenden Fensters in Pixel an.
dump_win_height.h	Gibt die Höhe des neu zu öffnenden Fensters in Pixel an.
fieldname.h	Enthält den String, der in den Erklärungstexten der Textbubbles in den verschiedenen Modi anstelle des Platzhalters '${fieldname}' (siehe Text-Modus im HTML-Editor) bei der automatischen Textgenerierung mit Textbausteinen während der Aufnahme eingefügt wird.
fieldicon.h	Enthält den Pfad zu dem Bild eines Buttons oder Icons, das in den Erklärungstexten der Textbubbles in den verschiedenen Modi anstelle des Platzhalters '${fieldicon}' (siehe Text-Modus im HTML-Editor) bei der automatischen Textgenerierung mit Textbausteinen während der Aufnahme eingefügt wird.
explanation_d.h	Enthält den anzuzeigenden Text für die Textbubble im Demo- und Praxis-Modus.
explanation_p.h	Enthält den anzuzeigenden Text für die Textbubble im Übungs-Modus.
all_like_demo.h	Diese Option sorgt dafür, dass der für die Textbubble im Demo-Modus eingegebene Text automatisch auch für die Textbubble im Übungs-Modus verwendet wird.
position_b.h	Dieser Parameter bestimmt die Position der anzuzeigenden Textbubble im Demo- und im Praxis-Modus. Diese wird während der Aufnahme automatisch ermittelt und kann über den Positions-Editor bearbeitet werden.
position_bu.h	Dieser Parameter bestimmt die Position der anzuzeigenden Textbubble im Übungs-Modus. Diese wird während der Aufnahme automatisch ermittelt und kann über den Positions-Editor bearbeitet werden.
position_h.h	Dieser Parameter bestimmt die Position des zu beschreibenden Objektes auf der Seite. Diese wird während der Aufnahme automatisch ermittelt und kann über den Positions-Editor bearbeitet werden.
in_demo.h	Legt fest, ob das Makro im Demo-Modus angezeigt wird.
in_practice.h	Legt fest, ob das Makro im Übungs-Modus angezeigt wird.
in_test.h	Legt fest, ob das Makro im Test-Modus angezeigt wird.
in_prax.h	Legt fest, ob das Makro im Praxis-Modus angezeigt wird.
action.h	Dieser Parameter legt die Mausaktion fest, die auf dem referenzierten Objekt ausgeführt werden soll.
show_hl_p.h	Diese Option legt fest, ob im Übungs-Modus ein Highlight auf dem referenzierten Objekt angezeigt werden soll.
show_hl_d.h	Diese Option legt fest, ob im Demo- und Praxis-Modus ein Highlight auf dem referenzierten Objekt angezeigt werden soll.
tcode.h	Dieser Parameter enthält den String des Transaktionscodes, wenn in SAP auf einen Link geklickt wurde. Dies ermöglicht alternativ die direkte Eingabe des Transaktionscodes, anstatt mit der Maus auf den Link zu klicken.
position_tc.h	Dieser Parameter bestimmt die Position des Eingabefeldes für den Transaktionscode auf der Seite, wenn eine SAP-Aufnahme durchgeführt wird.
hotkey.h	Mit diesem Parameter wird die verwendete Taste oder Tastenkombination festgelegt. Hierbei werden die Bezeichner der Tasten durch Leerzeichen getrennt angegeben, zum Beispiel: 'ctrl k'.
key_name.h	Mit diesem Parameter wird die verwendete Taste oder Tastenkombination festgelegt. Hierbei werden die Bezeichner der Tasten durch Leerzeichen getrennt angegeben, zum Beispiel: ctrl k.
key_desc.h	Hier kann die Bezeichnung der Tastenkombination eingetragen werden, wie sie in den Bubbletexten verwendet werden soll. Dieser String wird in den Erklärungstexten der Textbubbles in den verschiedenen Modi anstelle des Platzhalters '${key_desc}' (siehe Text-Modus im HTML-Editor) bei der automatischen Textgenerierung mit Textbausteinen während der Aufnahme eingefügt. Als Vorgabe wird hier der Eintrag unter Tastencode verwendet.
text_d.h	Dieser Parameter enthält die Zeichenkette, die in das referenzierte Eingabefeld eingetragen werden soll. Er erhält den beim automatischen Aufnahmeprozess eingegebenen Wert. Dieser String wird in den Erklärungstexten der Textbubbles in den verschiedenen Modi anstelle des Platzhalters '${text_d}' (siehe Text-Modus im HTML-Editor) bei der automatischen Textgenerierung mit Textbausteinen während der Aufnahme eingefügt.
regexp.h	Eine 'Regular Expression' (regulärer Ausdruck) ist ein genau definiertes Suchmuster, für das eine Übereinstimmung gesucht wird (Pattern Matching). Im Zusammenhang mt einem Eingabefeld ermöglicht die Verwendung eines regulären Ausdrucks, dass die Eingabe bei der Simulation nicht exakt dem urpsünglich aufgenommenen Wert entsprechen muss, sondern einem Wert entspicht, der durch den regulären Ausdruck beschrieben wird und somit zulässig ist. Der reguläre Ausdruck muss JavaScript-konform sein. Hier einige Beispiele:\n \nDatum: "\d{1,2}(\-|\/|\.)\d{1,2}\1\d{4}"\nWährung: "(\d+|\d*(?:[.,])\d{1,2})"\nE-Mail: ".+\@(\[?)[a-zA-Z0-9\-\.]+\.([a-zA-Z]{2,3}|[0-9]{1,3})(\]?)"\n\n
position_af.h	Dieser Parameter enthält die Position des Bestätigungsbuttons, wenn die Option 'Bestätigungsbutton' für das Makro 'Texteingabe' aktiviert ist. Diese wird während der Aufnahme automatisch ermittelt und kann über den Positions-Editor bearbeitet werden.
macro_comment.h	Allgemeiner Kommentar, wird in der Miniaturansicht angezeigt.
confirmation_tab.h	Diese Option legt fest, ob Texteingaben mit der 'Tab'-Taste bestätigt werden können.
confirmation_enter.h	Diese Option legt fest, ob Texteingaben mit der Eingabe-Taste bestätigt werden können.
confirmation_button.h	Diese Option legt fest, ob Texteingaben mit Klick auf einen Button bestätigt werden können. Hierfür muss unter 'Position Button' die Position des Buttons angegeben sein.
