action	Acción
animated	Animado
input_text	Entrada de texto
adv	Avanzado
bubble	Leyenda
bubble_d	Leyenda de demo
bubble_p	Leyenda de práctica
confirmation_button	Confirmar con botón
alternate_text	Añadir texto de estado
arrow	Flecha
bubble_duration	Duración de leyenda
bubble_duration_any	Duración de leyenda todos
include_explanation	Explicación incluida
bubble_height	Altura leyenda
bubble_height_any	Altura leyenda
bubble_width	Anchura leyenda
bubble_width_any	Anchura leyenda
bubble_height_p	Altura leyenda
bubble_width_p	Anchura leyenda
branch_on	Comienzo ramificación
branch_off	Fin ramificación
remove_branch	Remover ramificación
form_on	Form Comienzo modo formulario
form_off	Fin modo formulario
remove_form	Remover modo formulario
quiz_shuffle_on	Comienzo de selección examen rápido
quiz_shuffle_off	Fin de selección examen rápido
quiz_selection	Selección examen rápido
remove_quiz_selection	Remover selección examen rápido
bubble_duration_p	Duración de leyenda (práctica)
beschreibung	Descripción
bezeichnung	Descripción
doc_description	Descripción
doc_dropdown	Documentación Word
update_pos_size	Actualizar posición de ventana
caption	Título
doc_chapter_heading	Título
screenshot_sub_heading	Título
choose_bool	Valor seleccionado
choose_nr	Índice seleccionado
choose_text	Valor seleccionado
rerec_click_count	Número de clics
confirmation_enter	Confirmar con INTRO
confirmation_tab	Confirmar con Tab
confirmation_key	Tecla de confirmación
macro_comment	Comentario
dbl_click	Doble clic
demo	Demostración
bgcolor	Color de fondo
info_page	Página de información
swf_page	Página Flash
swf_width	Anchura
swf_height	Altura
swf_file	Archivo SWF
swf_filter	Archivo Shockwave Flash (*.swf)|*.swf
all_like_demo	Todo como demostración
in_demo	En modo demostración
in_practice	En modo práctica
task_window_in_practice	En modo práctica
in_test	En modo prueba
task_window_in_test	En modo prueba
in_prax	En modo concurrente
img_filter	Fichero de imágenes (*.jpg,*.bmp,*.gif,*.png)|*.jpg;*.bmp;*.gif;*.png
media_filter	Fichero de medios (*.jpg,*.bmp,*.gif,*.png,*.swf,*.wmv,*.mov,*.wma,*.wav,*.mp3)|*.jpg;*.bmp;*.gif;*.png;*.swf;*.wmv;*.mov;*.wma;*.wav;*.mp3
jump_target	Salto destino
wait_for_input	Esperar acción
set_focus	Poner foco
full_form	Modo formulario
doc	Documentación
rerecord	Grabar de nuevo
cmd_rerecord	Grabar de nuevo aplicación web
rerec_manual	Grabar de nuevo manual
prepare_rerecord	Editar valor de entrada
doc_enable	Mostrar en doc
process_enable	Mostrar en proceso
doc_heading	Como título en doc
dump_page	Url
ppt_import	Importar PowerPoint
dump_win_height	Alto de ventana
dump_win_left	Izquierda de ventana
dump_win_relpos	Ventana
dump_win_top	Parte superior ventana
dump_win_width	Anchura ventana
mode_change	Cambio de modo
mode_change_end	Fin cambio de modo
in_demo_to	In Demo to
in_uebung_to	In Practice to
in_test_to	In Test to
in_praxis_to	In Concurrent to
dont_change	no cambiar
edit	Editar
edit_bubble	Leyenda
edit_bubble_demo	Leyenda demostración
edit_bubble_prax	Leyenda práctica
edit_jump_targets	Editar ramificación
create_branch	Crear ramificación
create_form	Modo formulario
edit_rect	Editar marcamiento
edit_screendump	Editar capturación de pantalla 
edit_screenshot	Recortar capturación de pantalla doc
elem_key	LLave de elemento
auto_crop_screenshot	Recortar automáticamente
rerec_element_type	Tipo de elemento
end_unit	Fin de unidad
ende	Fin
explanation	Explicación (viejo)
explanation_d	Explicación demostración
explanation_long	Explicación
explanation_p	Explicación práctica
explanation_d_modified	Demostración manual
explanation_p_modified	Práctica manual
flash	Marco parpadeando
fieldname	Nombre del campo
fieldicon	Icono del campo
frame	Marco fijo
free_marker	Señalización
bubble_class	Estilo de texto
bubble_class_any	Estilo de texto
bubble_class_p	Estilo de texto
g_bubblestyle_ok	Tipo leyenda OK
bubblestyle_d	Tipo leyenda
bubblestyle	Tipo leyenda
bubblestyle_p	Tipo leyenda
g_highlight_border	Resaltar borde
g_highlight_effect	Resaltar efecto
g_highlight_fillstyle	Resaltar estilo del relleno
g_highlight_name	Resaltar nombre
g_highlight_rgb	Resaltar color
g_highlight_style	Resaltar estilo
g_linktextpraxis	Texto del enlace concurrente (RV)
g_back_link	Texto del enlace concurrente (Atrás)
g_alternate_link	Texto del enlace mostrar paso
