# Greek text atoms
# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY;	"datango"
TOK_LIB;	"Μαθήματα @{TOK_COMPANY}"
TOK_TOUR;	"Μάθημα @{TOK_COMPANY}"
TOK_TRAINER;	"Εκπαιδευτής @{TOK_COMPANY}"

# Key names	
ALTKEY;	"alt"
CTRLKEY;	"ctrl"
LEFTALTKEY;	"alt (αριστερό)"
LEFTCTRLKEY;	"ctrl (αριστερό)"
LEFTSHIFTKEY;	"shift (αριστερό)"
ON;	"ενεργό"
OFF;	"ανενεργό"
RIGHTALTKEY;	"alt (δεξί)"
RIGHTCTRLKEY;	"strg (δεξί)"
RIGHTSHIFTKEY;	"shift (δεξί)"
SHIFTKEY;	"shift"

# trainer states	
TOK_BUFFERING;	"Ηχητικό αρχείο φορτώνει... "
TOK_CONNECTING;	"Συνδέεται... "
TOK_IDLE;	""
TOK_LMS;	"Καταγραφή αποτελέσματος..."
TOK_OPENING;	"Συνδέεται... "
TOK_OPEN;	""
TOK_PAUSED;	"Παύση"
TOK_PLAYING;	"Αναπαραγωγή"
TOK_READY;	"Έτοιμο"
TOK_USERINPUT;	"Εισαγωγή"
TOK_WAITING;	"Η σελίδα φορτώνει... "

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC;	"<span style=""color: red, font-weight: bolder;"">Τα πλαίσια δεν μπορούν να εμφανιστούν εδώ.</span>"
TOK_IEPOPUP_IFRAME_EXC;	"<span style=""color: red, font-weight: bolder;"">Έγγραφα με IFRAME δεν μπορούν να εμφανιστούν εδώ.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC;	"Ένα σύστημα προστασίας popup-blocker εμποδίζει την εμφάνιση του μαθήματος."
TOK_POPUPBLOCKER_CONFIRM;	"Ένα σύστημα προστασίας popup-blocker εμποδίζει το άνοιγμα ενός νέου παραθύρου.@{NEWLINE}@{NEWLINE}OK: Μπορείτε να συνεχίσετε επειδή έχετε κλείσει το σύστημα προστασίας popup-blocker@{NEWLINE}  για τον διακομιστή.@{NEWLINE}Διακοπή: Το μάθημα τερματίστηκε."

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC;	"Μία ρύθμιση ασφαλείας του Internet Explorer\n\rεμποδίζει την εμφάνιση του@{TOK_TOUR}.\nΜην εμφανίζεται το\n""Αρχικό παράθυρο χωρίς περιορισμούς μεγέθους και θέσης""\n!"

# Other messages	
TOK_CLOSE_TASK;	"Κλείσιμο του @{TIP_TASK}"

# Standard errors	
TOK_COULD_NOT_READ_EXC;	"Δεν ήταν δυνατή η ανάγνωση του @1 ""@2""."
TOK_COULD_NOT_READ2_EXC;	Δεν ήταν δυνατή η ανάγνωση του "@1 ""@2"": @3"

# Form texts	
TOK_CLOSE;	"Κλείσιμο"
TOK_DIR;	"Ευρετήριο"
TOK_ERROR;	"Σφάλμα"
TOK_EXIT;	"Τερματισμός"
TOK_OPEN;	"Άνοιγμα"
TOK_SEARCH;	"Αναζήτηση"
TOK_START;	"Έναρξη"
TOK_START_TOUR;	"Έναρξη του @{TOK_TOUR}"
TOK_STOP;	"Διακοπή"

# Library	
TOK_LIB_BTN_LESS;	"λιγότερο..."
TOK_LIB_BTN_MORE;	"περισσότερο..."
TOK_LIB_EMPTY;	"Κενό στοιχείο"
TOK_LIB_FLAG_DESC;	"Αναζήτηση περιγραφής"
TOK_LIB_FLAG_KEEP_OPEN;	"Η δομή μαθημάτων να παραμείνει ανοιχτή"
TOK_LIB_FLAG_NEWWIN;	"Σε νέο παράθυρο"
TOK_LIB_FLAG_TITLE;	"Αναζήτηση τίτλου"
TOK_LIB_RESET;	"Διαγραφή αποτελεσμάτων αναζήτησης"

# Mimetypes	
MIME_TEXT_PDF; "PDF - Adobe Acrobat Format"	
MIME_APP_MSWORD;	"Έγγραφο Winword"
MIME_APP_EXCEL;	"Φύλλο εργασίας Excel"
MIME_APP_PPT;	"Διαφάνιες Powerpoint"
MIME_APP_OOFF;	"Έγγραφο OpenOffice"
MIME_APP_OOFFWRITE;	"Κείμενο OpenOffice"
MIME_APP_OOFFCALC;	"Υπολογισμός OpenOffice"
MIME_APP_OOFFIMPRESS;	"Παρουσίαση OpenOffice"
MIME_APP_OOFFMATH;	"Τύποι OpenOffice"
MIME_AUDIO;	"Ήχος"
MIME_VIDEO;	"Βίντεο"
MIME_TEXT_HTML;	"Ηλεκτρονική σελίδα"
MIME_TEXT;	"Έγγραφο κειμένου"
MIME_APP_DGO;	"Μάθημα @{TOK_COMPANY}"
MIME_APP_DGO_DEMO;	"Demo @{TOK_COMPANY}"
MIME_APP_DGO_PRACTISE;	"Άσκηση @{TOK_COMPANY}"
MIME_APP_DGO_TEST;	"Τεστ @{TOK_COMPANY}"
MIME_APP_DGO_CONCURRENT;	"Μάθημα πρακτικής εφαρμογής @{TOK_COMPANY}"
MIME_UNKNOWN;	"@{TOK_LIB_UNKNOWN}"

# Tooltips	
TIP_PLAY;	"Συνέχεια (F8), Με το ""alt"": Από την αρχή"
TIP_PAUSE;	"Προσωρινή διακοπή ("ΠΑΥΣΗ), Με το ""shift"": Μεγαλύτερη ποιότητα ήχου, Με το ""alt"": Περιορισμός του εύρους εκπομπής ήχου"
TIP_STOP;	"Τερματισμός (F12), Με το ""shift"": Εμφάνιση έκδοσης"
TIP_NEXT;	"Επόμενο κεφάλαιο ("ALT"-κάτω βελάκι)"
TIP_BACK;	"Προηγούμενο κεφάλαιο ("ALT"-επάνω βελάκι), Με το ""alt"": Εμφάνιση μαθημάτων"
TIP_MAXBUBBLE;	"Επαναδημιουργία πλαισίου κειμένου"
TIP_MINBUBBLE;	"Ελαχιστοποίηση πλαισίου κειμένου"
TIP_CLOSEBUBBLE;	"Απομάκρυνση πλαισίου κειμένου"
TIP_ENABLED;	""
TIP_DISABLED;	"(αυτή τη στιγμή δεν είναι δυνατό)"
TIP_TASK;	"Ανάθεση εργασιών"

# Simple trainer Bracepages	
TOK_BP_CLOSEWINDOW;	"Κλείσιμο παραθύρου"
TOK_BP_GOBACK;	"Επιστροφή"
TOK_BP_GOON;	"Συνέχεια"
TOK_BP_JSCONSOLE;	"Μηνύματα Javascript"
TOK_BP_MODE;	"Λειτουργία"
TOK_BP_PARAMETER;	"Παράμετροι"
TOK_BP_RESTARTPROGRAM;	"Επανάληψη προγράμματος"
TOK_BP_STARTANOTHER;	"Έναρξη άλλου προγράμματος"
TOK_BP_VALUE;	"Τιμή"

# Exercise colors	
EXER_COLOR_ERROR;	"μαρκαρισμένο κόκκινο"
EXER_COLOR_CLICK;	"μαρκαρισμένο πράσινο"
EXER_COLOR_DBLCLICK;	"μαρκαρισμένο κίτρινο"
EXER_COLOR_RCLICK;	"μαρκαρισμένο γαλάζιο"
EXER_COLOR_CHANGE;	"υπογραμμισμένο πράσινο"
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND;	@{NEWLINE}και@{NEWLINE}
