# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY;	datango
TOK_LIB;	@{TOK_COMPANY} Curso
TOK_TOUR;	@{TOK_COMPANY} Lección
TOK_TRAINER;	@{TOK_COMPANY} trainer
	
# Key names	
ALTKEY;	alt
CTRLKEY;	ctrl
LEFTALTKEY;	alt (izquierda)
LEFTCTRLKEY;	ctrl (izquierda)
LEFTSHIFTKEY;	mayús (izquierda)
ON;	act
OFF;	desact
RIGHTALTKEY;	alt (derecha)
RIGHTCTRLKEY;	ctrl (derecha)
RIGHTSHIFTKEY;	mayús (derecha)
SHIFTKEY;	mayús
	
# trainer states	
TOK_BUFFERING;	Cargando audio...
TOK_CONNECTING;	Conectando...
TOK_IDLE;	
TOK_LMS;	Escribir resultado...
TOK_OPENING;	Conectando...
TOK_OPEN;	
TOK_PAUSED;	Pausa
TOK_PLAYING;	Reproduciendo
TOK_READY;	Listo
TOK_USERINPUT;	Entrada de datos
TOK_WAITING;	Cargando página
	
# Display errors	
TOK_IEPOPUP_FRAMESET_EXC;	"<span style=""color: red; font-weight: bolder;"">Las páginas web con FRAMESETs no se pueden mostrar aquí.</span>"
TOK_IEPOPUP_IFRAME_EXC;	"<span style=""color: red; font-weight: bolder;"">Las páginas web con IFRAMEs no se pueden mostrar aquí.</span>"
	
# Popupblocker errors	
TOK_POPUPBLOCKER_EXC;	Un bloqueador de ventanas emergentes impide la reproducción de la lección.
TOK_POPUPBLOCKER_CONFIRM;	"Un bloqueador de ventanas emergentes ha impedido la apertura de una nueva ventana del navegador.@{NEWLINE}@{NEWLINE}Aceptar: Puede continuar, si ya ha desactivado el bloqueador de ventanas emergentes@{NEWLINE}    para el servidor web.@{NEWLINE}Cancelar: La lección finalizará."
	
# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC;	"Una configuración de seguridad de Internet Explorer@{NEWLINE}impide mostrar la lección.@{NEWLINE}Permita ""Abrir ventanas sin restricciones de tamaño y posición""."
	
# Standard errors	
TOK_COULD_NOT_READ_EXC;	"@1 ""@2"" o se pudo leer."
TOK_COULD_NOT_READ2_EXC;	"@1 ""@2"" o se pudo leer: @3"
	
# Form texts	
TOK_CLOSE;	Cerrar
TOK_DIR;	Directorio
TOK_ERROR;	Error
TOK_EXIT;	Finalizar
TOK_OPEN;	Abrir
TOK_SEARCH;	Buscar
TOK_START;	Inicio
TOK_START_TOUR;	Iniciar @{TOK_TOUR}
TOK_STOP;	Parada
	
# Library	
TOK_LIB_BTN_LESS;	menos...
TOK_LIB_BTN_MORE;	más...
TOK_LIB_EMPTY;	Elemento vacío
TOK_LIB_FLAG_DESC;	Buscar descripción
TOK_LIB_FLAG_KEEP_OPEN;	Dejar abierta estructura del curso
TOK_LIB_FLAG_NEWWIN;	En una nueva ventana
TOK_LIB_FLAG_TITLE;	Buscar título
TOK_LIB_RESET;	Borrar resultados de la búsqueda
TOK_LIB_VAL_NOFILTER; sin filtro
	
# Mimetypes	
MIME_TEXT_PDF;	Formato PDF - Adobe Acrobat
MIME_APP_MSWORD;	Documento Winword
MIME_APP_EXCEL;	Tabla de trabajo Excel
MIME_APP_PPT;	Diapositivas Powerpoint
MIME_APP_OOFF;	Documento OpenOffice
MIME_APP_OOFFWRITE;	Texto OpenOffice
MIME_APP_OOFFCALC;	Cálculo OpenOffice
MIME_APP_OOFFIMPRESS;	Presentación OpenOffice
MIME_APP_OOFFMATH;	Fórmulas OpenOffice
MIME_AUDIO;	Sonido
MIME_VIDEO;	Video
MIME_TEXT_HTML;	Página web
MIME_TEXT;	Documento de texto
MIME_APP_DGO;	@{TOK_COMPANY} Lección
MIME_APP_DGO_DEMO;	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE;	@{TOK_COMPANY} Ejercicio
MIME_APP_DGO_TEST;	@{TOK_COMPANY} Prueba
MIME_APP_DGO_CONCURRENT;	@{TOK_COMPANY} Lección en modo de práctica  
MIME_UNKNOWN;	@{TOK_LIB_UNKNOWN}
	
# Tooltips	
TIP_PLAY;	"Continuar (F8); Con ""Alt"": Reiniciar"
TIP_PAUSE;	"Detener (PAUSE); Con ""Mayús"": Aumentar la calidad del sonido; Con ""Alt"": Ahorrar ancho de banda de audio"
TIP_STOP;	"Finalizar (F12); Con ""Mayús"": Mostrar versión"
TIP_NEXT;	Siguiente capítulo (ALT-abajo)
TIP_BACK;	"Capítulo anterior (ALT-arriba); Con ""Alt"": Mostrar curso"
TIP_MAXBUBBLE;	Restablecer burbuja de texto
TIP_MINBUBBLE;	Minimizar burbuja de texto
TIP_CLOSEBUBBLE;	Quitar burbuja de texto
TIP_ENABLED;	
TIP_DISABLED;	(no es posible ahora)
TIP_TASK;	Planteamiento del problema
TIP_HELPBUBBLE;	"Sí, mostrar ayuda"
TIP_GOONBUBBLE;	"Ir al paso siguiente"
TOK_OK;	"Correcto"

# Bracepages	
TOK_BP_CLOSEWINDOW;	Cerrar ventana
TOK_BP_GOBACK;	Atrás
TOK_BP_GOON;	Adelante
TOK_BP_JSCONSOLE;	Notificaciones Javascript
TOK_BP_MODE;	Modo
TOK_BP_PARAMETER;	Parámetros
TOK_BP_RESTARTPROGRAM;	Repetir programa
TOK_BP_STARTANOTHER;	Iniciar otro programa
TOK_BP_VALUE;	Valor
	
# Exercise colors	
EXER_COLOR_ERROR;	rojo
EXER_COLOR_CLICK;	verde
EXER_COLOR_DBLCLICK;	amarillo
EXER_COLOR_RCLICK;	turquesa
EXER_COLOR_MCLICK;	naranja
EXER_COLOR_CHANGE;	verde
EXER_COLOR_DRAG;	azul
EXER_COLOR_DROP;	marrón
	
# Exercises	
EXER_AND;	@{NEWLINE}y@{NEWLINE}
EXER_FAIL0;	"Lamentablemente, es incorrecto."
EXER_FAIL1;	"Lamentablemente, es incorrecto. Se deducirá 1 punto del total. Le quedan: @1_rest-points_."
EXER_FAIL2;	"Lamentablemente, es incorrecto. Se deducirán @1_points-penalty_ puntos del total. Le quedan: @2_rest-points_."
EXER_FAIL_ASK4HELP;	@{NEWLINE}@{NEWLINE}¿Necesita ayuda?
EXER_FAILCHANGE_HELP;	El campo modificado se marcó en @{EXER_COLOR_ERROR}.@{NEWLINE}Todos los campos de entrada que pueden modificar se subrayaron en @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP;	No existe ningún campo de entrada permitido.@{NEWLINE}El campo modificado se marcó en @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP;	La zona pulsada se marcó en @{EXER_COLOR_ERROR}.@{NEWLINE}Todos los elementos donde se puede pinchar se marcaron en @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP;	No se permite hacer clic en ningún lugar.@{NEWLINE}La zona pulsada se marcó en @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP;	La zona pulsada mediante doble clic se marcó en @{EXER_COLOR_ERROR}.@{NEWLINE}Todos los botones permitidos para doble clic se marcaron en @{EXER_COLOR_DBLCLICK}.
