# English text atoms
# Base tokens
BULLET;	•
NEWLINE;	\r\n
TOK_COMPANY;	datango
TOK_LIB;	@{TOK_COMPANY} Cours
TOK_TOUR;	@{TOK_COMPANY} Leçon
TOK_TRAINER;	@{TOK_COMPANY} Formateur

# Key names
ALTKEY;	Touche Alt
CTRLKEY;	Touche Contrôle
LEFTALTKEY;	Touche Alt (gauche)
LEFTCTRLKEY;	Touche Contrôle (gauche)
LEFTSHIFTKEY;	Touche Majuscule (gauche)
ON;	marche
OFF;	arrêt
RIGHTALTKEY;	Touche Alt (droite)
RIGHTCTRLKEY;	Touche Contrôle (droite)
RIGHTSHIFTKEY;	Touche Majuscule (droite)
SHIFTKEY;	Touche Majuscule

# Trainer states
TOK_BUFFERING;	Chargement du son en cours...
TOK_CONNECTING;	Connexion en cours...
TOK_IDLE;
TOK_LMS;	Résultat en cours d'écriture...
TOK_OPENING;	Connexion en cours...
TOK_OPEN;
TOK_PAUSED;	Pause
TOK_PLAYING;	Lecture
TOK_READY;	Prêt
TOK_USERINPUT;	Entrée
TOK_WAITING;	Chargement de la page en cours...

# Display errors
TOK_IEPOPUP_FRAMESET_EXC;	"<span style=""color: red; font-weight: bolder;"">Les jeux de cadres ne peuvent pas être affichés ici.</span>"
TOK_IEPOPUP_IFRAME_EXC;	"<span style=""color: red; font-weight: bolder;"">Les documents avec des IFRAME ne peuvent pas être affichés ici.</span>"

# Popupblocker errors
TOK_POPUPBLOCKER_EXC;	Un système de blocage de fenêtres contextuelles empêche la lecture de la leçon.
TOK_POPUPBLOCKER_CONFIRM;	Un système de blocage de fenêtres contextuelles a empêché une nouvelle fenêtre du navigateur de s'ouvrir.@{NEWLINE}@{NEWLINE}OK : Vous pouvez continuer maintenant que vous avez désactivé le système de blocage de fenêtres contextuelles @{NEWLINE}    pour le serveur Web.@{NEWLINE}Annuler : La leçon est terminée.

# Security setting errors
TOK_SECURITY_WINDOW_POSITION_EXC;	"Un réglage de sécurité d'Internet Explorer \n\empêche l'affichage du @{TOK_TOUR}.\nVeuillez activer \n""Autoriser les fenêtres initiées par des scripts sans restriction de taille ou de position""!"

# Standard errors
TOK_COULD_NOT_READ_EXC;	"Impossible de lire @1 ""@2""."
TOK_COULD_NOT_READ2_EXC;	"Impossible de lire @1 ""@2"" : @3"

# Form texts
TOK_CLOSE;	Fermer
TOK_DIR;	Répertoire
TOK_ERROR;	Erreur
TOK_EXIT;	Quitter
TOK_OPEN;	Ouvrir
TOK_SEARCH;	Rechercher
TOK_START;	Démarrer
TOK_START_TOUR;	Démarrage de @{TOK_TOUR}
TOK_STOP;	Arrêt

# Library
TOK_LIB_BTN_LESS;	moins...
TOK_LIB_BTN_MORE;	plus...
TOK_LIB_EMPTY;	Élément vide
TOK_LIB_FLAG_DESC;	Rechercher une description
TOK_LIB_FLAG_KEEP_OPEN;	Laisser la structure de cours ouverte
TOK_LIB_FLAG_NEWWIN;	Dans une nouvelle fenêtre
TOK_LIB_FLAG_TITLE;	Rechercher un titre
TOK_LIB_RESET;	Effacer les résultats de recherche
TOK_LIB_VAL_NOFILTER;	Sans filtre

# Mimetypes
MIME_TEXT_PDF;	Format PDF – Adobe Acrobat
MIME_APP_MSWORD;	Document Word
MIME_APP_EXCEL;	Tableur Excel
MIME_APP_PPT;	Diapositives PowerPoint
MIME_APP_OOFF;	Document OpenOffice
MIME_APP_OOFFWRITE;	Texte OpenOffice
MIME_APP_OOFFCALC;	Tableur OpenOffice
MIME_APP_OOFFIMPRESS;	Présentation OpenOffice
MIME_APP_OOFFMATH;	Formules mathématiques OpenOffice
MIME_AUDIO;	Audio
MIME_VIDEO;	Vidéo
MIME_TEXT_HTML;	Page Internet
MIME_TEXT;	Document texte
MIME_APP_DGO;	@{TOK_COMPANY} Leçon
MIME_APP_DGO_DEMO;	@{TOK_COMPANY} Démo
MIME_APP_DGO_PRACTISE;	@{TOK_COMPANY} Approfondissement
MIME_APP_DGO_TEST;	@{TOK_COMPANY} Test
MIME_APP_DGO_CONCURRENT;	@{TOK_COMPANY} Leçon en mode concurrent
MIME_UNKNOWN;	@{TOK_LIB_UNKNOWN}

# Tooltips
TIP_PLAY;	"""Continuer (F8); Recommencer avec """"Alt"""" : """
TIP_PAUSE;	"""Arrêt (PAUSE); Améliorer la qualité sonore avec la touche """"Majuscule"""" : Économiser la bande audiofréquence avec """"Alt"""" :"""
TIP_STOP;	"""Quitter (F12); Afficher la version avec la touche """"Majuscule"""" : """
TIP_NEXT;	Chapitre suivant (ALT-vers le bas)
TIP_BACK;	"Chapitre précédent (ALT-vers le haut); Afficher le cours avec la touche ""Alt"" :"
TIP_MAXBUBBLE;	Rétablir la bulle de texte
TIP_MINBUBBLE;	Réduire la bulle de texte
TIP_CLOSEBUBBLE;	Fermer la bulle de texte
TIP_ENABLED;
TIP_DISABLED;	(impossible maintenant)
TIP_TASK;	Tâche
TOK_CLOSE_TASK;	Fermer @{TIP_TASK}
TIP_HELPBUBBLE;	Oui, afficher l'aide
TIP_GOONBUBBLE;	Aller à l'étape suivante

# Bracepages
TOK_BP_CLOSEWINDOW;	Fermer la fenêtre
TOK_BP_GOBACK;	Précédent
TOK_BP_GOON;	Suivant
TOK_BP_JSCONSOLE;	Messages Javascript
TOK_BP_MODE;	Mode
TOK_BP_PARAMETER;	Paramètres
TOK_BP_RESTARTPROGRAM;	Répéter le programme
TOK_BP_STARTANOTHER;	Démarrer un nouveau programme
TOK_BP_VALUE;	Valeur

# Exercise colors
EXER_COLOR_ERROR;	indication en rouge
EXER_COLOR_CLICK;	indication en vert
EXER_COLOR_DBLCLICK;	indication en jaune
EXER_COLOR_RCLICK;	indication en turquoise
EXER_COLOR_CHANGE;	soulignement en vert
EXER_COLOR_DRAG;	indication en bleu
EXER_COLOR_DROP;	indication en brun

# Exercises
EXER_AND;	@{NEWLINE}et@{NEWLINE}
EXER_FAIL0;	Votre action était incorrecte.

EXER_FAIL1;	Votre action était incorrecte. 1 point a été soustrait de votre nombre de points global. Total des points pour cette action : @1_rest_points_.
EXER_FAIL2;	Votre action était incorrecte. @1_points-penalty_ points soustraits de votre nombre de points global. Total des points pour cette action : @2_rest-points_ points.
EXER_FAIL_ASK4HELP;	@{NEWLINE}@{NEWLINE}Avez-vous besoin d'aide ?

EXER_FAILCHANGE;	Vous avez modifié le mauvais champ.@{NEWLINE}
EXER_FAILCHANGE_HELP;	Le champ modifié est @{EXER_COLOR_ERROR}.@{NEWLINE}Tous les champs d'entrée qui peuvent être modifiés sont @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE_NOMARK_HELP;	Tous les champs de saisie valides sont @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP;	Modifier les champs de saisie n'est pas autorisé à cet endroit.@{NEWLINE}Le champ modifié est @{EXER_COLOR_ERROR}.
EXER_FAILCHANGE0_NOMARK_HELP;	Aucun champ de saisie valide.

