# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} Tečaj
TOK_TOUR	@{TOK_COMPANY} Nastavna jedinica
TOK_TRAINER	@{TOK_COMPANY} Trener

# Key names	
ALTKEY	Alt
CTRLKEY	Ctrl
LEFTALTKEY	Alt (lijevo)
LEFTCTRLKEY	Ctrl (lijevo)
LEFTSHIFTKEY	Shift (lijevo)
ON	Uključeno
OFF	Iskljčeno
RIGHTALTKEY	Alt (desno)
RIGHTCTRLKEY	Ctrl (desno)
RIGHTSHIFTKEY	Shift (desno)
SHIFTKEY	Shift

# trainer states	
TOK_BUFFERING	Audio se učitava ... 
TOK_CONNECTING	Spajanje ... 
TOK_IDLE	
TOK_LMS	Pisanje rezultata ...
TOK_OPENING	Spajanje ... 
TOK_OPEN	
TOK_PAUSED	Stanka
TOK_PLAYING	U radu
TOK_READY	Spreman
TOK_USERINPUT	Unos
TOK_WAITING	Stranica se učitava ... 

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;"">Framesetovi se ovdje ne mogu pokazati.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;"">Dokumenti s IFRAME-ovima ne mogu se ovdje pokazati.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	Program za sprječavanje pop-up poruka blokira izvršavanje nastavne jedinice.
TOK_POPUPBLOCKER_CONFIRM	Program za sprječavanje pop-up poruka blokira otvaranje nvog prozora u pregledniku.@{NEWLINE}@{NEWLINE}OK: možete nastaviti jer ste pop-up blokera@{NEWLINE}   isključili za web poslužitelja.@{NEWLINE}Prekid: svršetak nastavne jedinice.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"Neka sigurnosna postavka Internet Explorera\n\sprječava prikaz @{TOK_TOUR}.\nDopustite\n""Scriptom pokrenuti prozori bez ograničenja veličine i pozicije""\n!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" nije bilo moguće pročitati."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" nije bilo moguće pročitati: @3"

# Form texts	
TOK_CLOSE	Zatvoriti
TOK_DIR	Popis
TOK_ERROR	Greška
TOK_EXIT	Kraj
TOK_OPEN	Otviriti
TOK_SEARCH	Pretraga
TOK_START	Početak
TOK_START_TOUR	@{TOK_TOUR} pokrenuti
TOK_STOP	Zaustavljanje

# Library	
TOK_LIB_BTN_LESS	manje...
TOK_LIB_BTN_MORE	više...
TOK_LIB_EMPTY	Prazan element
TOK_LIB_FLAG_DESC	Pretražiti opis
TOK_LIB_FLAG_KEEP_OPEN	Strukturu tečaja ostaviti otvorenu
TOK_LIB_FLAG_NEWWIN	U novom prozoru
TOK_LIB_FLAG_TITLE	Pretražiti naslov
TOK_LIB_RESET	Brisati rezultate pretraživanja

# Mimetypes	
MIME_TEXT_PDF	PDF - Adobe Acrobat format
MIME_APP_MSWORD	Winword dokument
MIME_APP_EXCEL	Excel radni list
MIME_APP_PPT	Powerpoint folije
MIME_APP_OOFF	OpenOffice dokument
MIME_APP_OOFFWRITE	OpenOffice tekst
MIME_APP_OOFFCALC	OpenOffice kalkulacija
MIME_APP_OOFFIMPRESS	OpenOffice prezentacija
MIME_APP_OOFFMATH	OpenOffice formule
MIME_AUDIO	Zvuk
MIME_VIDEO	Video
MIME_TEXT_HTML	Web stranica
MIME_TEXT	Tekstualni dokument
MIME_APP_DGO	@{TOK_COMPANY} Nastavna jedinica
MIME_APP_DGO_DEMO	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} Vježba
MIME_APP_DGO_TEST	@{TOK_COMPANY} Test
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} Nastavna jedinica rad u praksi
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	"Nastavak (F8); S ""Alt"": ponovni početak"
TIP_PAUSE	"Zadržati (PAUZA); Sat ""Shilft"": povisiti audio kvalitetu; S ""Alt"": uštedjeti širinu audio pojasa"
TIP_STOP	"Kraj (F12); Sa ""Shift"": prikazati verziju"
TIP_NEXT	Slijedeće poglavlje (ALT-dolje)
TIP_BACK	"Prethodno poglavlje (ALT-gore); s ""Alt"": tečaja prikazati"
TIP_MAXBUBBLE	Vratiti poruku u balončiću
TIP_MINBUBBLE	Smanjiti poruku u balončiću
TIP_CLOSEBUBBLE	Zatvoriti poruku u balončiću
TIP_ENABLED	
TIP_DISABLED	(sada nije moguće)
TIP_TASK	Zadatak

# Bracepages	
TOK_BP_CLOSEWINDOW	Zatvoriti prozor
TOK_BP_GOBACK	Natrag
TOK_BP_GOON	Dalje
TOK_BP_JSCONSOLE	Javascript dojave
TOK_BP_MODE	Postava
TOK_BP_PARAMETER	Parametar
TOK_BP_RESTARTPROGRAM	Ponoviti program
TOK_BP_STARTANOTHER	Pokrenuti drugi program
TOK_BP_VALUE	Vrijednost

# Exercise colors	
EXER_COLOR_ERROR	crveno označeno
EXER_COLOR_CLICK	zeleno označeno
EXER_COLOR_DBLCLICK	žuto označeno
EXER_COLOR_RCLICK	tirkizno označeno
EXER_COLOR_CHANGE	zeleno podcrtano
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND	@{NEWLINE}i@{NEWLINE}
EXER_FAIL0	Na žalost, krivo.
EXER_FAIL1	Na žalost, krivo. 1 bod odbitka. Ostaju: @1_rest-points_.
EXER_FAIL2	Na žalost, krivo. @1_points-penalty_ Punkte Abzug. Ostaju: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}Trebate pomoć?
EXER_FAILCHANGE_HELP	Izmijenjeno polje je @{EXER_COLOR_ERROR}.@{NEWLINE}Sva polja za unos koja se smiju mijenjati su @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	Nema dopustivih polja za unos.@{NEWLINE}Izmijenjeno polje je @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	Kliknuto područje je @{EXER_COLOR_ERROR}.@{NEWLINE}Svi dopušteni dugmići su @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	Klik nije nigdje dopušten.@{NEWLINE}Kliknuto područje je @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	Područje kliknuto dvostrukim klikom je @{EXER_COLOR_ERROR}.@{NEWLINE}Svi dugmići dopušteni za dvoklik su @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP	Dvostruki klik nije nigdje dopušten.@{NEWLINE}Kliknuto područje je @{EXER_COLOR_ERROR}.
EXER_FAILRCLICK_HELP	Područje kliknuto desnim klikom je @{EXER_COLOR_ERROR}.@{NEWLINE}Svi dugmići dopušteni za desni klik su @{EXER_COLOR_RCLICK}.
