# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY;	datango
TOK_LIB;	@{TOK_COMPANY} tanfolyam
TOK_TOUR;	@{TOK_COMPANY} tanulási egység
TOK_TRAINER;	@{TOK_COMPANY} oktató
	
# Key names	
ALTKEY;	Alt
CTRLKEY;	Strg
LEFTALTKEY;	alt (bal)
LEFTCTRLKEY;	strg (bal)
LEFTSHIFTKEY;	átkapcs (bal)
ON;	rá
OFF;	ki
RIGHTALTKEY;	alt (jobb)
RIGHTCTRLKEY;	strg (jobb)
RIGHTSHIFTKEY;	átkapcs (jobb)
SHIFTKEY;	átkapcs
	
# trainer states	
TOK_BUFFERING;	Audio töltődik
TOK_CONNECTING;	Kapcsolódás…
TOK_IDLE;	
TOK_LMS;	Eredmény írása …
TOK_OPENING;	Kapcsolódás…
TOK_OPEN;	
TOK_PAUSED;	Szünet
TOK_PLAYING;	Folyamatban
TOK_READY;	készenlétben
TOK_USERINPUT;	Bevitel
TOK_WAITING;	Oldalt töltődik…
	
# Display errors	
TOK_IEPOPUP_FRAMESET_EXC;	"<span style=""color: red; font-weight: bolder;"">Frame-készleteket itt nem lehet megjeleníteni. </span>"
TOK_IEPOPUP_IFRAME_EXC;	"<span style=""color: red; font-weight: bolder;""> IFRAME egységeket tartalmazó dokumentumokat itt nem lehet megjeleníteni.</span>"
	
# Popupblocker errors	
TOK_POPUPBLOCKER_EXC;	Egy előugró menü blokkoló megakadályozza a tanulási egység megtekintését.
TOK_POPUPBLOCKER_CONFIRM;	Egy blokkoló megakadályozta egy új böngészőablak megjelenését. @{NEWLINE}@{NEWLINE}OK: Folytathatja, mert kikapcsolta az előugró menü blokkolót @{NEWLINE} a web-böngészőhöz. @{NEWLINE}megszakítás: A tanulási egység befejeződik.
	
# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC;	"Az Internet Explorer biztonsági beállítása megakadályozza a @{TOK_TOUR} ábrázolását. \nEngedélyezze a \n""Script által inicializált ablakot méret- és pozíció-korlátozások nélkül""\n!"
	
# Standard errors	
TOK_COULD_NOT_READ_EXC;	"@1 ""@2"" nem lehetett olvasni."
TOK_COULD_NOT_READ2_EXC;	"@1 ""@2"" nem lehetett olvasni: @3"
	
# Form texts	
TOK_CLOSE;	Zárás
TOK_DIR;	Könyvtár
TOK_ERROR;	Hiba
TOK_EXIT;	Befejezés
TOK_OPEN;	Megnyitás
TOK_SEARCH;	Keresés
TOK_START;	Start
TOK_START_TOUR;	@{TOK_TOUR} indítása
TOK_STOP;	Állj!
	
# Library	
TOK_LIB_BTN_LESS;	kevesebb…
TOK_LIB_BTN_MORE;	több…
TOK_LIB_EMPTY;	Üres elem
TOK_LIB_FLAG_DESC;	Keresés a leírásban 
TOK_LIB_FLAG_KEEP_OPEN;	A tanfolyam-struktúra nyitva hagyása
TOK_LIB_FLAG_NEWWIN;	Új ablakban
TOK_LIB_FLAG_TITLE;	Keresés a fejlécben
TOK_LIB_RESET;	A keresési eredmények törlése
	
# Mimetypes	
MIME_TEXT_PDF;	PDF - Adobe Acrobat Formátum
MIME_APP_MSWORD;	Winword Dokumentum
MIME_APP_EXCEL;	Excel munkalap
MIME_APP_PPT;	Powerpoint diák
MIME_APP_OOFF;	OpenOffice dokumentum
MIME_APP_OOFFWRITE;	OpenOffice szöveg
MIME_APP_OOFFCALC;	OpenOffice kalkuláció
MIME_APP_OOFFIMPRESS;	OpenOffice bemutató
MIME_APP_OOFFMATH;	OpenOffice képletek
MIME_AUDIO;	Dallam
MIME_VIDEO;	Videó
MIME_TEXT_HTML;	Weblap
MIME_TEXT;	Szöveges dokumentum
MIME_APP_DGO;	@{TOK_COMPANY} Tanulási egység
MIME_APP_DGO_DEMO;	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE;	@{TOK_COMPANY} Gyakorlat
MIME_APP_DGO_TEST;	@{TOK_COMPANY} Teszt
MIME_APP_DGO_CONCURRENT;	@{TOK_COMPANY} A tanulási egység gyakorlati módja
MIME_UNKNOWN;	@{TOK_LIB_UNKNOWN}
	
# Tooltips	
TIP_PLAY;	"Folytatás (F8); Az ""Alt"" billentyűvel: újraindítás"
TIP_PAUSE;	"Leállítás (SZÜNET); ""Átkapcs.” Gombbal: az audio minőség javítása; az „Alt” gombbal: takarékoskodás az audio-sávszélességgel"
TIP_STOP;	"Befejezés (F12); Az ""Átkapcs.” Gombbal: a verzió megjelenítése"
TIP_NEXT;	Következő fejezet (ALT – lefelé mutató nyílbillentyű)
TIP_BACK;	"Előző fejezet (ALT - felfelé mutató nyílbillentyű); Az „Alt” gombbal: tanfolyam megjelenítése"
TIP_MAXBUBBLE;	Szövegbuborék helyreállítása
TIP_MINBUBBLE;	Szövegbuborék minimalizálása
TIP_CLOSEBUBBLE;	Szövegbuborék eltávolítása
TIP_ENABLED;	
TIP_DISABLED;	(most nem lehetséges)
TIP_TASK;	A feladat kijelölése
	
# Bracepages	
TOK_BP_CLOSEWINDOW;	Ablak bezárása
TOK_BP_GOBACK;	Vissza
TOK_BP_GOON;	Tovább
TOK_BP_JSCONSOLE;	Javascript üzenetek
TOK_BP_MODE;	Üzemmód
TOK_BP_PARAMETER;	Paraméter
TOK_BP_RESTARTPROGRAM;	Program ismétlése
TOK_BP_STARTANOTHER;	Másik program indítása
TOK_BP_VALUE;	Érték
	
# Exercise colors	
EXER_COLOR_ERROR;	Pirossal jelölve
EXER_COLOR_CLICK;	Zölddel jelölve
EXER_COLOR_DBLCLICK;	Sárgával jelölve
EXER_COLOR_RCLICK;	Türkiz kékkel
EXER_COLOR_CHANGE;	Zölddel aláhúzva
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown
	
# Exercises	
EXER_AND;	@{NEWLINE}és@{NEWLINE}
EXER_FAIL0;	Sajnos hibás.
EXER_FAIL1;	Sajnos hibás. Egy pont levonás. Fennamradó pontszám: @1_rest-points_.
EXER_FAIL2;	Sajnos hibás. @1_points-penalty_ Pont levonás. Fennmaradó pontszám: @2_rest-points_.
EXER_FAIL_ASK4HELP;	@{NEWLINE}@{NEWLINE}Kér segítséget?
EXER_FAILCHANGE_HELP;	A módosított mező  @{EXER_COLOR_ERROR} lett. @{NEWLINE}Valamennyi módosítható adatbeviteli mező  @{EXER_COLOR_CHANGE} lett.
EXER_FAILCHANGE0_HELP;	Nincsenek megengedett adatbeviteli mezők.@{NEWLINE}A módosított mező  @{EXER_COLOR_ERROR} lett.
EXER_FAILCLICK_HELP;	Az zóna amelyre rákattintoty @{EXER_COLOR_ERROR} lett.@{NEWLINE}Az összes megengedett gomb @{EXER_COLOR_CLICK} lett.
EXER_FAILCLICK0_HELP;	Sehol sem lehet kattintani.@{NEWLINE}A zóna, amelyre rákattintott, @{EXER_COLOR_ERROR} lett.

