# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} Kursas
TOK_TOUR	@{TOK_COMPANY} Mokomasis blokas
TOK_TRAINER	@{TOK_COMPANY} Treneris

# Key names	
ALTKEY	alt
CTRLKEY	strg
LEFTALTKEY	alt (kairėje)
LEFTCTRLKEY	strg (kairėje)
LEFTSHIFTKEY	umsch (kairėje)
ON	įj.
OFF	išj.
RIGHTALTKEY	alt (dešinėje)
RIGHTCTRLKEY	strg (dešinėje)
RIGHTSHIFTKEY	umsch (dešinėje)
SHIFTKEY	perj.

# trainer states	
TOK_BUFFERING	Audio kraunasi ... 
TOK_CONNECTING	Sujungti ... 
TOK_IDLE	
TOK_LMS	Užrašyti rezultatą ...
TOK_OPENING	Jungti ... 
TOK_OPEN	
TOK_PAUSED	Pauzė
TOK_PLAYING	Eiga
TOK_READY	Paruošta
TOK_USERINPUT	Įrašas
TOK_WAITING	Puslapis kraunasi ... 

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;"">Rėmelio nustatymai čia negali būti parodyti.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;"">Dokumentai su IFRAME'ais čia negali būti parodyti.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	Popup blokatorius trukdo paleisti mokomąjį bloką.
TOK_POPUPBLOCKER_CONFIRM	Popup blokatorius neleido atverti naujo paieškos lango.@{NEWLINE}@{NEWLINE}OK: galite tęsti, nes@{NEWLINE}    Jūs išjungėte web serverio blokatorių.@{NEWLINE}Nutraukti: Mokomasis blokas užbaigiamas.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"Internet Explorer'io apsaugos nustatymas\n\rneleidžia pateikti @{TOK_TOUR}.\nPrašome\nleisti naudoti ""skripto inicijuotus langus, neribojant dydžio ir pozicijos""!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" nepavyko perskaityti."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" nepavyko perskaityti: @3"

# Form texts	
TOK_CLOSE	Uždaryti
TOK_DIR	Katalogas
TOK_ERROR	Klaida
TOK_EXIT	Baigti
TOK_OPEN	Atverti
TOK_SEARCH	Ieškoti
TOK_START	Startas
TOK_START_TOUR	@{TOK_TOUR} pradėti
TOK_STOP	Stop

# Library	
TOK_LIB_BTN_LESS	mažiau...
TOK_LIB_BTN_MORE	daugiau...
TOK_LIB_EMPTY	Tuščias elementas
TOK_LIB_FLAG_DESC	Ieškoti aprašyme
TOK_LIB_FLAG_KEEP_OPEN	Palikti atvirą kurso struktūrą
TOK_LIB_FLAG_NEWWIN	Naujame lange
TOK_LIB_FLAG_TITLE	Ieškoti pavadinime
TOK_LIB_RESET	išvalyti paieškos rezultatus

# Mimetypes	
MIME_TEXT_PDF	PDF - Adobe Acrobat formatas
MIME_APP_MSWORD	Winword dokumentas
MIME_APP_EXCEL	Excel'io lentelė
MIME_APP_PPT	Powerpoint'o skaidrės
MIME_APP_OOFF	OpenOffice dokumentas
MIME_APP_OOFFWRITE	OpenOffice tekstas
MIME_APP_OOFFCALC	OpenOffice kalkuliacija
MIME_APP_OOFFIMPRESS	OpenOffice prezentacija
MIME_APP_OOFFMATH	OpenOffice formulės
MIME_AUDIO	Garsas
MIME_VIDEO	Video
MIME_TEXT_HTML	Web puslapis
MIME_TEXT	Tekstinis dokumentas
MIME_APP_DGO	@{TOK_COMPANY} Mokomasis blokas
MIME_APP_DGO_DEMO	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} Pratimas
MIME_APP_DGO_TEST	@{TOK_COMPANY} Testas
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} Mokomasis blokas praktikos režimas
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	"Tęsti (F8); su ""Alt"": naujas startas"
TIP_PAUSE	"Sustabdyti (PAUSE); Su ""Shift"": Pagerinti garso kokybę; Su ""Alt"": tausoti audio diapazoną"
TIP_STOP	"Baigti (F12); Su ""Shift"": rodyti versiją"
TIP_NEXT	Kitas skyrius (ALT-žemyn)
TIP_BACK	"Ankstesnis skyrius (ALT-aukštyn); Su ""Alt"": rodyti kursą"
TIP_MAXBUBBLE	Atkurti teksto laukelį
TIP_MINBUBBLE	Minimizuoti teksto laukelį
TIP_CLOSEBUBBLE	Pašalinti teksto laukelį
TIP_ENABLED	
TIP_DISABLED	(šiuo metu negalima)
TIP_TASK	Užduoties iškėlimas

# Bracepages	
TOK_BP_CLOSEWINDOW	Užverti langą
TOK_BP_GOBACK	Atgal
TOK_BP_GOON	Toliau
TOK_BP_JSCONSOLE	Javascript'o pranešimai
TOK_BP_MODE	Režimas
TOK_BP_PARAMETER	Parametras
TOK_BP_RESTARTPROGRAM	pakartoti programą
TOK_BP_STARTANOTHER	Paleisti jnaują programą
TOK_BP_VALUE	Vertė

# Exercise colors	
EXER_COLOR_ERROR	raudonai markiruota
EXER_COLOR_CLICK	žaliai markiruota
EXER_COLOR_DBLCLICK	geltonai markiruota
EXER_COLOR_RCLICK	turkis markiruota
EXER_COLOR_CHANGE	žaliai pabraukta
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND	@{NEWLINE}ir@{NEWLINE}
EXER_FAIL0	Deja, neteisingai.
EXER_FAIL1	Deja neteisingai. Minusuojamas 1 taškas. Liko taškų: @1_rest-points_.
EXER_FAIL2	Deja neteisingai. @1_points-penalty_ taškų minusuokama. Liko taškų: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}Jums reikalinga pagalba?
EXER_FAILCHANGE_HELP	Pakeistas laukelis tapo @{EXER_COLOR_ERROR}.@{NEWLINE}Visi įrašų laukeliai, kurie buvo pakeisti, tapo @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	Nėra leistinų įrašų laukelių.@{NEWLINE}Pakeistas laukelis tapo @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	Pasirinkta zona tapo @{EXER_COLOR_ERROR}.@{NEWLINE}Visi leistini mygtukai tapo @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	Niekur neleistinas vienas klavišo nuspaudimas.@{NEWLINE}Pasirinkta zona tapo @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	Dvigubu klavišo nuspaudimu pasirinkta zona tapo @{EXER_COLOR_ERROR}.@{NEWLINE}Visi dvigubam klavišo nuspaudimui leistini mygtukai tapo @{EXER_COLOR_DBLCLICK}.
EXER_FAILRCLICK_HELP	Dešiniojo klavišo nuspaudimu pasirinkta zona tapo @{EXER_COLOR_ERROR}.@{NEWLINE}Visi dešinio klavišo nuspaudimu pasirenkami mygtukai tapo @{EXER_COLOR_RCLICK}.
