# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY;	datango
TOK_LIB;	 @{TOK_COMPANY} kurss
TOK_TOUR;	 @{TOK_COMPANY} solis
TOK_TRAINER;	 @{TOK_COMPANY} treneris

# Key names	
ALTKEY;	alt
CTRLKEY;	ctrl
LEFTALTKEY;	alt (kreisajā pusē )
LEFTCTRLKEY;	ctrl (kreisajā pusē)
LEFTSHIFTKEY;	shift (kreisajā pusē)
ON;	ieslēgts
OFF;	izslēgts
RIGHTALTKEY;	alt (labajā pusē)
RIGHTCTRLKEY;	ctrl (labajā pusē)
RIGHTSHIFTKEY;	shift (labajā pusē)
SHIFTKEY;	shift

# trainer states	
TOK_BUFFERING;	Audio tiek ielādēts ... 
TOK_CONNECTING;	Savienojums ... 
TOK_IDLE;	
TOK_LMS;	Ierakstīt rezultātu ...
TOK_OPENING;	Savienojums ... 
TOK_OPEN;	
TOK_PAUSED;	Pārtraukums
TOK_PLAYING;	Procesā
TOK_READY;	Gatavs
TOK_USERINPUT;	Ievade
TOK_WAITING;	Lapa tiek ielādēta ... 

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC;	"<span style=""color: red; font-weight: bolder;"">Rāmju sērijas šeit nevar apskatīties.</span>"
TOK_IEPOPUP_IFRAME_EXC;	"<span style=""color: red; font-weight: bolder;"">Dokumentus ar IFRAME šeit nevar apskatīties.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC;	Popup Blocker neļauj parādīt soli.
TOK_POPUPBLOCKER_CONFIRM;	"Popup Blocker aizkavēja jaunā Browser loga atvēršanu.@{NEWLINE}@{NEWLINE}OK: Jūs varat turpināt, jo Jūs esat izslēguši Popup Blocker@{NEWLINE} interneta serverī.@{NEWLINE}Pārtraukt: Mācību solis tiek aizvērts."

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC;	"Internet Explorer\n\rdrošības nostādīšana aizkavē @{TOK_TOUR} attēlošanu.\nPieļaujiet, lūdzu,\n""teksta draivera iniciētos logus bez izmēru un pozīciju ierobežojumiem""!"

# Standard errors	
TOK_COULD_NOT_READ_EXC;	" @1 ""@2"" nevarēja izlasīt."
TOK_COULD_NOT_READ2_EXC;	" @1 ""@2"" nevarēja izlasīt: @3"

# Form texts	
TOK_CLOSE;	Aizvērt
TOK_DIR;	Rādītājs
TOK_ERROR;	Kļūda
TOK_EXIT;	Pabeigt
TOK_OPEN;	Atvērt
TOK_SEARCH;	Meklēt
TOK_START;	Start
TOK_START_TOUR;	Uzsākt @{TOK_TOUR} 
TOK_STOP;	Stop

# Library	
TOK_LIB_BTN_LESS;	mazāk...
TOK_LIB_BTN_MORE;	vairāk...
TOK_LIB_EMPTY;	Tukšs elements
TOK_LIB_FLAG_DESC;	Pārmeklēt aprakstu
TOK_LIB_FLAG_KEEP_OPEN;	Kursa struktūras pārskatu atstāt atvērtu
TOK_LIB_FLAG_NEWWIN;	Jaunā logā
TOK_LIB_FLAG_TITLE;	Pārmeklēt nosaukumu
TOK_LIB_RESET;	Dzēst meklēšanas rezultātus

# Mimetypes	
MIME_TEXT_PDF;	PDF - Adobe Acrobat formāts
MIME_APP_MSWORD;	Winword dokuments
MIME_APP_EXCEL;	Excel darba lapa
MIME_APP_PPT;	Powerpoint folijas
MIME_APP_OOFF;	OpenOffice dokuments
MIME_APP_OOFFWRITE;	OpenOffice teksts
MIME_APP_OOFFCALC;	OpenOffice kalkulācija
MIME_APP_OOFFIMPRESS;	OpenOffice prezentācija
MIME_APP_OOFFMATH;	OpenOffice formulas
MIME_AUDIO;	Skaņa
MIME_VIDEO;	Video
MIME_TEXT_HTML;	Internetlapa
MIME_TEXT;	Teksta dokuments
MIME_APP_DGO;	 @{TOK_COMPANY} mācību solis
MIME_APP_DGO_DEMO;	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE;	 @{TOK_COMPANY} vingrinājums
MIME_APP_DGO_TEST;	 @{TOK_COMPANY} tests
MIME_APP_DGO_CONCURRENT;	" @{TOK_COMPANY} solis ""prakses režīms"""
MIME_UNKNOWN;	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY;	"Turpināt (F8); ar ""Alt"": restarts"
TIP_PAUSE;	"Apturēt (PĀRTRAUKUMS); ar ""Shift"": uzlabot audio kvalitāti; ar ""Alt"": taupīt audio frekvences joslas platumu"
TIP_STOP;	"Pabeigt (F12); ar ""Shift"": parādīt versiju"
TIP_NEXT;	Nākošā nodaļa (ALT-bulta uz leju)
TIP_BACK;	"iepriekšējā nodaļa (ALT-bulta uz augšu); ar ""Alt"": parādīt kursu"
TIP_MAXBUBBLE;	Atjaunot teksta lauku
TIP_MINBUBBLE;	Samazināt teksta lauku
TIP_CLOSEBUBBLE;	Dzēst teksta lauku
TIP_ENABLED;	
TIP_DISABLED;	(pašlaik nav iespējams)
TIP_TASK;	Uzdevuma uzdošana

# Bracepages	
TOK_BP_CLOSEWINDOW;	Aizvērt logu
TOK_BP_GOBACK;	Atpakaļ
TOK_BP_GOON;	Tālāk
TOK_BP_JSCONSOLE;	Javascript paziņojumi
TOK_BP_MODE;	Režīms
TOK_BP_PARAMETER;	Parameters
TOK_BP_RESTARTPROGRAM;	Atkārtot programmu
TOK_BP_STARTANOTHER;	Uzsākt jaunu programmu 
TOK_BP_VALUE;	Vērtība

# Exercise colors	
EXER_COLOR_ERROR;	iezīmēts sarkanā krāsā
EXER_COLOR_CLICK;	iezīmēts zaļā krāsā
EXER_COLOR_DBLCLICK;	iezīmēts dzeltenā krāsā
EXER_COLOR_RCLICK;	iezīmēts tirkīza krāsā 
EXER_COLOR_CHANGE;	pasvītrots zaļā krāsā
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_FAIL0;	Diemžēl nepareizi.
EXER_FAIL1;	Diemžēl nepareizi. 1 punkts atskaitīts. Jums paliek: @1_rest-points_.
EXER_FAIL2;	Diemžēl nepareizi. @1_points-penalty_ Punkti tiek atskaitīti. Jums paliek: @2_rest-points_.
EXER_FAIL_ASK4HELP;	@{NEWLINE}@{NEWLINE}Vai Jums ir vajadzīga palīdzība?
EXER_FAILCHANGE_HELP;	"Izmainītais lauks kļuva @{EXER_COLOR_ERROR}.@{NEWLINE}Visi ievades lauki, kurus drīkst mainīt, kļuva @{EXER_COLOR_CHANGE}."
EXER_FAILCHANGE0_HELP;	Pieļaujamu ievades lauku nav.@{NEWLINE}Izmainītais lauks kļuva @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP;	Noklikšķinātais lauks kļuva @{EXER_COLOR_ERROR}.@{NEWLINE}Visas pieļaujamās pogas kļuva @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP;	Klikšķināt nedrīkst.@{NEWLINE}Noklikšķinātais lauks kļuva @{EXER_COLOR_ERROR}.
