# Base tokens	Norsk
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY;	datango
TOK_LIB	@{TOK_COMPANY} Kurs
TOK_TOUR	@{TOK_COMPANY} Læringsenhet
TOK_TRAINER	@{TOK_COMPANY} Lærer

# Key names	
ALTKEY	Alt
CTRLKEY	Ctrl
LEFTALTKEY	Alt (venstre)
LEFTCTRLKEY	Ctrl (venstre)
LEFTSHIFTKEY	Shift (venstre)
ON	On / på
OFF	Off / av
RIGHTALTKEY	Alt (høyre)
RIGHTCTRLKEY	Ctrl (høyre)
RIGHTSHIFTKEY	Shift (høyre)
SHIFTKEY	Shift 

# trainer states	
TOK_BUFFERING	Buffering...
TOK_CONNECTING	Laster program...
TOK_IDLE	
TOK_LMS	Skriver resultat
TOK_OPENING	Laster program...
TOK_OPEN	
TOK_PAUSED	Pause
TOK_PLAYING	Spiller
TOK_READY	Klar
TOK_USERINPUT	Inndata
TOK_WAITING	Laster side...

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC;"<span style=""color: red; font-weight: bolder;"">Framesets cannot be shown here.</span>"
TOK_IEPOPUP_IFRAME_EXC;"<span style=""color: red; font-weight: bolder;"">Documents with IFRAMEs cannot be shown here.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	En Popupblokkering forhindrer at læringsenheten kan kjøres.
TOK_POPUPBLOCKER_CONFIRM	En Popupblokkering gjør at browservinduet ikke kan åpnes. @{NEWLINE}@{NEWLINE}OK: Du har slått av popupblokkeringen@{NEWLINE} til webserveren og kan derfor fortsette. @{NEWLINE}Avbryt: Læringsenheten avsluttes.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"En sikkerhetsinnstilling i Internet Explorer forhindrer visningen av @{TOK_TOUR}. Tillat \n""Skriptstartede vinduer uten størrelse- og plasseringsbegrensninger!""!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" kunne ikke leses."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" kunne ikke leses: @3"

# Form texts	
TOK_CLOSE	Lukk
TOK_DIR	Register
TOK_ERROR	Feil
TOK_EXIT	Avslutt
TOK_OPEN	Åpne
TOK_SEARCH	Søk
TOK_START	Start
TOK_START_TOUR	Start @{TOK_TOUR} 
TOK_STOP	Stopp

# Library	
TOK_LIB_BTN_LESS	Mindre....
TOK_LIB_BTN_MORE	Mer...
TOK_LIB_EMPTY	Tomt element
TOK_LIB_FLAG_DESC	Søk etter beskrivelse
TOK_LIB_FLAG_KEEP_OPEN	Åpne kursstruktur
TOK_LIB_FLAG_NEWWIN	I et nytt vindu
TOK_LIB_FLAG_TITLE	Søk etter tittel
TOK_LIB_RESET	Slett søkeresultat

# Mimetypes	
MIME_TEXT_PDF	PDF - Adobe Acrobat Format
MIME_APP_MSWORD	Winword Dokument
MIME_APP_EXCEL	Excel regneark
MIME_APP_PPT	Powerpoint presentasjoner
MIME_APP_OOFF	OpenOffice Dokument
MIME_APP_OOFFWRITE	OpenOffice Tekst
MIME_APP_OOFFCALC	OpenOffice Regneark
MIME_APP_OOFFIMPRESS	OpenOffice Presentasjon
MIME_APP_OOFFMATH	OpenOffice Formel
MIME_AUDIO	Lyd
MIME_VIDEO	Video
MIME_TEXT_HTML	Internettside
MIME_TEXT	Tekst dokument
MIME_APP_DGO	@{TOK_COMPANY} Læringsenhet
MIME_APP_DGO_DEMO	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} Øvingsoppgave
MIME_APP_DGO_TEST	@{TOK_COMPANY} Test
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} Læringsenhet Praksismodus
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	Fortsett (F8)
TIP_PAUSE	Stopp (PAUSE)
TIP_STOP	Avslutt (F12)
TIP_NEXT	Neste kapittel (ALT-pil ned)
TIP_BACK	Forrige kapittel (ALT-pil opp)
TIP_MAXBUBBLE	Gjenopprett tekstboble 
TIP_MINBUBBLE	Minimer tekstboble 
TIP_CLOSEBUBBLE	Slett tekstboble
TIP_ENABLED	
TIP_DISABLED	(for øyeblikket ikke tilgjengelig)
TIP_TASK	Oppgave

# Bracepages	
TOK_BP_CLOSEWINDOW	Lukk vindu
TOK_BP_GOBACK	Tilbake
TOK_BP_GOON	Videre
TOK_BP_JSCONSOLE	Javascript meldinger
TOK_BP_MODE	Modus
TOK_BP_PARAMETER	Parameter
TOK_BP_RESTARTPROGRAM	Start program på nytt
TOK_BP_STARTANOTHER	Start nytt program
TOK_BP_VALUE	Verdi

# Exercise colors	
EXER_COLOR_ERROR	Markert rødt
EXER_COLOR_CLICK	Markert grønt
EXER_COLOR_DBLCLICK	Markert gult
EXER_COLOR_RCLICK	Markert turkis
EXER_COLOR_CHANGE	Streket under med grønt

# Exercises	
EXER_AND	@{NEWLINE}og@{NEWLINE}
EXER_FAIL0	Dessverre feil
EXER_FAIL1	Dessverre feil. 1 Poeng trekk. Du har nå: @1_rest-points_.
EXER_FAIL2	Dessverre feil. @1_points-penalty_ poeng trekk. Du har nå: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE} Trenger du hjelp?
EXER_FAILCHANGE_HELP	Det endrede feltet ble @{EXER_COLOR_ERROR}.@{NEWLINE} Alle felt som kan endres er @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	Det er ingen felt som kan endres.@{NEWLINE} Det endrede feltet ble @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	Det markerte feltet ble @{EXER_COLOR_ERROR}.@{NEWLINE} Alle tilgjengelige knapper ble @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	Flere klikk er ikke tillatt.@{NEWLINE}Det markerte feltet ble @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	Feltet, det ble dobbeltklikket på, ble @{EXER_COLOR_ERROR}.@{NEWLINE} Alle felt hvor dobbeltklikk er lov ble @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP	Et doppeltklikk er ikke lov.@{NEWLINE} Det markerte feltet ble @{EXER_COLOR_ERROR}.
EXER_FAILRCLICK_HELP	Høyreklikk i det markerte feltet ble @{EXER_COLOR_ERROR}.@{NEWLINE} Alle knapper, hvor høyreklikk er tilgjengelig, ble markert @{EXER_COLOR_RCLICK}.
EXER_FAILRCLICK0_HELP	
EXER_FAILKEY_HELP0	Du har brukt feil tast
EXER_FAILKEY_HELP1	"Du har brukt ""@1_key_""."
EXER_FAILKEY_HELP2	@{NEWLINE} De tilgjengelige funksjonstastene er:@{NEWLINE}@1_keys_
EXER_HINT_ADDITIONALLY_VALID	@{NEWLINE}@{NEWLINE} Også tilgjengelig er:
EXER_HINT_CHANGABLE_MARKED	@{NEWLINE}@{BULLET} Feltendring (@{EXER_COLOR_CHANGE})
