# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} Kurs
TOK_TOUR	@{TOK_COMPANY} Jednostka materiału dydaktycznego
TOK_TRAINER	@{TOK_COMPANY} Trener

# Key names	
ALTKEY	Alt
CTRLKEY	Ctrl
LEFTALTKEY	Alt (lewy)
LEFTCTRLKEY	Ctrl (lewy)
LEFTSHIFTKEY	Shift (lewy)
ON	Wł.
OFF	Wył.
RIGHTALTKEY	Alt (prawy)
RIGHTCTRLKEY	Ctrl (prawy)
RIGHTSHIFTKEY	Shift (prawy)
SHIFTKEY	Shift

# trainer states	
TOK_BUFFERING	Ładowanie audio ...
TOK_CONNECTING	Łączenie ...
TOK_IDLE	
TOK_LMS	Zapisywanie wyniku ...
TOK_OPENING	Łączenie ...
TOK_OPEN	
TOK_PAUSED	Pauza
TOK_PLAYING	Odtwarzanie
TOK_READY	Gotowy
TOK_USERINPUT	Wprowadzanie
TOK_WAITING	Ładowanie strony ...

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;"">Nie można wyświetlić ramek.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;"">Nie można wyświetlić dokumentów zawierających ramki typu IFRAME.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	Blokada pop-up uniemożliwia odtworzenie jednostki materiału dydaktycznego.
TOK_POPUPBLOCKER_CONFIRM	Blokada pop-up zablokowała otwarcie nowego okna przeglądarki.@{NEWLINE}@{NEWLINE}OK: Po wyłączeniu blokady pop-up przeglądarki@{NEWLINE}    można kontynuować.@{NEWLINE}Anuluj: Jednostka materiału dydaktycznego zostanie zakończona.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"Ustawienie bezpieczeństwa programu Internet Explorer\n\uniemożliwia wyświetlenie @{TOK_TOUR}.\nWłącz opcję\n""Skrypt inicjuje okna bez ograniczania wielkości i pozycji""!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"Nie można odczytać @1 ""@2""."
TOK_COULD_NOT_READ2_EXC	"Nie można odczytać @1 ""@2"": @3"

# Form texts	
TOK_CLOSE	Zamknij
TOK_DIR	Spis
TOK_ERROR	Błąd
TOK_EXIT	Zakończ
TOK_OPEN	Otwórz
TOK_SEARCH	Szukaj
TOK_START	Start
TOK_START_TOUR	@{TOK_TOUR} Uruchom 
TOK_STOP	Stop

# Library	
TOK_LIB_BTN_LESS	Mniej...
TOK_LIB_BTN_MORE	Więcej...
TOK_LIB_EMPTY	Pusty element
TOK_LIB_FLAG_DESC	Przeszukaj opis
TOK_LIB_FLAG_KEEP_OPEN	Pozostaw otwartą strukturę kursu
TOK_LIB_FLAG_NEWWIN	W nowym oknie
TOK_LIB_FLAG_TITLE	Przeszukaj tytuł
TOK_LIB_RESET	Skasuj wyniki wyszukiwania

# Mimetypes	
MIME_TEXT_PDF	PDF – format Adobe Acrobat
MIME_APP_MSWORD	Dokument Winword
MIME_APP_EXCEL	Arkusz kalkulacyjny Excel
MIME_APP_PPT	Folia Powerpoint
MIME_APP_OOFF	Dokument OpenOffice
MIME_APP_OOFFWRITE	Tekst OpenOffice
MIME_APP_OOFFCALC	Arkusz kalkulacyjny OpenOffice
MIME_APP_OOFFIMPRESS	Prezentacja OpenOffice
MIME_APP_OOFFMATH	Formuła OpenOffice
MIME_AUDIO	Dźwięk
MIME_VIDEO	Wideo
MIME_TEXT_HTML	Strona internetowa
MIME_TEXT	Dokument tekstowy
MIME_APP_DGO	 @{TOK_COMPANY}Jednostka materiału dydaktycznego
MIME_APP_DGO_DEMO	 @{TOK_COMPANY}Demonstracja
MIME_APP_DGO_PRACTISE	 @{TOK_COMPANY}Ćwiczenie 
MIME_APP_DGO_TEST	 @{TOK_COMPANY}Test 
MIME_APP_DGO_CONCURRENT	 @{TOK_COMPANY} Część praktyczna jednostki materiału dydaktycznego
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	"Kontynuuj (F8); ""Alt"": Ponowny start"
TIP_PAUSE	"Zatrzymaj (PAUSE); ""Shift"": Wyższa jakość dźwięku; ""Alt"": Oszczędność pasma audio"
TIP_STOP	"Zakończ (F12); ""Shift"": Pokaż wersję"
TIP_NEXT	Następny rozdział (ALT-w dół)
TIP_BACK	"Poprzedni rozdział (ALT-w górę); ""Alt"": Pokaż kurs"
TIP_MAXBUBBLE	Przywróć dymek tekstowy
TIP_MINBUBBLE	Zminimalizuj dymek tekstowy
TIP_CLOSEBUBBLE	Usuń dymek tekstowy
TIP_ENABLED	
TIP_DISABLED	(w danej chwili niemożliwe)
TIP_TASK	Postawienie zadań

# Bracepages	
TOK_BP_CLOSEWINDOW	Zamknij okno
TOK_BP_GOBACK	Powrót
TOK_BP_GOON	Dalej
TOK_BP_JSCONSOLE	Komunikaty Javascript
TOK_BP_MODE	Tryb
TOK_BP_PARAMETER	Parametr
TOK_BP_RESTARTPROGRAM	Powtórz program
TOK_BP_STARTANOTHER	Uruchom inny program
TOK_BP_VALUE	Wartość

# Exercise colors	
EXER_COLOR_ERROR	Czerwone zaznaczenie
EXER_COLOR_CLICK	Zielone zaznaczenie
EXER_COLOR_DBLCLICK	Żółte zaznaczenie
EXER_COLOR_RCLICK	Turkusowe zaznaczenie
EXER_COLOR_CHANGE	Zielone podkreślenie
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND	@{NEWLINE}i@{NEWLINE}
EXER_FAIL0	Niestety błędnie.
EXER_FAIL1	Niestety błędnie. Odjęcie 1 punktu. Pozostają: @1_rest-points_.
EXER_FAIL2	Niestety błędnie. @1_points-penalty_ Odjęcie punktów. Pozostają: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}Czy potrzebujesz pomocy?
EXER_FAILCHANGE_HELP	Zmienione pole zostało @{EXER_COLOR_ERROR}.@{NEWLINE}Wszystkie pola wprowadzania, które mogą być zmienione, zostały @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	Brak dopuszczalnych pól wprowadzania.@{NEWLINE}Zmienione pole zostało @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	Wybrany obszar został  @{EXER_COLOR_ERROR}.@{NEWLINE}Wszystkie dopuszczalne przyciski zostały @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	Kliknięcie jest niedopuszczalne.@{NEWLINE}Wybrany obszar został @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	Obszar wybrany poprzez podwójne kliknięcie został @{EXER_COLOR_ERROR}.@{NEWLINE}Wszystkie przyciski umożliwiające wybór poprzez podwójne kliknięcie zostały @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP	Podwójne kliknięcie jest niedopuszczalne.@{NEWLINE}Wybrany obszar został @{EXER_COLOR_ERROR}.
