# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} Tečaj
TOK_TOUR	@{TOK_COMPANY} Učna enota
TOK_TRAINER	@{TOK_COMPANY} Trener

# Key names	
ALTKEY	alt
CTRLKEY	strg
LEFTALTKEY	alt (levo)
LEFTCTRLKEY	ctrl (levo)
LEFTSHIFTKEY	shift (levo)
ON	vklop
OFF	izklop
RIGHTALTKEY	alt (desno)
RIGHTCTRLKEY	ctrl (desno)
RIGHTSHIFTKEY	shift (desno)
SHIFTKEY	shift

# trainer states	
TOK_BUFFERING	Avdio se nalaga ... 
TOK_CONNECTING	Povezujem ... 
TOK_IDLE	
TOK_LMS	Pišem rezultat ...
TOK_OPENING	Povezujem ... 
TOK_OPEN	
TOK_PAUSED	Pavza
TOK_PLAYING	Se predvaja
TOK_READY	Pripravljen
TOK_USERINPUT	Vnos
TOK_WAITING	Stran se nalaga…

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;"">Okvirjev tu ni mogoče prikazati.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;"">Dokumentov z IOKVIRJEM tu ni mogoče prikazati.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	Preprečevalnik pojavnih oken preprečuje predvajanje učne enote.
TOK_POPUPBLOCKER_CONFIRM	Preprečevalnik pojavnih oken je preprečil odpiranje novega okna brskalnika.@{NEWLINE}@{NEWLINE}OK: sedaj lahko nadaljujete, ker ste izklopilir@{NEWLINE}    preprečevalnik pojavnih oken za spletni strežnik.@{NEWLINE}Prekinitev: učna enota bo končana.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"Neka varnostna nastavitev Internet Explorerja\n\rpreprečuje predstavitev @{TOK_TOUR}.\nPustite prosim\n""Script zagnano okno brez omejitev velikosti in položaja""\nzu!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" ni bilo mogoče prebrati."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" ni bilo mogoče prebrati: @3"

# Form texts	
TOK_CLOSE	Zapreti
TOK_DIR	Seznam
TOK_ERROR	Napaka
TOK_EXIT	Končati
TOK_OPEN	Odpreti
TOK_SEARCH	Iskati
TOK_START	Zagon
TOK_START_TOUR	@{TOK_TOUR} zagnati
TOK_STOP	Stop

# Library	
TOK_LIB_BTN_LESS	manj…
TOK_LIB_BTN_MORE	več…
TOK_LIB_EMPTY	Prazen element
TOK_LIB_FLAG_DESC	Preiskati opis
TOK_LIB_FLAG_KEEP_OPEN	Strukturo tečaja pustite odprto
TOK_LIB_FLAG_NEWWIN	V novem oknu
TOK_LIB_FLAG_TITLE	Preiščite naslov
TOK_LIB_RESET	Zbrišite rezultate iskanja

# Mimetypes	
MIME_TEXT_PDF	PDF - format Adobe Acrobat
MIME_APP_MSWORD	Dokument Winword
MIME_APP_EXCEL	Delovni list Excel
MIME_APP_PPT	Folije Powerpoint
MIME_APP_OOFF	Dokument OpenOffice
MIME_APP_OOFFWRITE	Besedilo OpenOffice
MIME_APP_OOFFCALC	Izračun OpenOffice
MIME_APP_OOFFIMPRESS	Predstavitev OpenOffice
MIME_APP_OOFFMATH	Formule OpenOffice
MIME_AUDIO	Zvok
MIME_VIDEO	Video
MIME_TEXT_HTML	Spletna stran
MIME_TEXT	Besedilni dokument
MIME_APP_DGO	@{TOK_COMPANY} Učna enota
MIME_APP_DGO_DEMO	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} Vaja
MIME_APP_DGO_TEST	@{TOK_COMPANY} Test
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} Učna enota Način prakse
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	"Nadaljevanje (F8); z ""Alt"": nov zagon"
TIP_PAUSE	"Ustaviti (PAVZA); s ""Ctrl"": povečati kakovost avdia; S ""Alt"": varčevati s širino pasu avdia"
TIP_STOP	"Končati (F12); s ""Shift"": prikaz različice"
TIP_NEXT	Naslednje poglavje (ALT-navzdol)
TIP_BACK	"Prejšnje poglavje (ALT-gor) s ""Alt"": prikazati tečaj"
TIP_MAXBUBBLE	Obnovite okvirček za besedilo
TIP_MINBUBBLE	Minimirajte okvirček za besedilo
TIP_CLOSEBUBBLE	Odstranite okvirček za besedilo
TIP_ENABLED	
TIP_DISABLED	(sedaj ni možno)
TIP_TASK	Postavitev naloge

# Bracepages	
TOK_BP_CLOSEWINDOW	Zapreti okno
TOK_BP_GOBACK	Nazaj
TOK_BP_GOON	Dalje
TOK_BP_JSCONSOLE	Sporočila Javascripta
TOK_BP_MODE	Način
TOK_BP_PARAMETER	Parameter
TOK_BP_RESTARTPROGRAM	Ponoviti program
TOK_BP_STARTANOTHER	Zagnati drug program
TOK_BP_VALUE	Vrednost

# Exercise colors	
EXER_COLOR_ERROR	označeno rdeče
EXER_COLOR_CLICK	označeno zeleno
EXER_COLOR_DBLCLICK	označeno rumeno
EXER_COLOR_RCLICK	označeno turkizno
EXER_COLOR_CHANGE	podčrtano zeleno
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND	@{NEWLINE}in@{NEWLINE}
EXER_FAIL0	Žal napačno
EXER_FAIL1	Žal napačno. 1 točka odbitka. Ostane jih še: @1_rest-points_.
EXER_FAIL2	Žal napačno. @1_points-penalty_ točk odbitka. Ostane jih še: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}Potrebujete pomoč?
EXER_FAILCHANGE_HELP	Spremenjeno polje je bilo @{EXER_COLOR_ERROR}.@{NEWLINE}Vsa vnosna polja, ki jih je dovoljeno spreminjati, so bila @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	Ne obstajajo nobena dovoljena vnosna polja.@{NEWLINE}Spremenjeno volje je bilo @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	Območje, ki ste ga kliknili, je bilo @{EXER_COLOR_ERROR}.@{NEWLINE}Vsi dovoljeni gumbi so bili @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	Nikjer ni dovoljen klik.@{NEWLINE}Območje, ki ste ga kliknili, je bilo @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	Območje, ki ste ga dvakrat kliknili, je bilo @{EXER_COLOR_ERROR}.@{NEWLINE}Vsi gumbi, na katere lahko kliknete dvakrat so bili @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP	Dvojni klik ni nikjer dovoljen.@{NEWLINE}Območje, ki ste ga kliknili, je bilo @{EXER_COLOR_ERROR}.
