# English text atoms
# Base tokens
BULLET;	•
NEWLINE;	\r\n
TOK_COMPANY;	datango
TOK_LIB;	หลักสูตรของ @{TOK_COMPANY}
TOK_TOUR;	บทเรียนของ @{TOK_COMPANY}
TOK_TRAINER;@{TOK_COMPANY} trainer"

# Key names
ALTKEY;	Alt
CTRLKEY;	Ctrl
LEFTALTKEY;	Alt (ซ้าย)
LEFTCTRLKEY;	Ctrl (ซ้าย)
LEFTSHIFTKEY;	Shift (ซ้าย)
ON;	เปิด
OFF;	ปิด
RIGHTALTKEY;	Alt (ขวา)
RIGHTCTRLKEY;	Ctrl (ขวา)
RIGHTSHIFTKEY;	Shift (ขวา)
SHIFTKEY;	Shift

# Trainer states	
TOK_BUFFERING;	กำลังโหลดเสียง...
TOK_CONNECTING;	เชื่อมต่อ...
TOK_IDLE;	
TOK_LMS;	เขียนผลคะแนน...
TOK_OPENING;	เชื่อมต่อ...
TOK_OPEN;	
TOK_PAUSED;	หยุดชั่วคราว
TOK_PLAYING;	กำลังเล่น
TOK_READY;	พร้อม
TOK_USERINPUT;	ป้อนข้อมูล
TOK_WAITING;Page loading..."	

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC;	"<span style=""color: red; font-weight: bolder;"">ไม่สามารถแสดงชุดเฟรมที่นี่</span>"
TOK_IEPOPUP_IFRAME_EXC;	"<span style=""color: red; font-weight: bolder;"">ไม่สามารถแสดงเอกสารที่มี IFRAME ที่นี่</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC;	ตัวบล็อกป็อปอัพทำให้ไม่สามารถเปิดเล่นบทเรียนได้
TOK_POPUPBLOCKER_CONFIRM;	ตัวบล็อกป็อปอัพป้องกันไม่ให้หน้าต่างเบราว์เซอร์ใหม่เปิดขึ้นมา @{NEWLINE}@{NEWLINE}ตกลง: คุณสามารถดำเนินการต่อได้หลังจากปิดตัวบล็อกป็อปอัพ @{NEWLINE}    สำหรับเว็บเซิร์ฟเวอร์ @{NEWLINE}ยกเลิก: กำลังจะศึกษาบทเรียนนี้เสร็จ

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC;	"การตั้งค่าการรักษาความปลอดภัยของ Internet Explorer\n\rป้องกันไม่ให้มีการแสดงผลของ @{TOK_TOUR}\nโปรดเปิดใช้งาน \n""อนุญาตให้มีหน้าต่างที่สร้างจากสคริปต์โดยไม่มีข้อจำกัดด้านขนาดและตำแหน่ง""! "

# Standard errors	
TOK_COULD_NOT_READ_EXC;	"ไม่สามารถอ่าน @1 ""@2"""
TOK_COULD_NOT_READ2_EXC;	"ไม่สามารถอ่าน @1 ""@2"": @3"

# Form texts	
TOK_CLOSE;	ปิด
TOK_DIR;	ไดเรกทอรี
TOK_ERROR;	ข้อผิดพลาด
TOK_EXIT;	ออก
TOK_OPEN;	เปิด
TOK_SEARCH;	ค้นหา
TOK_START;	เริ่ม
TOK_START_TOUR;	เริ่ม @{TOK_TOUR}
TOK_STOP;	หยุด

# Library	
TOK_LIB_BTN_LESS;	น้อยกว่า...
TOK_LIB_BTN_MORE;	มากกว่า...
TOK_LIB_EMPTY;	คอมโพเนนต์ว่างเปล่า
TOK_LIB_FLAG_DESC;	ค้นหาคำอธิบาย
TOK_LIB_FLAG_KEEP_OPEN;	เปิดโครงสร้างหลักสูตรค้างไว้
TOK_LIB_FLAG_NEWWIN;	ในหน้าต่างใหม่
TOK_LIB_FLAG_TITLE;	ค้นหาชื่อเรื่อง
TOK_LIB_RESET;	ลบผลลัพธ์จากการค้นหา
TOK_LIB_VAL_NOFILTER; no filter"	

# Mimetypes	
MIME_TEXT_PDF;	รูปแบบ PDF - Adobe Acrobat
MIME_APP_MSWORD;	เอกสาร Word
MIME_APP_EXCEL;	กระดาษคำนวณ Excel
MIME_APP_PPT;	ภาพนิ่ง Powerpoint
MIME_APP_OOFF;	เอกสาร OpenOffice
MIME_APP_OOFFWRITE;	ข้อความ OpenOffice
MIME_APP_OOFFCALC;	กระดาษคำนวณ OpenOffice
MIME_APP_OOFFIMPRESS;	การนำเสนอ OpenOffice
MIME_APP_OOFFMATH;	สูตรคณิตศาสตร์ OpenOffice
MIME_AUDIO;	เสียง
MIME_VIDEO;	ภาพ
MIME_TEXT_HTML;	เว็บเพจ
MIME_TEXT;	เอกสารข้อความ
MIME_APP_DGO;	บทเรียนของ @{TOK_COMPANY}
MIME_APP_DGO_DEMO;	ตัวอย่างของ @{TOK_COMPANY}
MIME_APP_DGO_PRACTISE;	การฝึกปฏิบัติของ @{TOK_COMPANY}
MIME_APP_DGO_TEST;	แบบทดสอบของ @{TOK_COMPANY}
MIME_APP_DGO_CONCURRENT;	โหมดทวนบทเรียนของ @{TOK_COMPANY}
MIME_UNKNOWN;	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY;""Continue (F8);	"เริ่มอีกครั้งด้วย """"Alt"""": """
TIP_PAUSE;""Stop (PAUSE);	"เพิ่มคุณภาพเสียงด้วย """"Shift"""": บันทึกช่วงแบนด์วิดท์เสียงด้วย """"Alt"""":"""
TIP_STOP;""Exit (F12);	" แสดงเวอร์ชันด้วย """"Shift"""": """
TIP_NEXT;	บทต่อไป (ALT-down)
TIP_BACK;	"บทก่อนหน้า (ALT-up); แสดงหลักสูตรด้วย ""Alt"":"
TIP_MAXBUBBLE;	คืนค่ากรอบคำพูด
TIP_MINBUBBLE;	ย่อกรอบคำพูดให้เล็กสุด
TIP_CLOSEBUBBLE;	เอากรอบคำพูดออก
TIP_ENABLED;	
TIP_DISABLED;	(ไม่สามารถทำได้ในขณะนี้)
TIP_TASK;	งาน
TOK_CLOSE_TASK;	ปิด @{TIP_TASK}
TIP_HELPBUBBLE;	ใช่ แสดงวิธีใช้
TIP_GOONBUBBLE;	ไปที่ขั้นตอนถัดไป

# Bracepages	
TOK_BP_CLOSEWINDOW;	ปิดหน้าต่าง
TOK_BP_GOBACK;	ย้อนกลับ
TOK_BP_GOON;	ถัดไป
TOK_BP_JSCONSOLE;	ข้อความจาวาสคริปต์
TOK_BP_MODE;	โหมด
TOK_BP_PARAMETER;	พารามิเตอร์
TOK_BP_RESTARTPROGRAM;	เล่นซ้ำโปรแกรม
TOK_BP_STARTANOTHER;	เริ่มโปรแกรมใหม่
TOK_BP_VALUE;	ค่า

# Exercise colors	
EXER_COLOR_ERROR;	ทำเป็นสีแดง
EXER_COLOR_CLICK;	ทำเป็นสีเขียว
EXER_COLOR_DBLCLICK;	ทำเป็นสีเหลือง
EXER_COLOR_RCLICK;	ทำเป็นสีเทอร์คอยส์
EXER_COLOR_CHANGE;	ขีดเส้นใต้เป็นสีเขียว
EXER_COLOR_DRAG;	ทำเป็นสีฟ้า
EXER_COLOR_DROP;	ทำเป็นสีน้ำตาล

# Exercises	
EXER_AND;	@{NEWLINE}และ@{NEWLINE}
EXER_FAIL0;	การกระทำที่ดำเนินการไม่ถูกต้อง

