# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} Kurs
TOK_TOUR	@{TOK_COMPANY} Öğrenme ünitesi
TOK_TRAINER	@{TOK_COMPANY} Eğitmen

# Key names	
ALTKEY	Alt
CTRLKEY	Ctrl
LEFTALTKEY	Alt (sol)
LEFTCTRLKEY	Ctrl (sol)
LEFTSHIFTKEY	Shift (sol)
ON	Açık
OFF	Kapalı
RIGHTALTKEY	Alt (sağ)
RIGHTCTRLKEY	Ctrl (sağ)
RIGHTSHIFTKEY	Shift (sağ)
SHIFTKEY	Shift

# trainer states	
TOK_BUFFERING	Audio yüklüyor ... 
TOK_CONNECTING	Bağlantı ... 
TOK_IDLE	
TOK_LMS	Sonuç yaz ...
TOK_OPENING	Bağlantı ... 
TOK_OPEN	
TOK_PAUSED	Bekle
TOK_PLAYING	Çalışıyor
TOK_READY	Hazır
TOK_USERINPUT	Giriş
TOK_WAITING	Sayfa yükleniyor ... 

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;"">Frameset'leri burada gösterilemez.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;"">IFRAME'lere sahip dokümanlar burada gösterilemez.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	Bir Popup engelleyicisi öğrenme ünitesinin yürütülmesini engelliyor.
TOK_POPUPBLOCKER_CONFIRM	Bir Popup engelleyicisi bir gezgin penceresinin açılmasını engelledi.@{NEWLINE}@{NEWLINE}OK: Devam edebilirsiniz, çünkü web sunucusunun popup@{NEWLINE}    engelleyicisini kapattınız.@{NEWLINE}İptal: Öğrenme ünitesi kapatılacak.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"Internet Explorer'ın bir güvenlik ayarı\n\r@{TOK_TOUR} gösterilmesini engelliyor.\nLütfen\n""Script ile ayarlı pencereleri büyüklük ve pozisyon sınırlaması olmadan kapalı""\nbırakınız!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" okunamadı."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" okunamadı: @3"

# Form texts	
TOK_CLOSE	Kapat
TOK_DIR	Dizin
TOK_ERROR	Hata
TOK_EXIT	Kapat
TOK_OPEN	Aç
TOK_SEARCH	Ara
TOK_START	Başlat
TOK_START_TOUR	@{TOK_TOUR} başlat
TOK_STOP	Dur

# Library	
TOK_LIB_BTN_LESS	daha az...
TOK_LIB_BTN_MORE	daha fazla...
TOK_LIB_EMPTY	Boş eleman
TOK_LIB_FLAG_DESC	Açıklama ara
TOK_LIB_FLAG_KEEP_OPEN	Kurs yapısını açık bırakınız
TOK_LIB_FLAG_NEWWIN	Yeni bir pencerede
TOK_LIB_FLAG_TITLE	Başlık ara
TOK_LIB_RESET	Arama sonuçlarını sil

# Mimetypes	
MIME_TEXT_PDF	PDF - Adobe Acrobat Format
MIME_APP_MSWORD	Winword belgesi
MIME_APP_EXCEL	Excel çalışma sayfası
MIME_APP_PPT	Powerpoint sunusu
MIME_APP_OOFF	OpenOffice belgesi
MIME_APP_OOFFWRITE	OpenOffice metni
MIME_APP_OOFFCALC	OpenOffice hesaplayıcısı
MIME_APP_OOFFIMPRESS	OpenOffice sunusu
MIME_APP_OOFFMATH	OpenOffice formülleri
MIME_AUDIO	Ses
MIME_VIDEO	Görüntü
MIME_TEXT_HTML	Web sitesi
MIME_TEXT	Metin belgesi
MIME_APP_DGO	@{TOK_COMPANY} Öğrenme ünitesi
MIME_APP_DGO_DEMO	@{TOK_COMPANY} Demo
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} Alıştırma
MIME_APP_DGO_TEST	@{TOK_COMPANY} Test
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} Öğrenme ünitesi uygulama modu
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	"Devam ettir (F8); ""Alt"" ile: Yeniden başlat"
TIP_PAUSE	"Durdur (PAUSE); ""Shift"" ile: Ses kalitesini arttır; ""Alt"" ile: Audio bant genişliğini daralt"
TIP_STOP	"Kapat (F12); ""Shift"" ile: Sürüm göster"
TIP_NEXT	Sonraki bölüm (ALT-Aşağı)
TIP_BACK	"Önceki bölüm (ALT-Yukarı); ""Alt"" ile: Kurs göster"
TIP_MAXBUBBLE	Metin baloncuğu oluştur
TIP_MINBUBBLE	Metin baloncuğu küçült
TIP_CLOSEBUBBLE	Metin baloncuğu kaldır
TIP_ENABLED	
TIP_DISABLED	(şimdi mümkün değil)
TIP_TASK	Görev tayini

# Bracepages	
TOK_BP_CLOSEWINDOW	Pencere kapat
TOK_BP_GOBACK	Geri
TOK_BP_GOON	İleri
TOK_BP_JSCONSOLE	Javascript mesajları
TOK_BP_MODE	Mod
TOK_BP_PARAMETER	Parametre
TOK_BP_RESTARTPROGRAM	Program tekrarla
TOK_BP_STARTANOTHER	Başka program başlat
TOK_BP_VALUE	Değer

# Exercise colors	
EXER_COLOR_ERROR	kırmızı işaretli
EXER_COLOR_CLICK	yeşil işaretli
EXER_COLOR_DBLCLICK	sarı işaretli
EXER_COLOR_RCLICK	turkuaz işaretli
EXER_COLOR_CHANGE	yeşil altıçizili
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND	@{NEWLINE}ve@{NEWLINE}
EXER_FAIL0	Maalesef yanlış.
EXER_FAIL1	Maalesef yanlış. 1 puan silindi. Kalan: @1_rest-points_.
EXER_FAIL2	Maalesef yanlış. @1_points-penalty_ Puan silindi. Kalan: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}Yardım ister misiniz?
EXER_FAILCHANGE_HELP	Değiştirilen alan @{EXER_COLOR_ERROR} oldu.@{NEWLINE}Değiştirilmesi mümkün tüm alanlar @{EXER_COLOR_CHANGE} oldu.
EXER_FAILCHANGE0_HELP	İzin verilen bir giriş alanı yok.@{NEWLINE}Değiştirilen alan @{EXER_COLOR_ERROR} oldu.
EXER_FAILCLICK_HELP	Tıklanan saha @{EXER_COLOR_ERROR} oldu.@{NEWLINE}İzin verilen tüm düğmeler @{EXER_COLOR_CLICK} oldu.
EXER_FAILCLICK0_HELP	Tıklama hiçbir yerde mümkün değil.@{NEWLINE}Tıklanan saha @{EXER_COLOR_ERROR} oldu.
EXER_FAILDBLCLICK_HELP	Çift tıklama suretiyle tıklanan saha @{EXER_COLOR_ERROR} oldu.@{NEWLINE}Çift tıklama için izin verilen tüm düğmeler @{EXER_COLOR_DBLCLICK} oldu.
EXER_FAILDBLCLICK0_HELP	Çift tıklama hiçbir yerde mümkün değil.@{NEWLINE}Tıklanan saha @{EXER_COLOR_ERROR} oldu.
