# Base tokens	
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} Курс
TOK_TOUR	@{TOK_COMPANY} Учбова одиниця
TOK_TRAINER	@{TOK_COMPANY} Тренер

# Key names	
ALTKEY	alt
CTRLKEY	ctrl
LEFTALTKEY	alt (ліворуч)
LEFTCTRLKEY	ctrl (ліворуч)
LEFTSHIFTKEY	shift (ліворуч)
ON	включити
OFF	виключити
RIGHTALTKEY	alt (праворуч)
RIGHTCTRLKEY	ctrl (праворуч)
RIGHTSHIFTKEY	shift (праворуч)
SHIFTKEY	shift

# trainer states	
TOK_BUFFERING	Аудіо завантажується...
TOK_CONNECTING	З'єднується....
TOK_IDLE	
TOK_LMS	Написати  результат ...
TOK_OPENING	З'єднується....
TOK_OPEN	
TOK_PAUSED	Пауза
TOK_PLAYING	Працює
TOK_READY	Готово
TOK_USERINPUT	Введення (даних)
TOK_WAITING	Сторінка завантажується...

# Display errors	
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;"">Набори фреймів не можуть бути показані.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;"">Документи, що містять у собі фрейми IFRAME, не можуть бути показані.</span>"

# Popupblocker errors	
TOK_POPUPBLOCKER_EXC	Блокувач спливаючих вікон запобігає запуску учбової одиниці.
TOK_POPUPBLOCKER_CONFIRM	Блокувач спливаючих вікон запобіг відкриванню нового вікна браузера.@{NEWLINE}@{NEWLINE}OK: Ви можете продовжити,тому що Ви відключили блокувач@{NEWLINE}    спливаючих вікон для вебсервера.@{NEWLINE}Відмінити: Учбова одиниця завершиться.

# Security setting errors	
TOK_SECURITY_WINDOW_POSITION_EXC	"Установки безпеки Інтернет Експлорера\n\rзапобігають відображенню @{TOK_TOUR}.\nДозвольте\n""відкривання скриптами вікон без обмежень розміру та позиції"",\nбудь ласка!"

# Standard errors	
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" не могло бути прочитане."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" не могло бути прочитане: @3"

# Form texts	
TOK_CLOSE	Закрити
TOK_DIR	Каталог
TOK_ERROR	Помилка
TOK_EXIT	Закінчити
TOK_OPEN	Відкрити
TOK_SEARCH	Шукати
TOK_START	Старт
TOK_START_TOUR	@{TOK_TOUR} запустити
TOK_STOP	Стоп

# Library	
TOK_LIB_BTN_LESS	менше...
TOK_LIB_BTN_MORE	більше...
TOK_LIB_EMPTY	Порожній елемент
TOK_LIB_FLAG_DESC	Продивитися опис
TOK_LIB_FLAG_KEEP_OPEN	Залишити відкритою структуру курсу
TOK_LIB_FLAG_NEWWIN	У новому вікні
TOK_LIB_FLAG_TITLE	Продивитися заголовок
TOK_LIB_RESET	Стерти результати пошуку

# Mimetypes	
MIME_TEXT_PDF	Формат Adobe Acrobat PDF
MIME_APP_MSWORD	Документ Winword 
MIME_APP_EXCEL	Робочий лист Excel
MIME_APP_PPT	Презентації Powerpoint
MIME_APP_OOFF	Документ OpenOffice 
MIME_APP_OOFFWRITE	Текст OpenOffice 
MIME_APP_OOFFCALC	Калькуляція OpenOffice
MIME_APP_OOFFIMPRESS	Презентації OpenOffice
MIME_APP_OOFFMATH	Формули у OpenOffice
MIME_AUDIO	Звук
MIME_VIDEO	Відео
MIME_TEXT_HTML	Веб-сторінка
MIME_TEXT	Текстовий документ
MIME_APP_DGO	@{TOK_COMPANY} Учбова одиниця
MIME_APP_DGO_DEMO	@{TOK_COMPANY} Демонстрація
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} Вправа
MIME_APP_DGO_TEST	@{TOK_COMPANY} Тест
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} Учбова одиниця
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}

# Tooltips	
TIP_PLAY	"Продовжити (F8); З ""Alt"": Стартувати заново"
TIP_PAUSE	"Зупинити (PAUSE); З ""Shift"": підвищити якість аудіо; З ""Alt"": зекономити пропускну спроможність аудіо"
TIP_STOP	"Закінчити (F12); З ""Shift"": Версію показати"
TIP_NEXT	Наступна глава (ALT-Стрілка вниз)
TIP_BACK	"Попередня глава (ALT-Стрілка угору); З ""Alt"": Курс показати"
TIP_MAXBUBBLE	Відновити текстову хмарку
TIP_MINBUBBLE	Зменшити текстову хмарку
TIP_CLOSEBUBBLE	Видалити текстову хмарку
TIP_ENABLED	
TIP_DISABLED	(зараз не можливо)
TIP_TASK	Постановка завдань

# Bracepages	
TOK_BP_CLOSEWINDOW	Закрити вікно
TOK_BP_GOBACK	Назад
TOK_BP_GOON	Далі
TOK_BP_JSCONSOLE	Інформація Javascript
TOK_BP_MODE	Режим
TOK_BP_PARAMETER	Параметр
TOK_BP_RESTARTPROGRAM	Повторити програму
TOK_BP_STARTANOTHER	Запустити іншу програму
TOK_BP_VALUE	Значення

# Exercise colors	
EXER_COLOR_ERROR	виділено червоним
EXER_COLOR_CLICK	виділено зеленим
EXER_COLOR_DBLCLICK	виділено жовтим
EXER_COLOR_RCLICK	виділено бірюзовим
EXER_COLOR_CHANGE	підкреслено зеленим
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown

# Exercises	
EXER_AND	@{NEWLINE}та@{NEWLINE}
EXER_FAIL0	На жаль, невірно.
EXER_FAIL1	На жаль, невірно. 1 пункт віднімається. Залишається: @1_rest-points_.
EXER_FAIL2	На жаль, невірно. @1_points-penalty_ пунктів забрано. Залишається: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}Вам потрібна допомога?
EXER_FAILCHANGE_HELP	Змінене поле було @{EXER_COLOR_ERROR}.@{NEWLINE}Усі поля вводу, які можна змінити, були @{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	Не має дозволених полів вводу.@{NEWLINE}Змінене поле було @{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	Область, на яку Ви натисли, була @{EXER_COLOR_ERROR}.@{NEWLINE}Усі дозволені кнопки були @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	Клік ніде не дозволено.@{NEWLINE}Область, на яку Ви натисли, була @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	Область, на яку Ви двічі клікнули, була @{EXER_COLOR_ERROR}.@{NEWLINE}Усі кнопки, дозволені для подвійного кліку, були @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP	Подвійний клік ніде не дозволено.@{NEWLINE}Область, на яку Ви натисли, була @{EXER_COLOR_ERROR}.
EXER_FAILRCLICK_HELP	Область, на яку Ви клікнули правою кнопкою, була @{EXER_COLOR_ERROR}.@{NEWLINE}Усі кнопки, дозволені для натискання правою кнопкою миші, були @{EXER_COLOR_RCLICK}.
EXER_FAILRCLICK0_HELP	Натискання правою кнопкою миші ніде не дозволено.@{NEWLINE}Область, на яку Ви натисли, була @{EXER_COLOR_ERROR}.
