# Base tokens
BULLET;	• 
NEWLINE;	\r\n
TOK_COMPANY	datango
TOK_LIB	@{TOK_COMPANY} 学程
TOK_TOUR	@{TOK_COMPANY} 学程单元
TOK_TRAINER	@{TOK_COMPANY} 培训人
	
# Key names
ALTKEY	alt键
CTRLKEY	strg键
LEFTALTKEY	(左)alt键
LEFTCTRLKEY	(左)strg键
LEFTSHIFTKEY	(左)umsch键
ON	开
OFF	关
RIGHTALTKEY	(右)alt键
RIGHTCTRLKEY	 (右)strg键
RIGHTSHIFTKEY	(右) umsch  转换键
SHIFTKEY	umsch转换键
	
# trainer states
TOK_BUFFERING	音频下载中...
TOK_CONNECTING	连接中... 
TOK_IDLE	
TOK_LMS	写出结果...
TOK_OPENING	连接中... 
TOK_OPEN	
TOK_PAUSED	停顿
TOK_PLAYING	运行
TOK_READY	准备就绪
TOK_USERINPUT	输入
TOK_WAITING	网页下载中... 
	
# Display errors
TOK_IEPOPUP_FRAMESET_EXC	"<span style=""color: red; font-weight: bolder;""> 框架设置(framesets)在此不能显示.</span>"
TOK_IEPOPUP_IFRAME_EXC	"<span style=""color: red; font-weight: bolder;""> 不能显示带有内嵌框架(IFRAMEs )的文件.</span>"
	
# Popupblocker errors
TOK_POPUPBLOCKER_EXC	广告拦截功能阻止学程单元的展示.
TOK_POPUPBLOCKER_CONFIRM	广告拦截功能阻止了新浏览器窗口的开启.@{NEWLINE}@{NEWLINE}OK: 您可以继续,因为您已对该网络服务器关闭了广告拦截功能.@{NEWLINE}@{NEWLINE}停止: 学程单元被终止.
	
# Security setting errors
TOK_SECURITY_WINDOW_POSITION_EXC	"互联网探索器(Internet Explorer)中的安全设置\n阻止@{TOK_TOUR}.\n的展示.请选择\n""允许由脚本初始化的窗口，没有大小和位置限制""!"
	
# Standard errors
TOK_COULD_NOT_READ_EXC	"@1 ""@2"" 不能解读."
TOK_COULD_NOT_READ2_EXC	"@1 ""@2"" 不能解读: @3"
	
# Form texts	
TOK_CLOSE	关闭
TOK_DIR	目录
TOK_ERROR	错误
TOK_EXIT	结束
TOK_OPEN	开启
TOK_SEARCH	搜索
TOK_START	开始
TOK_START_TOUR	@{TOK_TOUR} 开始
TOK_STOP	停止
	
# Library	
TOK_LIB_BTN_LESS	少...
TOK_LIB_BTN_MORE	多...
TOK_LIB_EMPTY	空白标签
TOK_LIB_FLAG_DESC	搜索该描述
TOK_LIB_FLAG_KEEP_OPEN	学程结构保持开启状态
TOK_LIB_FLAG_NEWWIN	在新的窗口
TOK_LIB_FLAG_TITLE	搜索该题目
TOK_LIB_RESET	删除搜索结果
	
# Mimetypes	
MIME_TEXT_PDF	PDF - Adobe Acrobat 格式
MIME_APP_MSWORD	Winword 文件
MIME_APP_EXCEL	Excel 文件
MIME_APP_PPT	Powerpoint 演示文件
MIME_APP_OOFF	开放原始码办公室(OpenOffice) 文件
MIME_APP_OOFFWRITE	开放原始码办公室(OpenOffice) 文字
MIME_APP_OOFFCALC	开放原始码办公室(OpenOffice) 计算
MIME_APP_OOFFIMPRESS	开放原始码办公室(OpenOffice)演示
MIME_APP_OOFFMATH	开放原始码办公室(OpenOffice) 格式
MIME_AUDIO	声音
MIME_VIDEO	视频
MIME_TEXT_HTML	网页
MIME_TEXT	文字文件
MIME_APP_DGO	@{TOK_COMPANY} 学程单元
MIME_APP_DGO_DEMO	@{TOK_COMPANY} 演示
MIME_APP_DGO_PRACTISE	@{TOK_COMPANY} 练习
MIME_APP_DGO_TEST	@{TOK_COMPANY} 测验
MIME_APP_DGO_CONCURRENT	@{TOK_COMPANY} 学程单元实践模式
MIME_UNKNOWN	@{TOK_LIB_UNKNOWN}
	
# Tooltips	
TIP_PLAY	"继续 (F8); 使用 ""Alt""键: 重新开始"
TIP_PAUSE	"停顿 (PAUSE); 使用 ""Umsch""键: 提高音频; 使用 ""Alt""键: 节省音频-带宽"
TIP_STOP	"结束 (F12); 使用 ""Umsch""键: 显示版本"
TIP_NEXT	下一章(ALT-下滑键)
TIP_BACK	"前一章 (ALT-上滑键); 使用""Alt""键: 显示学程"
TIP_MAXBUBBLE	重新设置文字气泡框(Textbubble) 
TIP_MINBUBBLE	尽量减少文字气泡框(Textbubble) 
TIP_CLOSEBUBBLE	去除文字气泡框(Textbubble)
TIP_ENABLED	
TIP_DISABLED	(目前不可能)
TIP_TASK	出习题
	
# Bracepages	
TOK_BP_CLOSEWINDOW	关闭窗口
TOK_BP_GOBACK	返回
TOK_BP_GOON	继续
TOK_BP_JSCONSOLE	Javascript 报告
TOK_BP_MODE	模式
TOK_BP_PARAMETER	参数
TOK_BP_RESTARTPROGRAM	重复程序
TOK_BP_STARTANOTHER	启动其他程序
TOK_BP_VALUE	价值
	
# Exercise colors	
EXER_COLOR_ERROR	红色标示
EXER_COLOR_CLICK	绿色标示
EXER_COLOR_DBLCLICK	黄色标示
EXER_COLOR_RCLICK	松石绿色标示
EXER_COLOR_CHANGE	绿色下划线
EXER_COLOR_DRAG;	marked blue
EXER_COLOR_DROP;	marked brown
	
# Exercises	
EXER_FAIL0	错误.
EXER_FAIL1	错误.减一分.余分: @1_rest-points_.
EXER_FAIL2	错误. @1_points-penalty_ 减分. 余分: @2_rest-points_.
EXER_FAIL_ASK4HELP	@{NEWLINE}@{NEWLINE}是否需要帮助?
EXER_FAILCHANGE_HELP	更改过的区域成为@{EXER_COLOR_ERROR}.@{NEWLINE}所有允许更改的输入区域成为@{EXER_COLOR_CHANGE}.
EXER_FAILCHANGE0_HELP	没有允许输入区域.@{NEWLINE}被更改过的区域成为@{EXER_COLOR_ERROR}.
EXER_FAILCLICK_HELP	点击的部分成为@{EXER_COLOR_ERROR}.@{NEWLINE}所有允许使用的键成为 @{EXER_COLOR_CLICK}.
EXER_FAILCLICK0_HELP	不允许点击任何地方.@{NEWLINE}被点击的部分成为 @{EXER_COLOR_ERROR}.
EXER_FAILDBLCLICK_HELP	被双击的部分成为@{EXER_COLOR_ERROR}.@{NEWLINE}所有允许双击的键纽成为 @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP	不允许双击任何地方.\r\被点击的部分成为@{EXER_COLOR_ERROR}.
EXER_FAILRCLICK_HELP	鼠标右键点击过的区域将成为@{EXER_COLOR_ERROR}.@{NEWLINE}所有允许使用鼠标右键点击的键纽成为@{EXER_COLOR_RCLICK}.
EXER_FAILRCLICK0_HELP	不允许用鼠标右键点击任何地方.@{NEWLINE}被点击的部分成为@{EXER_COLOR_ERROR}.
EXER_FAILKEY_HELP0	您点击了错误键纽.
EXER_FAILKEY_HELP1	"您点击了 ""@1_key_"" 键."
EXER_FAILKEY_HELP2	@{NEWLINE}允许使用的功能键为:@{NEWLINE}@1_keys_
EXER_HINT_ADDITIONALLY_VALID	@{NEWLINE}@{NEWLINE}允许使用的还有:
EXER_HINT_CHANGABLE_MARKED	@{NEWLINE}@{BULLET} 区域更改(@{EXER_COLOR_CHANGE})
